Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿夫哈米 A ;440700;UPE;1936;1936;1936;1936;3;7;0;2;0;5;2;L440000;1936;1990;x
阿夫哈米 H ;440701;UPE;1936;1936;1936;1936;3;7;0;1;0;5;1;L440001;1936;1990;x
阿夫哈米 M ;440702;UPE;1936;1936;1990;1990;3;7;0;0;0;5;1;L440002;1936;1990;x
加拉马尼 ;440703;UPE;1936;1936;1990;1990;3;7;0;1;0;5;0;L440003;1936;1990;x
吴拉姆 礼萨 巴列维 ;440704;UPE;1936;1936;1936;1990;3;7;0;1;0;5;0;L440004;1936;1990;x
吉兰沙 ;440705;UPE;1936;1936;1990;1990;3;7;0;0;0;5;0;L440005;1936;1990;x
哈迪 阿塔巴伊 ;440706;UPE;1936;1936;1990;1990;3;7;0;0;0;5;2;L440006;1936;1990;x
侯赛因 菲罗斯 ;440707;UPE;1936;1990;1990;1990;3;7;0;1;0;5;0;L440007;1936;1990;x
马吉德 菲罗斯 ;440708;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L440008;1936;1990;x
汗 科帕尔 ;440709;UPE;1936;1990;1990;1990;3;7;0;2;0;5;1;L440009;1936;1990;x
汗 纳克济安 ;440710;UPE;1936;1990;1990;1990;3;7;0;1;0;5;0;L440010;1936;1990;x
米尔 加尼 ;440711;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L440011;1936;1990;x
米扎尼 ;440712;UPE;1936;1990;1990;1990;3;7;0;1;0;5;0;L440012;1936;1990;x
纳赫亚瓦尼 ;440713;UPE;1936;1990;1990;1990;3;7;0;2;0;5;0;L440013;1936;1990;x
尼扎姆沙哈 ;440714;UPE;1936;1936;1990;1990;3;7;0;0;0;5;1;L440014;1936;1990;x
夸兰沙赫 ;440715;UPE;1936;1936;1990;1990;3;7;0;1;0;5;0;L440015;1936;1990;x
礼萨 巴列维 ;440716;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L440016;1936;1990;x
塞帕赫博迪 卡亚尔 ;440717;UPE;1936;1936;1936;1936;3;7;0;1;0;5;0;L440017;1936;1990;x
扎赫迪 ;440718;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L440018;1936;1990;x
