Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿兰库普 ;66700;UTO;1936;1936;1936;1936;3;7;0;2;0;5;2;L61000;1936;1990;x
阿勒坎 ;66701;UTO;1936;1936;1936;1936;3;7;0;1;0;5;1;L61001;1936;1990;x
阿尔通卡尔 ;66702;UTO;1936;1936;1990;1990;3;7;0;0;0;5;1;L61002;1936;1990;x
艾古克 ;66703;UTO;1936;1936;1990;1990;3;7;0;1;0;5;0;L61003;1936;1990;x
巴兰塞尔 ;66704;UTO;1936;1936;1936;1990;3;7;0;1;0;5;0;L61004;1936;1990;x
博泽尔 ;66705;UTO;1936;1936;1990;1990;3;7;0;0;0;5;0;L61005;1936;1990;x
查克马克 ;66706;UTO;1936;1936;1990;1990;3;7;0;0;0;5;2;L61006;1936;1990;x
卡利斯塔尔 ;66707;UTO;1936;1990;1990;1990;3;7;0;1;0;5;0;L61007;1936;1990;x
埃戴胡恩 ;66708;UTO;1936;1990;1990;1990;3;7;0;0;0;5;0;L61008;1936;1990;x
弗洛克希 ;66709;UTO;1936;1990;1990;1990;3;7;0;2;0;5;1;L34609;1936;1990;x
居尔坎 ;66710;UTO;1936;1990;1990;1990;3;7;0;1;0;5;0;L61010;1936;1990;x
居莱尔 ;66711;UTO;1936;1990;1990;1990;3;7;0;0;0;5;0;L61011;1936;1990;x
居尔曼 ;66712;UTO;1936;1990;1990;1990;3;7;0;1;0;5;0;L61012;1936;1990;x
居尔塞尔 ;66713;UTO;1936;1990;1990;1990;3;7;0;2;0;5;0;L61013;1936;1990;x
居尔兹林 ;66714;UTO;1936;1936;1990;1990;3;7;0;0;0;5;1;L61014;1936;1990;x
伊纳努 ;66715;UTO;1936;1936;1990;1990;3;7;0;1;0;5;0;L61015;1936;1990;x
卡纳特利 ;66716;UTO;1936;1990;1990;1990;3;7;0;0;0;5;0;L61016;1936;1990;x
卡拉贝基尔 ;66717;UTO;1936;1936;1936;1936;3;7;0;1;0;5;0;L61017;1936;1990;x
门居奇 ;66718;UTO;1936;1990;1990;1990;3;7;0;0;0;5;0;L61018;1936;1990;x
纳吉 特纳兹 ;66719;UTO;1936;1990;1990;1990;3;7;0;0;0;5;0;L61019;1936;1990;x
纳穆特 ;66720;UTO;1936;1990;1990;1990;3;7;0;1;0;5;1;L61020;1936;1990;x
诺扬 ;66721;UTO;1936;1936;1936;1990;3;7;0;0;0;5;0;L61021;1936;1990;x
奥穆尔塔克 ;66722;UTO;1936;1936;1990;1990;3;7;0;0;0;5;0;L61022;1936;1990;x
奥尔巴伊 ;66723;UTO;1936;1936;1936;1990;3;7;0;0;0;5;0;L61023;1936;1990;x
塞勒舍克 ;66724;UTO;1936;1936;1936;1990;3;7;0;0;0;5;2;L61024;1936;1990;x
塞文 ;66725;UTO;1936;1936;1936;1990;3;7;0;2;0;5;1;L61025;1936;1990;x
塔马奇 ;66726;UTO;1936;1990;1990;1990;3;7;0;1;0;5;0;L61026;1936;1990;x
图德缪尔 ;66727;UTO;1936;1990;1990;1990;3;7;0;0;0;5;0;L61027;1936;1990;x
图纳博伊卢 ;66728;UTO;1936;1990;1990;1990;3;7;0;0;0;5;0;L61028;1936;1990;x
图拉尔 ;66729;UTO;1936;1990;1990;1990;3;7;0;1;0;5;0;L61029;1936;1990;x
蒂尔凯什 ;66730;UTO;1936;1990;1990;1990;3;7;0;2;0;5;1;L61030;1936;1990;x
韦希布 帕夏 ;66731;UTO;1936;1936;1990;1990;3;7;0;1;0;5;0;L61031;1936;1990;x
