Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿卡米 ;120000;ARG;1930;1941;1990;1990;3;4;0;1;0;4;0;L120000;1930;1943;x
安纳亚 ;120001;ARG;1930;1939;1990;1990;2;5;128;1;0;4;0;L120001;1930;1946;x
阿兰布鲁 ;120002;ARG;1941;1944;1946;1990;2;5;8;2;0;4;0;L120002;1941;1960;x
巴蒂斯塔 莫利纳 ;120003;ARG;1930;1930;1990;1990;2;4;0;0;0;3;0;L120003;1930;1943;x
布伦佐尼 ;120004;ARG;1945;1990;1990;1990;3;4;4;0;0;3;0;L120004;1945;1960;x
德列皮亚内 ;120005;ARG;1930;1930;1990;1990;2;6;514;1;0;3;0;L120005;1930;1939;x
德 奥拉诺 ;120006;ARG;1939;1944;1952;1990;1;4;128;2;0;4;0;L120006;1939;1960;x
法雷尔 普劳尔 ;120007;ARG;1937;1939;1941;1990;1;4;0;2;0;4;0;L120007;1937;1946;x
法索拉 卡斯塔诺 ;120008;ARG;1930;1930;1990;1990;2;5;32;0;0;4;0;L120008;1930;1943;x
弗洛里 ;120009;ARG;1938;1942;1945;1990;2;6;256;2;0;4;0;L120009;1938;1960;x
乔瓦内利 ;120010;ARG;1945;1990;1990;1990;3;4;16;0;0;4;0;L120010;1945;1960;x
吉多 y 拉瓦列 ;120011;ARG;1930;1938;1990;1990;2;4;32;1;0;4;0;L120011;1930;1941;x
伊巴拉 ;120012;ARG;1930;1942;1990;1990;2;6;256;1;0;4;0;L120012;1930;1945;x
胡斯托 ;120013;ARG;1930;1930;1930;1930;0;5;0;1;0;5;0;L120013;1930;1938;x
莱瓦 ;120014;ARG;1930;1990;1990;1990;3;5;513;1;0;3;0;L120014;1930;1940;x
洛纳尔迪 ;120015;ARG;1938;1944;1990;1990;3;4;16;1;0;4;0;L120015;1938;1960;x
卢戈内斯 ;120016;ARG;1930;1990;1990;1990;3;4;2;0;0;4;0;L120016;1930;1940;x
马克斯 ;120017;ARG;1939;1941;1945;1990;2;5;2;2;0;5;0;L120017;1939;1960;x
马丁内斯 ;120018;ARG;1930;1938;1990;1990;2;4;1;1;0;4;0;L120018;1930;1946;x
梅嫩德斯 ;120019;ARG;1944;1947;1990;1990;3;4;4;1;0;4;0;L120019;1944;1960;x
莫利纳 戈麦斯 ;120020;ARG;1937;1941;1946;1990;1;4;0;2;0;4;0;L120020;1937;1960;x
莫斯科尼 ;120021;ARG;1930;1930;1990;1990;2;6;2;0;0;5;0;L120021;1930;1940;x
庇隆 ;120022;ARG;1942;1944;1946;1990;2;6;4;2;0;5;0;L120022;1942;1960;x
皮斯塔里尼 ;120023;ARG;1939;1945;1990;1990;3;5;64;1;0;3;0;L120023;1939;1960;x
拉米雷斯 ;120024;ARG;1930;1938;1940;1990;1;5;0;2;0;3;0;L120024;1930;1944;x
里瓦罗拉 ;120025;ARG;1930;1990;1990;1990;3;4;2;0;0;4;0;L120025;1930;1941;x
罗德里格斯 ;120026;ARG;1938;1941;1945;1990;2;4;0;2;0;4;0;L120026;1938;1946;x
萨米恩托 ;120027;ARG;1944;1946;1990;1990;3;4;0;1;0;3;0;L120027;1944;1960;x
圣马丁 ;120028;ARG;1940;1943;1990;1990;2;5;4;1;0;3;0;L120028;1940;1960;x
圣奎纳 ;120029;ARG;1943;1990;1990;1990;3;5;128;0;0;4;0;L120029;1943;1960;x
萨罗韦 ;120030;ARG;1930;1930;1930;1990;1;4;0;0;0;4;0;L120030;1930;1942;x
萨维奥 ;120031;ARG;1942;1944;1990;1990;2;5;1;1;0;5;0;L120031;1942;1960;x
乌达皮列塔 ;120032;ARG;1930;1941;1990;1990;3;6;64;1;0;4;0;L120032;1930;1947;x
乌里布罗 ;120033;ARG;1930;1930;1930;1990;1;4;64;0;0;3;0;L120033;1930;1937;x
瓦卡 ;120034;ARG;1941;1990;1990;1990;3;4;4;0;0;4;0;L120034;1941;1960;x
瓦卡雷扎 ;120035;ARG;1930;1939;1990;1990;2;4;2;1;0;4;0;L120035;1930;1944;x
韦莱兹 ;120036;ARG;1930;1930;1938;1990;1;6;513;2;0;4;0;L120036;1930;1941;x
维埃拉 斯潘根贝格 ;120037;ARG;1940;1945;1990;1990;3;5;128;1;0;4;0;L120037;1940;1960;x
冯 德尔 贝克 ;120038;ARG;1939;1945;1990;1990;3;4;4;1;0;5;0;L120038;1939;1946;x
苏洛阿加 ;120039;ARG;1938;1990;1990;1990;3;4;1;0;0;3;0;L120039;1938;1960;x
阿圭雷 雷纳尔多 ;120040;ARG;1944;1990;1990;1990;3;4;1024;0;0;4;1;L120040;1944;1960;x
布兰科 卡雷拉 ;120041;ARG;1945;1990;1990;1990;3;4;0;0;0;4;1;L120041;1945;1960;x
卡萨尔 ;120042;ARG;1939;1944;1990;1990;3;5;8192;1;0;5;1;L120042;1939;1946;x
卡瓦列里 ;120043;ARG;1930;1930;1990;1990;2;4;0;0;0;5;1;L120043;1930;1944;x
加林德斯 ;120044;ARG;1937;1941;1990;1990;2;4;0;1;0;5;1;L120044;1937;1960;x
格罗索 索托 ;120045;ARG;1930;1930;1990;1990;2;6;1536;1;0;5;1;L120045;1930;1940;x
伊里萨尔 ;120046;ARG;1930;1930;1930;1930;0;5;8704;1;0;5;1;L120046;1930;1937;x
拉 加利纳 ;120047;ARG;1942;1946;1950;1990;1;4;8192;2;0;3;1;L120047;1942;1960;x
奥赫达 ;120048;ARG;1945;1947;1990;1990;3;4;0;1;0;4;1;L120048;1945;1960;x
帕罗迪 ;120049;ARG;1938;1990;1990;1990;3;4;0;0;0;3;1;L120049;1938;1945;x
佩德蒙特 ;120050;ARG;1930;1937;1941;1990;2;5;0;2;0;4;1;L120050;1930;1946;x
佩尔蒂恩 ;120051;ARG;1939;1943;1990;1990;2;5;2048;1;0;5;1;L120051;1939;1960;x
普塔拉 维尼奥洛 ;120052;ARG;1945;1990;1990;19900;3;5;0;0;0;4;1;L120052;1945;1960;x
罗森 巴斯塔曼特 ;120053;ARG;1930;1930;1940;1990;1;4;4608;1;0;4;1;L120053;1930;1943;x
桑切斯 斯卡索 ;120054;ARG;1941;1990;1990;1990;3;5;1024;0;0;4;1;L120054;1941;1960;x
席尔瓦 卡拉斯科 ;120055;ARG;1943;1947;1990;1990;3;4;0;1;0;5;1;L120055;1943;1960;x
斯托尔尼 ;120056;ARG;1930;1937;1940;1990;1;4;0;2;0;4;1;L120056;1930;1946;x
魏地拉 ;120057;ARG;1942;1946;1990;1990;3;5;4096;1;0;5;1;L120057;1942;1960;x
阿伦斯 ;120058;ARG;1945;1990;1990;1990;3;4;65536;0;0;4;2;L120058;1945;1960;x
卡西内利 ;120059;ARG;1930;1930;1990;1990;2;5;8704;1;0;4;2;L120059;1930;1941;x
卡斯泰 莱恩福德 ;120060;ARG;1944;1990;1990;1990;3;5;32768;0;0;4;2;L120060;1944;1960;x
德 拉 科利纳 ;120061;ARG;1946;1990;1990;1990;3;4;0;0;0;5;2;L120061;1946;1960;x
德尔 里瓦 ;120062;ARG;1939;1944;1990;1990;3;5;0;1;0;3;2;L120062;1939;1960;x
法布里 ;120063;ARG;1938;1941;1990;1990;2;4;16384;1;0;4;2;L120063;1938;1947;x
赫尔曼松 ;120064;ARG;1945;1990;1990;1990;3;4;0;0;0;5;2;L120064;1945;1960;x
曼尼 ;120065;ARG;1940;1945;1990;1990;3;4;4096;1;0;4;2;L120065;1940;1960;x
毛里诺 ;120066;ARG;1941;1990;1990;1990;3;4;0;0;0;4;2;L120066;1941;1960;x
穆拉托里奥 ;120067;ARG;1943;1990;1990;1990;3;4;0;0;0;4;2;L120067;1943;1960;x
奥赫达 ;120068;ARG;1943;1945;1947;1990;3;5;32768;2;0;4;2;L120068;1943;1960;x
帕罗迪 ;120069;ARG;1930;1941;1990;1990;2;5;131072;1;0;3;2;L120069;1930;1945;x
佩卢福 ;120070;ARG;1942;1990;1990;1990;3;4;0;0;0;4;2;L120070;1942;1946;x
苏斯泰塔 ;120071;ARG;1945;1950;1990;1990;2;4;0;1;0;3;2;L120071;1945;1960;x
韦多亚 ;120072;ARG;1946;1990;1990;1990;3;4;0;0;0;4;2;L120072;1946;1960;x
贝达格尔 ;120073;ARG;1939;1943;1990;1990;2;4;0;1;0;2;2;L120073;1939;1960;x
赞尼 ;120074;ARG;1940;1946;1990;1990;3;5;0;1;0;2;2;L120074;1940;1960;x
