Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
²»µ¤Íõ Íú³þ¿Ë ;460000;BHU;1930;1930;1990;1990;2;2;16;0;0;5;0;L460000;1930;1944;x
¼ª¸ñÃ· ¶à¶û¼ª ;460001;BHU;1942;1990;1990;1990;3;2;16;0;0;5;0;L460001;1942;1960;x
¼ª¸ñÃ· Íú³þ¿Ë ;460002;BHU;1930;1930;1930;1942;0;1;0;1;0;5;0;L460002;1930;1960;x
¿¨¶ûÂí ¶à¶û¼ª ;460003;BHU;1938;1945;1990;1990;3;2;0;1;0;5;0;L460003;1938;1960;x
ÄÚÄ·¸Ç Íú³þ¿Ë ;460004;BHU;1944;1990;1990;1990;3;2;0;0;0;5;0;L460004;1944;1960;x
ÄÉÄ·¼Ó¶û °Í¹þ¶Å¶û ;460005;BHU;1938;1944;1990;1990;3;3;128;1;0;5;0;L460005;1938;1960;x
Ë÷ÄÏ ÆÕÀ­¶Å¹þ ;460006;BHU;1930;1930;1942;1990;1;2;4;2;0;5;0;L460006;1930;1946;x
Ê·µÙÎÄË¹ ;460007;BHU;1940;1990;1990;1990;3;3;256;1;0;5;0;L460007;1940;1945;x
Êæ¹þ¶û °Í¹þ¶Å¶û ;460008;BHU;1930;1930;1990;1990;2;4;520;1;0;5;0;L460008;1930;1941;x
ËÕ¿Ë °Í¹þ¶Å¶û ;460009;BHU;1942;1990;1990;1990;3;2;0;0;0;5;0;L460009;1942;1960;x
ÍÐÔóÒÁ ;460010;BHU;1930;1940;1990;1990;2;3;32;1;0;5;0;L460010;1940;1945;x
ÍþµÇ-¹Å¶ûµÂ ;460011;BHU;1940;1990;1990;1990;3;3;4;1;0;5;0;L460011;1940;1945;x
°¢¿¨×È ;460012;BHU;1930;1930;1990;1990;2;1;0;0;0;5;1;L460012;1930;1960;x
¹Å¶ûµÂ ;460013;BHU;1940;1990;1990;1990;3;3;1024;1;0;5;1;L460013;1940;1945;x
°¢¿¨×È ;460014;BHU;1930;1943;1990;1990;2;1;0;1;0;5;2;L460014;1930;1946;x
¹Å¶ûµÂ ;460015;BHU;1940;1990;1990;1990;3;3;131072;1;0;5;2;L460015;1940;1945;x
ÄÉÄ·¼Ó¶û °Í¹þ¶Å¶û ;460016;BHU;1930;1930;1990;1990;2;1;0;0;0;5;2;L460016;1930;1960;x
°Í¶û ;460017;BHU;1940;1990;1990;1990;3;3;4096;1;0;5;2;L460017;1940;1945;x
¿ÆÀûÌØ ;460018;BHU;1940;1990;1990;1990;3;3;16384;1;0;5;2;L460018;1940;1945;x
