Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
鲍祖斯 ;517000;BLR;1930;1990;1990;1990;3;4;0;0;0;5;0;L517000;1930;1960;x
贝内 ;517001;BLR;1930;1990;1990;1990;3;3;0;0;0;5;0;L517001;1930;1960;x
贝格尔 ;517002;BLR;1930;1990;1990;1990;3;2;0;0;0;5;0;L517002;1930;1960;x
博德纳尔 ;517003;BLR;1930;1990;1990;1990;3;4;128;0;0;5;0;L517003;1930;1960;x
勃兰特 ;517004;BLR;1930;1990;1990;1990;3;3;32;0;0;5;0;L517004;1930;1960;x
布龙萨尔特 冯 舍伦多尔夫 ;517005;BLR;1930;1990;1990;1990;3;3;128;0;0;5;0;L517005;1930;1960;x
布赫尔 ;517006;BLR;1930;1990;1990;1990;3;3;2;0;0;5;0;L517006;1930;1960;x
克里索利 ;517007;BLR;1930;1990;1990;1990;3;3;0;1;0;5;0;L517007;1930;1960;x
多曼斯基 ;517008;BLR;1930;1990;1990;1990;3;3;64;0;0;5;0;L517008;1930;1960;x
道博尔-穆斯尼奇 ;517009;BLR;1930;1939;1990;1990;2;3;1;2;0;5;0;L517009;1930;1960;x
迪尔金 ;517010;BLR;1930;1990;1990;1990;3;3;8;0;0;5;0;L517010;1930;1960;x
弗洛默特 ;517011;BLR;1930;1990;1990;1990;3;3;4;0;0;5;0;L517011;1930;1960;x
弗尔斯特 ;517012;BLR;1930;1990;1990;1990;3;2;0;0;0;5;0;L517012;1930;1960;x
海登 ;517013;BLR;1930;1990;1990;1990;3;3;32;0;0;5;0;L517013;1930;1960;x
卡利诺夫斯基 ;517014;BLR;1930;1939;1990;1990;2;4;4;1;0;5;0;L517014;1930;1960;x
卡明斯基 ;517015;BLR;1930;1930;1990;1990;2;2;0;1;0;5;0;M517048;1930;1960;x
马祖 ;517016;BLR;1930;1990;1990;1990;3;2;0;0;0;5;0;L517016;1930;1960;x
彼得鲁欣 ;517017;BLR;1930;1990;1990;1990;3;4;256;0;0;5;0;L517017;1930;1960;x
波克罗夫斯基 ;517018;BLR;1930;1930;1990;1990;2;2;0;0;0;5;0;M517007;1930;1960;x
波诺马连科 N. ;517019;BLR;1930;1990;1990;1990;3;3;4;0;0;5;0;L517019;1930;1960;x
波诺马连科 P. ;517020;BLR;1930;1930;1930;1990;1;3;1;1;0;5;0;M517008;1930;1960;x
普里马科夫 ;517021;BLR;1930;1930;1990;1990;2;4;8;0;0;5;0;L517021;1930;1960;x
沙兰戈维奇 ;517022;BLR;1930;1930;1990;1990;2;4;256;0;0;5;0;L517022;1930;1960;x
舍门茨基 ;517023;BLR;1930;1939;1990;1990;2;4;128;1;0;5;0;L517023;1930;1960;x
苏拉塔 ;517024;BLR;1930;1930;1939;1990;1;3;0;1;0;5;0;M517045;1930;1960;x
切尔努尔金 ;517025;BLR;1930;1990;1990;1990;3;2;0;0;0;5;0;L517025;1930;1960;x
冯 巴塞维茨-贝尔 ;517026;BLR;1930;1990;1990;1990;3;2;0;0;0;5;0;L517026;1930;1960;x
冯 埃贝斯泰因 ;517027;BLR;1930;1930;1990;1990;2;2;0;0;0;5;0;L517027;1930;1960;x
冯 艾希施泰特 ;517028;BLR;1930;1990;1990;1990;3;3;256;0;0;5;0;L517028;1930;1960;x
冯 戈特贝格 ;517029;BLR;1930;1930;1990;1990;2;2;0;0;0;5;0;L517029;1930;1960;x
瓦尔德克 冯 皮尔蒙特 ;517030;BLR;1930;1930;1990;1990;2;2;0;1;0;5;0;L517030;1930;1960;x
瓦尔纳 ;517031;BLR;1930;1990;1990;1990;3;3;64;0;0;5;0;L517031;1930;1960;x
温嫩贝格 ;517032;BLR;1930;1930;1990;1990;2;3;0;2;0;5;0;L517032;1930;1960;x
埃尔斯特尔 ;517033;BLR;1930;1990;1990;1990;3;3;0;0;0;5;1;L517033;1930;1960;x
霍夫曼 ;517034;BLR;1930;1939;1942;1990;2;3;0;2;0;5;1;L517034;1930;1960;x
库尔兹尔 ;517035;BLR;1930;1939;1990;1990;3;3;1024;1;0;5;1;M517050;1930;1960;x
莱西克 ;517036;BLR;1930;1938;1941;1990;1;4;0;2;0;5;1;M517009;1930;1960;x
梅尔滕斯 ;517037;BLR;1930;1930;1990;1990;2;4;4096;0;0;5;1;M517051;1930;1960;x
鲍尔 ;517038;BLR;1930;1990;1990;1990;3;4;4096;0;0;5;2;M517054;1930;1960;x
切尔亚科夫 ;517039;BLR;1930;1930;1940;1990;1;4;32768;1;0;5;2;M517010;1930;1960;x
克吕格尔 ;517040;BLR;1930;1990;1990;1990;3;3;4096;0;0;5;2;L517040;1930;1960;x
冯 伯尼格 ;517041;BLR;1930;1990;1990;1990;3;3;0;0;0;5;2;L517041;1930;1960;x
冯 夏米尔-格利斯克金斯基 ;517042;BLR;1930;1941;1990;1990;2;3;16384;1;0;5;2;L517042;1930;1960;x
冯 法尔科夫斯基 ;517043;BLR;1930;1990;1990;1990;3;2;0;0;0;5;2;L517043;1930;1960;x
冯 鲁道夫 ;517044;BLR;1930;1941;1990;1990;3;3;0;1;0;5;2;L517044;1930;1960;x
