Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿塔纳索夫 ;34000;BUL;1944;1945;1990;1990;2;5;0;1;0;5;0;L34000;1944;1960;x
巴克德基耶夫 ;34001;BUL;1930;1930;1930;1990;1;7;513;1;0;5;0;Bakyrdjiev_Nikola_bul;1930;1938;x
博拉采夫 ;34002;BUL;1944;1946;1990;1990;3;5;0;1;0;5;0;L34002;1944;1960;x
鲍里斯三世 ;34003;BUL;1930;1930;1930;1930;0;4;2;0;0;5;0;Boris_III1_bul;1930;1943;x
博伊戴夫 ;34004;BUL;1940;1942;1943;1990;2;4;1;2;0;5;0;Boydev_Vasil_Tenev_bul;1940;1960;x
比尔加拉诺夫 ;34005;BUL;1944;1945;1990;1990;3;5;256;1;0;5;0;L34005;1944;1960;x
达斯卡洛夫 ;34006;BUL;1930;1939;1942;1990;2;5;0;2;0;5;0;Daskalov_Theodosi_Petrov_bul;1930;1943;x
迪尔科夫斯基 ;34007;BUL;1944;1990;1990;1990;3;4;0;0;0;2;0;L34007;1944;1960;x
多采夫 ;34008;BUL;1942;1946;1990;1990;3;5;0;1;0;5;0;Dotsev_Angel_Georgiev_bul;1942;1960;x
加涅夫  S. ;34009;BUL;1944;1990;1990;1990;3;4;0;0;0;3;0;L34009;1944;1960;x
加涅夫  T. ;34010;BUL;1942;1945;1990;1990;3;5;0;1;0;4;0;L34010;1942;1960;x
根采夫 ;34011;BUL;1942;1944;1990;1990;2;5;0;1;0;5;0;Genchev_Nikola_Konstadinov_bul;1942;1960;x
格奥尔基耶夫  T. ;34012;BUL;1930;1930;1990;1990;2;4;0;0;0;4;0;Georgiev_Todor_bul;1930;1939;x
格奥尔基耶夫  Z. ;34013;BUL;1944;1990;1990;1990;3;4;0;0;0;5;0;L34013;1944;1960;x
格列科夫 ;34014;BUL;1944;1945;1990;1990;2;5;0;1;0;5;0;L34014;1944;1960;x
哈齐瓦诺夫 ;34015;BUL;1942;1944;1990;1990;2;4;0;1;0;4;0;L34015;1942;1960;x
哈齐佩科夫 ;34016;BUL;1936;1940;1990;1990;2;5;0;1;0;5;0;Hadzhipetkov_Nikola_Nikolov_bul;1936;1942;x
伊利耶夫 ;34017;BUL;1943;1990;1990;1990;3;4;0;0;0;4;0;Iliev_Petr_Hristov_bul;1943;1960;x
约沃夫 ;34018;BUL;1930;1990;1990;1990;3;4;513;1;0;3;0;Yovov_Mihail_bul;1930;1940;x
伊万诺夫 ;34019;BUL;1944;1945;1990;1990;2;5;0;1;0;5;0;Ivanov_Blagoi_Ivanov_bul;1944;1960;x
基诺夫 ;34020;BUL;1944;1945;1946;1990;2;6;0;2;0;3;0;Kinov_Ivan_Atanasov_bul;1970;1975;x				# soviet
基里尔 普雷斯拉夫斯基 ;34021;BUL;1930;1940;1990;1990;2;4;2;1;0;5;0;Preslav_Kiril_de_bul;1930;1960;x
基希奥夫 ;34022;BUL;1930;1930;1930;1990;1;5;512;2;0;3;0;Kisiov_Aleksander_bul;1930;1938;x
科普采夫 ;34023;BUL;1944;1945;1990;1990;2;4;0;1;0;5;0;Kopchev_Boris_Dikov_bul;1944;1960;x
科佐夫斯基 ;34024;BUL;1944;1945;1990;1990;2;5;0;1;0;5;0;Kozovski_Ferdinand_Todorov_bul;1944;1960;x
克里斯捷夫 ;34025;BUL;1943;1990;1990;1990;3;4;0;0;0;5;0;Krystev_Asen_bul;1943;1960;x
卢卡什 ;34026;BUL;1930;1940;1990;1990;2;4;0;1;0;4;0;Lukash_Konstantin_bul;1930;1960;x
卢科夫 ;34027;BUL;1930;1938;1940;1990;2;6;4;2;0;3;0;Lukov_Hristo_bul;1930;1943;x
马林科夫 ;34028;BUL;1930;1930;1990;1990;2;4;513;1;0;5;0;Marinkov_Sotir_bul;1930;1941;x
马里诺夫 伊利 ;34029;BUL;1944;1990;1990;1990;3;4;0;0;0;2;0;L34029;1944;1960;x
马里诺夫 I.K.;34030;BUL;1940;1944;1990;1990;2;5;0;1;0;5;0;Marinov_Ivan_Krystev_bul;1940;1954;x
马尔科夫   N.;34031;BUL;1936;1940;1990;1990;2;4;0;1;0;5;0;Markov_Nikola_Totev_bul;1936;1941;x
马尔采夫 ;34032;BUL;1945;1990;1990;1990;3;4;0;0;0;3;0;L34032;1945;1960;x
米迪列夫 ;34033;BUL;1930;1990;1990;1990;3;6;576;1;0;5;0;Midilev_Petar_bul;1930;1938;x
米霍夫 ;34034;BUL;1938;1942;1990;1990;2;5;0;1;0;5;0;Mihov_Nikola_Mihailov_bul;1938;1960;x
明采夫 ;34035;BUL;1942;1990;1990;1990;3;4;0;0;0;2;0;L34035;1942;1960;x
穆尔诺夫 ;34036;BUL;1930;1938;1940;1990;1;5;0;2;0;5;0;L34036;1930;1960;x
尼科洛夫 A. ;34037;BUL;1939;1942;1990;1990;2;5;0;1;0;5;0;L34037;1939;1960;x
尼科洛夫 G. ;34038;BUL;1944;1990;1990;1990;3;4;0;0;0;3;0;L34038;1944;1960;x
诺瓦科夫 ;34039;BUL;1943;1990;1990;1990;3;4;0;0;0;3;0;L34039;1943;1960;x
佩耶夫 ;34040;BUL;1930;1990;1990;1990;3;4;0;0;0;4;0;Peev_Yordan_bul;1930;1939;x
皮龙科夫 ;34041;BUL;1942;1944;1990;1990;2;5;0;1;0;4;0;Pironkov_Bonyu_Stoev_bul;1942;1960;x
波波夫 D. ;34042;BUL;1944;1947;1990;1990;3;5;128;1;0;4;0;Popov_Dimitr_Nikolov_bul;1944;1960;x
波波夫 G. ;34043;BUL;1930;1938;1941;1990;1;5;32;2;0;4;0;Popov_Georgi_Nikolov_bul;1930;1943;x
拉德夫 ;34044;BUL;1930;1990;1990;1990;3;5;513;1;0;4;0;Radev_Todor_bul;1930;1940;x
拉多伊诺夫 ;34045;BUL;1943;1990;1990;1990;3;4;4;0;0;1;0;L34045;1943;1960;x
罗格扎尔斯基 ;34046;BUL;1941;1990;1990;1990;3;4;0;0;0;5;0;L34046;1941;1960;x
鲁塞夫 ;34047;BUL;1930;1940;1990;1990;2;5;0;1;0;5;0;Rusev_Rusi_Hristov_bul;1930;1960;x
萨波夫 ;34048;BUL;1930;1990;1990;1990;3;4;512;0;0;1;0;Sapov_Georgi_bul;1930;1938;x
西莫夫 ;34049;BUL;1943;1990;1990;1990;3;4;0;0;0;5;0;L34049;1943;1960;x
西拉科夫 ;34050;BUL;1942;1990;1990;1990;3;6;0;0;0;3;0;Sirakov_Asen_Nikolov_bul;1942;1960;x
