Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿里奥斯托 埃雷拉 ;140000;CHL;1938;1942;1990;1990;2;3;0;1;0;3;0;L140000;1938;1945;x
阿里奥斯托 奥塔雷斯 ;140001;CHL;1930;1990;1990;1990;3;3;0;0;0;5;0;L140001;1930;1940;x
阿拉亚 什蒂格利奇 ;140002;CHL;1939;1942;1990;1990;2;4;4;1;0;5;0;L140002;1939;1960;x
巴里奥斯 蒂拉多 ;140003;CHL;1938;1990;1990;1990;3;3;128;0;0;5;0;L140003;1938;1944;x
布朗谢 ;140004;CHL;1930;1930;1930;1990;1;4;528;1;0;5;0;L140004;1930;1940;x
卡纳斯 蒙塔尔瓦 ;140005;CHL;1939;1990;1990;1990;3;4;0;0;0;5;0;L140005;1939;1960;x
卡斯蒂略 阿拉伯奎兹 ;140006;CHL;1941;1990;1990;1990;3;4;0;0;0;5;0;L140006;1941;1960;x
查尔平 里瓦尔 ;140007;CHL;1930;1938;1990;1990;2;4;4;1;0;5;0;L140007;1930;1946;x
达努斯 培尼亚 ;140008;CHL;1939;1943;1990;1990;3;3;256;1;0;5;0;L140008;1939;1960;x
埃斯库德罗 奥塔罗拉 ;140009;CHL;1930;1930;1990;1990;2;3;1;0;0;5;0;L140009;1930;1945;x
埃斯皮诺萨 穆希卡 ;140010;CHL;1930;1939;1941;1990;1;5;0;2;0;5;0;L140010;1930;1960;x
费尔南德斯 雷耶斯 ;140011;CHL;1930;1930;1990;1990;2;4;1;0;0;5;0;L140011;1930;1960;x
弗朗哥 伊达尔戈 ;140012;CHL;1938;1990;1990;1990;3;3;1;0;0;5;0;L140012;1938;1946;x
芬特斯 潘托雅 ;140014;CHL;1937;1942;1990;1990;3;4;0;1;0;5;0;L140014;1937;1960;x
芬特斯 拉贝 ;140015;CHL;1930;1930;1930;1990;1;3;0;1;0;5;0;L140015;1930;1941;x
伊苏列塔 莫利纳 ;140016;CHL;1942;1990;1990;1990;3;3;256;0;0;5;0;L140016;1942;1960;x
马丁内斯 皮塔 ;140017;CHL;1939;1941;1944;1990;2;4;2;2;0;5;0;L140017;1939;1960;x
梅扎纳 ;140018;CHL;1930;1990;1990;1990;3;5;32;0;0;5;0;L140018;1930;1944;x
米格莱斯 卡里迪 ;140019;CHL;1938;1943;1990;1990;3;4;128;1;0;5;0;L140019;1938;1946;x
莫雷诺 ;140020;CHL;1930;1930;1990;1990;2;3;64;0;0;5;0;L140020;1930;1944;x
诺沃亚 芬特斯 ;140021;CHL;1930;1930;1930;1930;0;3;0;1;0;5;0;L140021;1930;1942;x
奥苏尼亚 马尔坎多 ;140022;CHL;1943;1946;1990;1990;2;4;0;1;0;3;0;L140022;1943;1960;x
奥特罗 穆希卡 ;140023;CHL;1930;1930;1990;1990;2;3;1;0;0;5;0;L140023;1930;1940;x
帕拉达 莫雷诺 ;140024;CHL;1938;1945;1990;1990;3;5;0;1;0;5;0;L140024;1938;1960;x
帕斯托雷 桑切斯 ;140025;CHL;1942;1946;1990;1990;2;3;4;1;0;4;0;L140025;1942;1960;x
蓬斯 阿雷拉诺 ;140026;CHL;1938;1941;1990;1990;2;3;32;1;0;5;0;L140026;1938;1960;x
波塔莱斯 穆尔格 ;140027;CHL;1930;1930;1990;1990;2;4;640;1;0;5;0;L140027;1930;1942;x
克萨达 卡尔沃 ;140028;CHL;1944;1990;1990;1990;3;3;64;0;0;5;0;L140028;1944;1960;x
施瓦岑贝格 ;140029;CHL;1943;1990;1990;1990;3;4;256;0;0;5;0;L140029;1943;1960;x
特列斯 卡斯特罗 ;140030;CHL;1930;1940;1990;1990;2;3;2;1;0;5;0;L140030;1930;1946;x
乌尔库柳 德 拉 维加 ;140031;CHL;1938;1942;1945;1990;2;4;0;2;0;5;0;L140031;1938;1960;x
乌鲁蒂亚 ;140032;CHL;1930;1930;1990;1990;2;3;0;0;0;5;0;L140032;1930;1945;x
维达尔 梅里诺 ;140033;CHL;1943;1990;1990;1990;3;3;1;0;0;5;0;L140033;1943;1960;x
维达尔 奥特罗 ;140034;CHL;1942;1990;1990;1990;3;3;128;0;0;4;0;L140034;1942;1960;x
维达尔 瓦尔加斯 ;140035;CHL;1930;1939;1990;1990;2;3;0;1;0;5;0;L140035;1930;1946;x
维尼奥拉 科尔特斯 ;140036;CHL;1930;1930;1990;1990;2;5;516;1;0;5;0;L140036;1930;1939;x
阿拉德 平托 ;140037;CHL;1930;1939;1943;1990;2;4;0;2;0;5;1;L140037;1930;1946;x
阿尔瓦雷兹 哈拉米略 ;140038;CHL;1941;1945;1990;1990;3;4;0;1;0;5;1;L140038;1941;1960;x
孔西利奥 雷博拉 ;140039;CHL;1930;1990;1990;1990;3;3;0;0;0;5;1;L140039;1930;1947;x
德 拉 莫特 杜 波尔塔伊 ;140040;CHL;1930;1930;1930;1930;0;4;8704;1;0;5;1;L140040;1930;1940;x
加莱戈 费尔南德斯 ;140041;CHL;1939;1990;1990;1990;3;5;4096;0;0;5;1;L140041;1939;1960;x
加西亚 卡斯特尔布兰科 ;140042;CHL;1938;1943;1990;1990;2;3;0;1;0;5;1;L140042;1938;1960;x
格肯 马恩 ;140043;CHL;1938;1942;1944;1990;2;4;0;2;0;5;1;L140043;1938;1960;x
戈梅 卡雷尼奥 ;140044;CHL;1930;1930;1990;1990;2;5;4608;1;0;5;1;L140044;1930;1943;x
古斯塔沃 席尔瓦 ;140045;CHL;1938;1943;1944;1990;2;4;1024;2;0;5;1;L140045;1938;1960;x
库尔切夫斯基 加西亚 ;140046;CHL;1943;1990;1990;1990;3;3;0;0;0;3;1;L140046;1943;1960;x
拉伦斯 基哈达 ;140047;CHL;1944;1990;1990;1990;3;4;1024;0;0;5;1;L140047;1944;1960;x
梅里诺 别利奇 ;140048;CHL;1930;1939;1943;1990;1;4;0;2;0;5;1;L140048;1930;1947;x
奥瑞安 奥列格 ;140049;CHL;1938;1939;1942;1990;2;3;0;2;0;5;1;L140049;1938;1943;x
雷耶斯 德尔 里奥 ;140050;CHL;1941;1943;1945;1990;2;3;0;2;0;5;1;L140050;1941;1960;x
罗德里格斯 塞普尔韦达 ;140051;CHL;1937;1990;1990;1990;3;3;0;0;0;5;1;L140051;1937;1944;x
冯 施罗德斯 萨拉泰亚 ;140052;CHL;1940;1990;1990;1990;3;3;0;0;0;5;1;L140052;1940;1960;x
阿拉塞纳 阿吉拉尔 ;140053;CHL;1939;1941;1942;1946;1;4;0;1;0;5;2;L140053;1939;1960;x
巴罗斯 奥尔蒂斯 ;140054;CHL;1941;1990;1990;1990;3;3;0;0;0;5;2;L140054;1941;1960;x
卡斯特罗 洛佩斯 ;140055;CHL;1930;1939;1990;1990;2;3;0;1;0;5;2;L140055;1930;1942;x
切莱顿 帕尔马 ;140056;CHL;1938;1942;1990;1990;2;3;0;1;0;5;2;L140056;1938;1946;x
切莱亚斯 罗雅斯 ;140057;CHL;1937;1942;1990;1990;2;4;131072;1;0;5;2;L140057;1937;1960;x
弗兰克 马里奥蒂 ;140058;CHL;1943;1990;1990;1990;3;3;32768;0;0;5;2;L140058;1943;1960;x
冈萨雷斯 诺勒 ;140059;CHL;1938;1990;1990;1990;3;3;65536;0;0;5;2;L140059;1938;1944;x
格罗夫 巴列霍 ;140060;CHL;1930;1990;1990;1990;3;3;0;0;0;1;2;L140060;1930;1938;x
埃雷罗斯 瓦尔克 ;140061;CHL;1940;1944;1990;1990;3;4;131072;1;0;5;2;L140061;1940;1960;x
梅里诺 贝尼特斯 ;140062;CHL;1930;1941;1990;1990;2;3;0;1;0;5;2;L140062;1930;1947;x
