Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
巴托斯 ;18000;CZE;1930;1930;1990;1990;2;4;0;0;0;2;0;L18000;1930;1945;x
贝拉尼克 ;18001;CZE;1930;1942;1990;1990;3;4;1;1;0;3;0;L18001;1930;1944;x
布拉哈 ;18002;CZE;1930;1990;1990;1990;3;5;0;0;0;2;0;L18002;1930;1945;x
博塞克 ;18003;CZE;1938;1942;1990;1990;3;6;128;1;0;5;0;L18003;1938;1960;x
塞尔尼 ;18004;CZE;1930;1990;1990;1990;3;4;0;0;0;5;0;L18004;1930;1941;x
齐哈克 ;18005;CZE;1937;1942;1945;1990;3;5;128;2;0;3;0;L18005;1937;1960;x
德尔加奇 ;18006;CZE;1937;1943;1990;1990;3;5;128;1;0;5;0;L18006;1937;1960;x
伊莱亚斯 ;18007;CZE;1930;1930;1990;1990;2;4;0;0;0;3;0;L18007;1930;1943;x
法萨蒂 ;18008;CZE;1930;1990;1990;1990;3;4;128;0;0;3;0;L18008;1930;1944;x
菲亚拉 ;18009;CZE;1930;1940;1990;1990;3;4;0;0;0;3;0;L18009;1930;1960;x
盖达 ;18010;CZE;1930;1930;1990;1990;2;4;0;0;0;3;0;L18010;1930;1939;x
哈萨尔 ;18011;CZE;1930;1930;1990;1990;2;4;32;0;0;3;0;L18011;1930;1939;x
霍莫拉 ;18012;CZE;1930;1930;1990;1990;2;4;16;0;0;5;0;L18012;1930;1960;x
霍谢克 ;18013;CZE;1937;1941;1990;1990;3;5;0;1;0;3;0;L18013;1937;1960;x
胡萨雷克 ;18014;CZE;1930;1930;1990;1990;2;4;0;1;0;3;0;L18014;1930;1939;x
因格尔 ;18015;CZE;1930;1938;1943;1990;2;6;2;2;0;3;0;L18015;1930;1960;x
凯多斯 ;18016;CZE;1930;1990;1990;1990;3;4;64;0;0;5;0;L18016;1930;1939;x
卡瑙 ;18017;CZE;1930;1990;1990;1990;3;4;0;0;0;3;0;L18017;1930;1939;x
考特纳克 ;18018;CZE;1937;1990;1990;1990;3;6;128;0;0;3;0;L18018;1937;1943;x
克拉瓦克 ;18019;CZE;1937;1990;1990;1990;3;5;256;0;0;3;0;L18019;1937;1944;x
克雷伊奇 ;18020;CZE;1930;1930;1930;1930;0;4;1;1;0;5;0;L18020;1930;1939;x
库特尔瓦什尔 ;18021;CZE;1930;1930;1990;1990;2;6;4;0;0;5;0;L18021;1930;1939;x
卢扎 ;18022;CZE;1930;1930;1990;1990;2;4;0;0;0;3;0;L18022;1930;1939;x
马尔万 ;18023;CZE;1937;1941;1943;1990;2;5;0;2;0;3;0;L18023;1937;1960;x
莫拉韦克 ;18024;CZE;1930;1990;1990;1990;3;4;2;0;0;5;0;L18024;1930;1939;x
诺伊曼 ;18025;CZE;1930;1990;1990;1990;3;4;8;0;0;4;0;L18025;1930;1939;x
帕夫利克 ;18026;CZE;1930;1930;1990;1990;2;6;2;0;0;5;0;L18026;1930;1939;x
彼得里克 ;18027;CZE;1930;1990;1990;1990;3;5;0;0;0;4;0;L18027;1930;1939;x
皮卡 ;18028;CZE;1937;1990;1990;1990;3;4;64;0;0;3;0;L18028;1937;1960;x
普尔哈拉 ;18029;CZE;1930;1930;1990;1990;2;4;2;0;0;3;0;L18029;1930;1939;x
普罗科普 ;18030;CZE;1930;1937;1990;1990;3;4;256;1;0;3;0;L18030;1930;1939;x
里赫特尔莫茨 ;18031;CZE;1930;1930;1990;1990;2;5;0;0;0;1;0;L18031;1930;1945;x
里蒂尔 ;18032;CZE;1930;1990;1990;1990;3;4;0;0;0;3;0;L18032;1930;1939;x
斯克连科夫斯基 ;18033;CZE;1930;1930;1943;1990;2;6;64;1;0;5;0;L18033;1930;1960;x
斯瓦特克 ;18034;CZE;1930;1990;1990;1990;3;6;256;0;0;4;0;L18034;1930;1960;x
西罗维 ;18035;CZE;1930;1930;1930;1990;1;4;0;2;0;5;0;L18035;1930;1939;x
韦德拉尔-萨扎斯基 ;18036;CZE;1930;1990;1990;1990;3;6;0;0;0;2;0;L18036;1930;1945;x
维耶斯特 ;18037;CZE;1930;1930;1944;1990;2;4;0;1;0;3;0;L18037;1930;1960;x
沃伊切乔夫斯基 ;18038;CZE;1930;1930;1930;1990;1;4;0;1;0;3;0;L18038;1930;1951;x
沃特鲁巴 ;18039;CZE;1930;1930;1930;1990;1;4;0;1;0;3;0;L18039;1930;1939;x
弗谢季奇卡 ;18040;CZE;1930;1930;1990;1990;2;4;1;0;0;4;0;L18040;1930;1939;x
哈萨尔 ;18041;CZE;1930;1930;1990;1990;2;4;0;0;0;3;1;L18041;1930;1939;x
莫拉韦克 ;18042;CZE;1930;1990;1990;1990;3;4;0;0;0;5;1;L18042;1930;1939;x
巴托斯 ;18043;CZE;1938;1943;1990;1990;2;5;0;1;0;5;2;L18043;1938;1960;x
贝克尔 ;18044;CZE;1937;1990;1990;1990;3;4;0;0;0;5;2;L18044;1937;1943;x
契拉 ;18045;CZE;1930;1930;1990;1990;2;4;0;0;0;5;2;L18045;1930;1939;x
德沃夏克 ;18046;CZE;1937;1990;1990;1990;3;4;0;0;0;5;2;L18046;1937;1960;x
弗兰蒂泽克 ;18047;CZE;1937;1945;1990;1990;3;6;65536;1;0;5;2;L18047;1937;1960;x
雅努塞克 ;18048;CZE;1930;1990;1990;1990;3;6;4096;0;0;5;2;L18048;1930;1942;x
雅努斯卡 ;18049;CZE;1930;1930;1930;1990;1;4;0;1;0;2;2;L18049;1930;1939;x
库特尔瓦舍尔 ;18050;CZE;1930;1930;1990;1990;2;4;4096;0;0;2;2;L18050;1930;1939;x
帕夫利克 ;18051;CZE;1937;1943;1990;1990;3;5;0;1;0;4;2;L18051;1937;1960;x
