Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
艾伯森 ;9500;DEN;1938;1990;1990;1990;3;3;2;0;0;5;0;L9500;1938;1960;x
阿尔布雷克特松 ;9501;DEN;1930;1937;1990;1990;2;3;128;1;0;5;0;L9501;1930;1944;x
本尼科恩 ;9502;DEN;1942;1990;1990;1990;3;4;16;0;0;5;0;L9502;1942;1960;x
恩格尔哈特 ;9503;DEN;1938;1945;1990;1990;3;3;1;1;0;5;0;L9503;1938;1960;x
埃塞曼 ;9504;DEN;1930;1930;1990;1990;2;5;516;1;0;5;0;L9504;1930;1960;x
约尔茨 ;9505;DEN;1930;1930;1990;1990;2;4;0;1;0;5;0;L9505;1930;1960;x
尤尔-布罗克多夫 ;9506;DEN;1939;1946;1990;1990;3;3;0;1;0;5;0;L9506;1939;1960;x
约恩森 ;9507;DEN;1930;1990;1990;1990;3;3;1;0;0;5;0;L9507;1930;1960;x
克努特松 ;9508;DEN;1940;1990;1990;1990;3;4;0;0;0;5;0;L9508;1940;1960;x
克吕兴 ;9509;DEN;1930;1990;1990;1990;3;3;0;0;0;3;0;L9509;1930;1960;x
拉森 ;9510;DEN;1943;1990;1990;1990;3;6;260;1;0;5;0;L9510;1943;1945;x
梅茨 ;9511;DEN;1930;1930;1990;1990;2;3;0;0;0;5;0;L9511;1930;1960;x
普里奥尔 ;9512;DEN;1930;1930;1930;1990;1;3;0;0;0;4;0;L9512;1930;1960;x
罗尔斯特 ;9513;DEN;1939;1944;1990;1990;3;4;0;1;0;5;0;L9513;1939;1960;x
佐默费尔特 ;9514;DEN;1930;1930;1990;1990;2;4;576;1;0;5;0;L9514;1930;1939;x
冯 哈尔博 ;9515;DEN;1930;1990;1990;1990;3;4;544;1;0;5;0;L9515;1930;1960;x
冯 沙尔堡 ;9516;DEN;1938;1990;1990;1990;3;3;4;0;0;3;0;L9516;1938;1941;x
维特 ;9517;DEN;1930;1930;1930;1990;1;5;514;1;0;5;0;L9517;1930;1960;x
德 克雷弗克 ;9518;DEN;1930;1930;1990;1990;2;3;2560;0;0;5;1;L9518;1930;1960;x
哈梅里希 ;9519;DEN;1930;1939;1945;1990;2;3;0;2;0;4;1;L9519;1930;1960;x
蓬托皮丹 ;9520;DEN;1930;1990;1990;1990;3;3;0;0;0;5;1;L9520;1930;1960;x
雷希尼策 ;9521;DEN;1930;1990;1990;1990;3;3;0;0;0;5;1;L9521;1930;1960;x
乌尔里希 ;9522;DEN;1938;1944;1990;1990;3;4;1024;1;0;5;1;L9522;1938;1960;x
费德尔 ;9523;DEN;1930;1930;1990;1990;2;5;4096;1;0;4;1;L9523;1930;1942;x
安德森 ;9524;DEN;1938;1990;1990;1990;3;3;131072;0;0;5;2;L9524;1938;1943;x
比克斯滕 ;9525;DEN;1941;1990;1990;1990;3;4;4096;0;0;4;2;L9525;1941;1960;x
埃塞曼 ;9526;DEN;1930;1930;1990;1990;2;3;8704;0;0;5;2;L9526;1930;1939;x
雅各布森 ;9527;DEN;1930;1939;1990;1990;3;3;16896;1;0;5;2;L9527;1930;1960;x
卡姆博格 ;9528;DEN;1941;1990;1990;1990;3;3;32768;0;0;5;2;L9528;1941;1960;x
乌尔里希 ;9529;DEN;1938;1944;1990;1990;3;3;0;1;0;5;2;L9529;1938;1960;x
厄鲁姆 ;9530;DEN;1941;1990;1990;1990;3;3;0;0;0;3;2;L9530;1941;1960;x
亚尔弗 ;9531;DEN;1939;1943;1945;1990;1;4;4;2;0;5;0;L9531;1939;1960;x
舍特-埃里克森 ;9532;DEN;1942;1945;1990;1990;2;4;4;1;0;5;0;L9532;1942;1960;x
