Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿明 ;550000;EAF;1944;1946;1990;1990;2;3;32;1;0;5;0;L550000;1944;1960;x
班塔利萨 ;550001;EAF;1945;1990;1990;1990;3;3;256;0;0;5;0;L550001;1945;1960;x
博吉塔 ;550002;EAF;1940;1945;1990;1990;2;3;128;1;0;5;0;M550042;1940;1960;x
布鲁克-波帕姆 ;550003;EAF;1930;1930;1930;1990;1;6;513;3;0;5;0;L1051;1930;1942;x
卡弗 ;550004;EAF;1941;1943;1990;1990;2;8;129;1;0;5;0;L1069;1941;1960;x
沙瓦 ;550005;EAF;1930;1990;1990;1990;3;2;0;0;0;5;0;M550044;1930;1943;x
达塔维 ;550006;EAF;1945;1990;1990;1990;3;2;0;0;0;5;0;M550043;1945;1960;x
加布雷 ;550007;EAF;1943;1945;1990;1990;2;3;1;1;0;5;0;L550007;1943;1960;x
伊本 哈鲁布 ;550008;EAF;1930;1930;1930;1930;0;1;0;0;0;5;0;M550011;1930;1960;x
朱马拉 ;550009;EAF;1945;1990;1990;1990;3;2;64;0;0;5;0;M550039;1945;1960;x
米尔斯 ;550010;EAF;1941;1990;1990;1990;3;5;257;1;0;5;0;M550040;1941;1960;x
米切尔 ;550011;EAF;1930;1930;1945;1990;2;3;1;2;0;5;0;M550001;1930;1960;x
穆塔萨 ;550012;EAF;1938;1990;1990;1990;3;2;0;0;0;5;0;M550038;1938;1960;x
穆泽瓦 ;550013;EAF;1945;1990;1990;1990;3;2;0;0;0;5;0;L550013;1945;1960;x
尼科尔森 ;550014;EAF;1942;1990;1990;1990;3;5;16;0;0;5;0;L550014;1942;1960;x
欧希迪亚 ;550015;EAF;1945;1990;1990;1990;3;2;0;0;0;5;0;L550015;1945;1960;x
奥凯洛 ;550016;EAF;1945;1990;1990;1990;3;2;64;0;0;5;0;L550016;1945;1960;x
奥潘德 ;550017;EAF;1945;1990;1990;1990;3;2;4;0;0;5;0;L550017;1945;1960;x
皮尔逊 ;550018;EAF;1939;1942;1990;1990;2;4;4;1;0;5;0;M550037;1940;1960;x
皮林 ;550019;EAF;1940;1940;1945;1990;1;3;2;1;0;5;0;M550018;1940;1960;x
史蒂文森 ;550020;EAF;1930;1930;1990;1990;2;3;514;1;0;5;0;M550007;1930;1940;x
巴特希尔 ;550021;EAF;1930;1939;1941;1990;1;4;4096;2;0;5;1;M550009;1930;1960;x
沙瓦 ;550022;EAF;1930;1990;1990;1990;3;1;2048;0;0;5;1;M550044;1930;1943;x
马修 ;550023;EAF;1941;1990;1990;1990;3;2;0;0;0;5;1;L550023;1941;1944;x
帕泰尔 ;550024;EAF;1940;1943;1990;1990;2;4;0;1;0;5;1;L550024;1940;1960;x
卡斯特罗 杜瓦蒂 ;550025;EAF;1944;1990;1990;1990;3;3;32768;0;0;5;2;L550025;1944;1960;x
法夸尔森 邓达斯 ;550026;EAF;1930;1940;1990;1990;2;4;4096;1;0;5;2;M550010;1930;1960;x
霍韦-多布森 ;550027;EAF;1939;1942;1990;1990;2;3;16384;1;0;5;2;M550048;1939;1960;x
麦凯 ;550028;EAF;1941;1990;1990;1990;3;3;4096;0;0;5;2;L550028;1941;1960;x
奥潘德 ;550029;EAF;1945;1990;1990;1990;3;2;0;0;0;5;2;L550017;1945;1960;x
帕特森-克拉克 ;550030;EAF;1940;1990;1990;1990;3;2;8192;0;0;5;2;L550030;1940;1946;x
菲利普森 ;550031;EAF;1938;1990;1990;1990;3;3;65536;0;0;5;2;L550031;1938;1960;x
