Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
布雷德 ;4900;EST;1930;1930;1990;1990;2;5;4;0;0;5;0;L4900;1930;1940;x
海因策 ;4901;EST;1930;1943;1990;1990;3;4;256;1;0;4;0;L4901;1930;1945;x
海尔克 ;4902;EST;1930;1930;1990;1990;2;4;2;0;0;4;0;L4902;1930;1940;x
雅克松 ;4903;EST;1930;1930;1930;1990;1;4;0;1;0;4;0;L4903;1930;1940;x
耶尔万 ;4904;EST;1930;1990;1990;1990;3;4;128;0;0;4;0;L4904;1930;1940;x
琼森 ;4905;EST;1938;1942;1990;1990;3;5;0;1;0;5;0;L4905;1938;1960;x
克尔马 ;4906;EST;1939;1990;1990;1990;3;5;64;0;0;4;0;L4906;1939;1945;x
卡塞坎普 ;4907;EST;1930;1930;1990;1990;2;4;0;0;0;3;0;L4907;1930;1940;x
考勒 ;4908;EST;1930;1990;1990;1990;3;4;0;0;0;3;0;L4908;1930;1940;x
克鲁斯 ;4909;EST;1937;1942;1990;1990;3;4;0;1;0;3;0;L4909;1937;1960;x
库尔维茨 ;4910;EST;1930;1990;1990;1990;3;4;32;0;0;4;0;L4910;1930;1940;x
莱多纳 ;4911;EST;1930;1930;1930;1990;1;4;0;1;0;4;0;L4911;1930;1940;x
努吉塞克斯 ;4912;EST;1942;1990;1990;1990;3;4;4;0;0;4;0;L4912;1942;1960;x
列巴涅 ;4913;EST;1930;1990;1990;1990;3;4;2;0;0;4;0;L4913;1930;1940;x
雷克 ;4914;EST;1930;1930;1943;1990;2;4;0;2;0;4;0;L4914;1930;1960;x
里帕鲁 ;4915;EST;1930;1990;1990;1990;3;4;16;0;0;4;0;L4915;1930;1940;x
辛卡 ;4916;EST;1930;1990;1990;1990;3;4;0;0;0;3;0;L4916;1930;1940;x
托尔莫夫 ;4917;EST;1930;1930;1990;1990;2;4;8;0;0;5;0;L4917;1930;1940;x
托姆萨尔 ;4918;EST;1930;1942;1990;1990;2;4;0;1;0;4;0;L4918;1930;1945;x
特拉克斯马 ;4919;EST;1939;1945;1990;1990;3;4;0;1;0;4;0;L4919;1939;1960;x
图伊斯克 ;4920;EST;1930;1990;1990;1990;3;4;0;0;0;4;0;L4920;1930;1940;x
图林 ;4921;EST;1938;1990;1990;1990;3;4;1;0;0;4;0;L4921;1938;1943;x
文特 ;4922;EST;1930;1930;1990;1990;2;4;0;0;0;4;0;L4922;1930;1945;x
韦尔梅特 ;4923;EST;1938;1944;1990;1990;3;5;0;1;0;4;0;L4923;1938;1960;x
尼尔克 ;4924;EST;1938;1945;1990;1990;3;5;1024;1;0;5;1;L4924;1938;1960;x
梅雷 ;4925;EST;1945;1947;1990;1990;3;4;0;1;0;5;1;L4925;1945;1960;x
皮特卡 ;4926;EST;1930;1930;1990;1990;2;4;0;0;0;5;1;L4926;1930;1940;x
施特赖曼 ;4927;EST;1944;1990;1990;1990;3;4;0;0;0;5;1;L4927;1944;1960;x
劳德 ;4928;EST;1930;1990;1990;1990;3;4;0;0;0;5;2;L4928;1930;1940;x
蒂多 ;4929;EST;1938;1990;1990;1990;3;4;0;0;0;5;2;L4929;1938;1945;x
通贝格 ;4930;EST;1940;1945;1990;1990;2;5;0;1;0;5;2;L4930;1940;1960;x
特尼松 ;4931;EST;1930;1930;1990;1990;2;4;32768;0;0;4;2;L4931;1930;1940;x
冯 萨尔扎 ;4932;EST;1930;1930;1990;1990;2;4;0;1;0;5;1;L4932;1930;1939;x
