Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
艾罗 ;9700;FIN;1930;1944;1990;1990;3;6;0;2;0;4;0;Airo_Aksel_Frederik_fin;1930;1960;x
阿尔夫坦 ;9701;FIN;1941;1990;1990;1990;3;5;10;1;0;4;0;Alfthan_Harry_fin;1941;1960;x
阿拉尤里 ;9702;FIN;1930;1990;1990;1990;3;4;0;1;0;4;0;Arajuuri_Johan_Viktor_fin;1930;1960;x
奥蒂 ;9703;FIN;1940;1943;1990;1990;3;6;9;2;0;4;0;Autti_Pietari_fin;1940;1960;x
布利克 ;9704;FIN;1930;1939;1990;1990;2;6;12;2;0;4;0;Blick_Aarne_fin;1930;1960;x
埃克伯格 ;9705;FIN;1939;1990;1990;1990;3;4;0;1;0;5;0;Ekberg_Leo_Aleksander_fin;1939;1960;x
法格奈斯 ;9706;FIN;1940;1990;1990;1990;3;6;8;1;0;4;0;Fagernaes_Frans_Uno_fin;1940;1960;x
格兰德尔 ;9707;FIN;1930;1938;1990;1990;2;4;1;2;0;5;0;Grandell_Leonard_August_Mathias_fin;1930;1960;x
哈内尔 ;9708;FIN;1930;1939;1990;1990;2;6;2;2;0;4;0;Hanell_Edvard_fin;1930;1947;x
汉努克塞拉 ;9709;FIN;1938;1990;1990;1990;3;5;72;1;0;4;0;Hannuksela_Hannu_Esa_fin;1938;1942;x
海因里希斯  E. ;9710;FIN;1930;1930;1940;1990;1;7;8;3;0;4;0;Heinrichs_Axel_Erik_fin;1930;1960;x
海斯卡宁  J.H. ;9711;FIN;1939;1990;1990;1990;3;5;8;1;0;4;0;Heiskanen_Juho_Henrik_fin;1939;1960;x
海斯卡宁  K.A. ;9712;FIN;1940;1941;1946;1990;2;6;12;3;0;4;0;Heiskanen_Kaarlo_Aleksander_fin;1940;1960;x
赫尔萨洛 ;9713;FIN;1938;1990;1990;1990;3;5;8;1;0;4;0;Hersalo_Niilo_Viktor_fin;1938;1960;x
黑格隆德 ;9714;FIN;1930;1930;1990;1990;2;5;10;1;0;4;0;Haegglund_Woldemar_fin;1930;1960;x
