Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿尔当·杜·皮克 ;24000;FRA;1930;1938;1990;1990;2;4;1;2;0;5;0;L24000;1930;1999;x
阿拉博斯 ;24001;FRA;1930;1939;1990;1990;3;3;0;2;0;4;0;L24001;1930;1999;x
阿曼德 ;24002;FRA;1943;1990;1990;1990;3;4;1;1;0;4;0;L24002;1943;1999;x
阿明盖特 ;24003;FRA;1937;1939;1990;1990;2;3;0;2;0;3;0;L24003;1937;1999;x
阿瑙德 ;24004;FRA;1939;1990;1990;1990;3;3;2;1;0;4;0;L24004;1939;1999;x
奥代 ;24005;FRA;1930;1938;1943;1990;3;4;34;3;0;4;0;L24005;1930;1999;x
艾梅 ;24006;FRA;1930;1943;1946;1990;3;4;32;3;0;3;0;L24006;1930;1999;x
巴罗 ;24007;FRA;1930;1990;1990;1990;3;4;64;1;0;4;0;L24007;1930;1999;x
巴斯蒂安 ;24008;FRA;1943;1990;1990;1990;3;4;256;1;0;3;0;L24008;1943;1999;x
博蒙 ;24009;FRA;1938;1990;1990;1990;3;3;32;1;0;4;0;L24009;1938;1999;x
贝尔廷·布叙 ;24010;FRA;1937;1940;1990;1990;3;3;1;2;0;4;0;L24010;1937;1999;x
贝图阿尔 ;24011;FRA;1940;1942;1943;1990;1;6;36;3;0;5;0;L24011;1940;1999;x
比约特 ;24012;FRA;1943;1946;1990;1990;3;6;32;2;0;5;0;L24012;1943;1999;x
宾根 ;24013;FRA;1942;1990;1990;1990;3;5;64;1;0;5;0;L24013;1942;1999;x
布兰克 ;24014;FRA;1930;1930;1938;1990;1;3;0;2;0;4;0;L24014;1930;1999;x
布兰查德 ;24015;FRA;1930;1930;1990;1990;2;4;2;1;0;4;0;L24015;1930;1999;x
布朗谢 ;24016;FRA;1943;1946;1990;1990;3;4;4;2;0;4;0;L24016;1943;1999;x
布莱佐 ;24017;FRA;1940;1943;1944;1990;2;5;64;3;0;5;0;L24017;1940;1999;x
邦迪斯 ;24018;FRA;1944;1945;1990;1990;3;6;256;2;0;5;0;L24018;1944;1999;x
布尔热·毛诺里 ;24019;FRA;1944;1947;1990;1990;3;3;32;2;0;3;0;L24019;1944;1999;x
布里杜 ;24020;FRA;1930;1939;1990;1990;2;3;0;1;0;2;0;L24020;1930;1999;x
布里奥萨 ;24021;FRA;1944;1945;1990;1990;3;5;0;2;0;5;0;L24021;1944;1999;x
布罗卡尔 ;24022;FRA;1939;1990;1990;1990;3;4;128;1;0;5;0;L24022;1939;1943;x
布罗塞 ;24023;FRA;1942;1943;1990;1990;2;5;4;2;0;5;0;L24023;1942;1999;x
布吕诺 ;24024;FRA;1939;1990;1990;1990;3;4;128;1;0;4;0;L24024;1939;1941;x
卡利斯 ;24025;FRA;1942;1945;1990;1990;3;5;4;2;0;5;0;L24025;1942;1999;x
卡梅里尼 ;24026;FRA;1946;1990;1990;1990;3;4;256;1;0;5;0;L24026;1946;1999;x
卡莱斯 ;24027;FRA;1930;1938;1990;1990;2;3;1;2;0;4;0;L24027;1930;1999;x
卡彭铁尔 ;24028;FRA;1940;1944;1947;1990;3;6;33;3;0;5;0;L24028;1940;1999;x
卡特鲁 ;24029;FRA;1939;1941;1943;1947;2;6;68;4;0;4;0;L24029;1939;1999;x
恰班·德尔马斯 ;24030;FRA;1944;1990;1990;1990;3;3;1;1;0;5;0;L24030;1944;1999;x
沙尔迪尼 ;24031;FRA;1930;1930;1990;1990;2;4;514;1;0;5;0;L24031;1930;1939;x
舍维利翁 ;24032;FRA;1942;1946;1990;1990;3;5;1;2;0;5;0;L24032;1942;1999;x
科利特 ;24033;FRA;1941;1944;1990;1990;3;6;257;2;0;5;0;L24033;1941;1999;x
科尔森 ;24034;FRA;1930;1930;1930;1990;1;5;2;2;0;2;0;L24034;1930;1999;x
孔戴 ;24035;FRA;1930;1930;1930;1990;1;5;514;2;0;5;0;L24035;1930;1999;x
科拉普 ;24036;FRA;1930;1930;1938;1990;1;6;2;2;0;5;0;L24036;1930;1999;x
科尔尼耶 ;24037;FRA;1930;1930;1990;1990;2;3;514;1;0;5;0;L24037;1930;1939;x
克雷潘·阿蒂 ;24038;FRA;1943;1990;1990;1990;3;5;4;1;0;4;0;L24038;1943;1999;x
德·阿拉斯 ;24039;FRA;1930;1939;1990;1990;2;4;0;2;0;5;0;L24039;1930;1999;x
德·哈考特 ;24040;FRA;1943;1990;1990;1990;3;4;256;1;0;4;0;L24040;1943;1999;x
德·巴泽莱尔·德·鲁皮埃雷 ;24041;FRA;1930;1938;1990;1990;2;4;513;2;0;4;0;L24041;1930;1999;x
德·贝努维尔 ;24042;FRA;1944;1990;1990;1990;3;5;4;1;0;5;0;L24042;1944;1999;x
德·布瓦西厄·德·吕涅 ;24043;FRA;1939;1990;1990;1990;3;4;4;1;0;5;0;L24043;1939;1999;x
德·科尔塔 ;24044;FRA;1938;1990;1990;1990;3;3;1;1;0;3;0;L24044;1938;1999;x
德·库基斯 ;24045;FRA;1944;1990;1990;1990;3;3;32;1;0;5;0;L24045;1944;1999;x
德·叙沃特 ;24046;FRA;1939;1990;1990;1990;3;3;2;1;0;4;0;L24046;1939;1942;x
戴高乐 ;24047;FRA;1939;1940;1941;1990;1;8;164;3;0;5;0;L24047;1939;1999;x
德·吉耶邦 ;24048;FRA;1944;1990;1990;1990;3;4;1;1;0;5;0;L24048;1944;1999;x
