Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
奥古斯蒂斯 ;562000;GUY;1930;1940;1942;1990;1;5;128;2;0;5;0;M562008;1930;1960;x
巴里斯特 ;562001;GUY;1942;1990;1990;1990;3;4;32;0;0;5;0;L562001;1942;1960;x
比克伍德 ;562002;GUY;1930;1930;1990;1990;2;4;2;1;0;5;0;M562007;1930;1960;x
卡彭特 ;562003;GUY;1941;1990;1990;1990;3;3;0;0;0;5;0;L562003;1941;1960;x
德鲁 ;562004;GUY;1930;1939;1990;1990;2;4;513;2;0;5;0;L1111;1930;1960;x
福里斯特 ;562005;GUY;1938;1941;1990;1990;2;4;1;1;0;5;0;M562025;1938;1960;x
希尔顿-格林 ;562006;GUY;1930;1940;1990;1990;3;4;4;1;0;5;0;L1164;1930;1960;x
勒特福德 ;562007;GUY;1941;1990;1990;1990;3;4;256;0;0;5;0;L562007;1941;1960;x
洛班 ;562008;GUY;1939;1943;1990;1990;2;3;1;1;0;5;0;M562027;1939;1960;x
威廉斯 ;562009;GUY;1942;1990;1990;1990;3;3;64;0;0;5;0;L562009;1942;1960;x
伍滕 ;562010;GUY;1941;1990;1990;1990;3;2;0;0;0;5;0;L562010;1941;1960;x
比奇洛 ;562011;GUY;1930;1940;1990;1990;2;5;1024;1;0;5;1;M562009;1930;1960;x
弗格森 ;562012;GUY;1939;1990;1990;1990;3;4;4096;0;0;5;1;L562012;1939;1960;x
洛班 ;562013;GUY;1939;1943;1990;1990;2;3;0;1;0;5;1;M562027;1939;1960;x
麦克墨菲 ;562014;GUY;1940;1990;1990;1990;3;3;2048;0;0;5;1;L562014;1940;1960;x
巴克斯特 ;562015;GUY;1939;1990;1990;1990;3;3;65536;0;0;5;2;L562015;1939;1960;x
伯内特 ;562016;GUY;1930;1940;1990;1990;2;4;131072;1;0;5;2;M562010;1930;1960;x
勒戈尔特 ;562017;GUY;1940;1990;1990;1990;3;4;0;0;0;5;2;L562017;1940;1960;x
勒特福德 ;562018;GUY;1941;1990;1990;1990;3;3;0;0;0;5;2;L562007;1941;1960;x
莱特富特 ;562019;GUY;1930;1941;1990;1990;3;3;4096;1;0;5;2;M562031;1930;1960;x
