Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
查尔斯 ;220000;HAI;1944;1990;1990;1990;3;3;1;0;0;3;0;L220000;1944;1960;x
德 阿隆德 ;220001;HAI;1930;1939;1990;1990;2;3;0;1;0;3;0;L220001;1930;1944;x
加罗 ;220002;HAI;1945;1990;1990;1990;3;3;256;0;0;4;0;L220002;1945;1960;x
拉沃 ;220003;HAI;1930;1940;1944;1990;2;4;0;2;0;3;0;L220003;1930;1960;x
莱斯科 ;220004;HAI;1930;1930;1939;1990;1;3;0;1;0;3;0;L220004;1930;1946;x
勒韦 ;220005;HAI;1930;1939;1990;1990;2;3;4;1;0;3;0;L220005;1930;1960;x
马格卢瓦尔 ;220006;HAI;1938;1942;1990;1990;2;4;0;1;0;4;0;L220006;1938;1960;x
努伊雷斯 ;220007;HAI;1943;1946;1990;1990;3;3;0;1;0;3;0;L220007;1943;1960;x
罗伊 埃米尔 ;220008;HAI;1941;1990;1990;1990;3;3;128;0;0;4;0;L220008;1941;1960;x
维尔 ;220009;HAI;1945;1990;1990;1990;3;4;0;0;0;3;0;L220009;1945;1960;x
加罗 ;220010;HAI;1945;1990;1990;1990;3;3;0;0;0;4;1;L220010;1945;1960;x
莱热 ;220011;HAI;1930;1930;1930;1990;1;3;0;1;0;4;1;L220011;1930;1942;x
内穆尔 ;220012;HAI;1930;1930;1990;1990;2;3;0;0;0;4;1;L220012;1930;1939;x
圣 弗雷德里克 ;220013;HAI;1939;1943;1990;1990;2;4;0;1;0;3;1;L220013;1939;1960;x
巴罗 ;220014;HAI;1943;1990;1990;1990;3;3;0;0;0;4;2;L220014;1943;1960;x
埃查曼特 ;220015;HAI;1930;1990;1990;1990;3;3;0;0;0;4;2;L220015;1930;1943;x
福尔班 ;220016;HAI;1945;1990;1990;1990;3;3;0;0;0;4;2;L220016;1945;1960;x
纪尧姆 ;220017;HAI;1943;1946;1990;1990;2;4;0;1;0;3;2;L220017;1943;1960;x
罗伊 ;220018;HAI;1930;1930;1990;1990;2;5;0;2;0;4;2;L220018;1930;1943;x
圣 弗雷德里克 ;220019;HAI;1939;1943;1990;1990;3;3;131072;1;0;3;2;L220019;1939;1960;x
