Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿部 信行 ;101000;JAP;1930;1930;1930;1990;1;4;4;1;0;5;0;L101000;1930;1990;x
安达 二十三 ;101001;JAP;1938;1940;1990;1990;2;6;16;2;0;5;0;L101001;1938;1947;x
相田 俊二 ;101002;JAP;1943;1990;1990;1990;3;4;1;1;0;5;0;L101002;1943;1990;x
赤鹿 理 ;101003;JAP;1941;1990;1990;1990;3;4;0;1;0;5;0;L101003;1941;1990;x
吉田 峰太郎 ;101004;JAP;1939;1943;1990;1990;2;4;0;2;0;5;0;L101004;1939;1990;x
天野 正一 ;101005;JAP;1945;1947;1990;1990;3;5;0;2;0;5;0;L101005;1945;1990;x
雨宫 巽 ;101006;JAP;1930;1938;1945;1990;2;4;0;3;0;5;0;L101006;1930;1990;x
安藤 利吉 ;101008;JAP;1930;1930;1930;1990;1;7;4;3;0;5;0;L101008;1930;1990;x
安藤 三郎 ;101009;JAP;1930;1942;1990;1990;2;4;576;1;0;5;0;L101009;1930;1990;x
青木 敬一 ;101010;JAP;1941;1944;1990;1990;3;5;0;2;0;5;0;L101010;1941;1990;x
青津 久太郎 ;101011;JAP;1944;1990;1990;1990;3;3;2;1;0;5;0;L101011;1944;1990;x
荒木 贞夫 ;101012;JAP;1930;1930;1930;1990;1;4;0;2;0;5;0;L101012;1930;1990;x
有川 圭一 ;101013;JAP;1944;1990;1990;1990;3;4;2;1;0;5;0;L101013;1944;1990;x
昂山 ;101015;JAP;1942;1990;1990;1990;3;6;16;2;0;5;0;L101015;1942;1947;x
绫部 橘树 ;101016;JAP;1938;1940;1990;1990;2;6;0;3;0;5;0;L101016;1938;1990;x
马场 正郎 ;101017;JAP;1940;1943;1990;1990;3;5;4;2;0;5;0;L101017;1940;1990;x
坂西 一良 ;101018;JAP;1944;1990;1990;1990;3;5;256;1;0;5;0;L101018;1944;1990;x
钱德拉 鲍斯 ;101019;JAP;1943;1990;1990;1990;3;4;16;2;0;5;0;L101019;1943;1945;x
长 勇 ;101020;JAP;1930;1930;1990;1990;2;5;0;2;0;5;0;L101020;1930;1943;x
远藤 三郎 ;101022;JAP;1938;1941;1990;1990;2;5;0;2;0;5;0;L101022;1939;1990;x
藤江 惠辅 ;101023;JAP;1930;1930;1938;1990;1;7;64;3;0;5;0;L101023;1930;1990;x
富士井 末吉 ;101024;JAP;1938;1941;1990;1990;3;4;0;1;0;5;0;L101024;1938;1990;x
藤冈 武雄 ;101025;JAP;1943;1944;1990;1990;2;4;0;2;0;5;0;L101025;1943;1990;x
福井 浩太郎 ;101026;JAP;1930;1930;1990;1990;2;6;514;1;0;5;0;L101026;1930;1940;x
船引 正之 ;101027;JAP;1938;1943;1990;1990;3;5;0;2;0;5;0;L101027;1938;1990;x
花田 洋治 ;101028;JAP;1942;1990;1990;1990;3;4;16;1;0;3;0;L101028;1942;1945;x
波田 重一 ;101029;JAP;1930;1930;1930;1990;1;7;516;1;0;5;0;L101029;1930;1938;x
花谷 正 ;101030;JAP;1938;1943;1990;1990;2;5;0;2;0;5;0;L101030;1938;1990;x
原田 贞三郎 ;101031;JAP;1939;1943;1990;1990;2;4;0;2;0;5;0;L101031;1939;1946;x
原田 宽 ;101032;JAP;1943;1990;1990;1990;3;4;0;1;0;5;0;L101032;1943;1990;x
桥本 博光 ;101033;JAP;1942;1990;1990;1990;3;6;64;1;0;5;0;L101033;1942;1990;x
畑 俊六 ;101034;JAP;1930;1930;1930;1943;0;7;4;4;0;5;0;L101034;1930;1990;x
服部 卓四郎 ;101035;JAP;1945;1990;1990;1990;3;5;4;1;0;5;0;L101035;1945;1990;x
林 义秀 ;101036;JAP;1943;1944;1990;1990;3;5;1;2;0;5;0;L101036;1943;1990;x
林田 金城 ;101037;JAP;1944;1990;1990;1990;3;4;0;1;0;5;0;L101037;1944;1990;x
樋口 季一郎 ;101039;JAP;1938;1942;1990;1990;2;6;0;2;0;5;0;L101039;1938;1990;x
平田 正判 ;101040;JAP;1945;1990;1990;1990;3;5;0;1;0;5;0;L101040;1945;1990;x
人见 秀三 ;101042;JAP;1941;1943;1990;1990;2;4;0;2;0;5;0;L101042;1941;1990;x
本多 政材 ;101043;JAP;1938;1940;1990;1990;2;6;3;2;0;5;0;L101043;1938;1990;x
洪 ;101044;JAP;1943;1990;1990;1990;3;4;0;1;0;5;0;L101044;1943;1946;x
洪 思翊 ;101045;JAP;1941;1944;1990;1990;3;4;4;1;0;5;0;L101045;1941;1945;x
北马 ;101047;JAP;1930;1941;1990;1990;2;6;1;2;0;5;0;L101047;1930;1990;x
堀井 富太郎 ;101048;JAP;1930;1940;1990;1990;3;6;256;2;0;5;0;L101048;1930;1942;x
堀内 丰秋 ;101049;JAP;1930;1990;1990;1990;3;5;256;1;0;5;0;L101049;1930;1941;x
星野 利元 ;101050;JAP;1942;1944;1990;1990;2;5;128;2;0;5;0;L101050;1942;1990;x
百武 晴吉 ;101051;JAP;1930;1939;1990;1990;2;6;0;3;0;5;0;L101051;1930;1947;x
一木 清直 ;101052;JAP;1938;1990;1990;1990;3;5;256;1;0;5;0;L101052;1938;1944;x
井出 宣時 ;101053;JAP;1943;1990;1990;1990;3;4;0;1;0;5;0;L101053;1943;1990;x
井出 铁藏 ;101054;JAP;1941;1990;1990;1990;3;5;1;1;0;5;0;L101054;1941;1990;x
饭田 祥二郎 ;101055;JAP;1938;1941;1990;1990;2;7;4;3;0;5;0;L101055;1938;1990;x
饭村 穰 ;101056;JAP;1939;1941;1990;1990;2;6;0;2;0;5;0;L101056;1939;1990;x
伊集院 谦信 ;101057;JAP;1944;1990;1990;1990;3;5;8;1;0;5;0;L101057;1944;1990;x
今井 武夫 ;101058;JAP;1941;1944;1990;1990;3;5;0;2;0;5;0;L101058;1941;1990;x
今村 均 ;101059;JAP;1930;1938;1943;1990;2;7;260;3;0;5;0;L101059;1930;1990;x
今村 钦一 ;101060;JAP;1930;1939;1990;1990;2;5;0;2;0;5;0;L101060;1930;1990;x
稻叶 四郎 ;101061;JAP;1930;1939;1990;1990;2;4;0;2;0;5;0;L101061;1930;1990;x
石黑 贞藏 ;101062;JAP;1941;1945;1990;1990;2;5;0;2;0;5;0;L101062;1941;1990;x
西原 贯治 ;101065;JAP;1930;1930;1990;1990;2;6;20;2;0;5;0;L101063;1930;1990;x
矶谷 廉介 ;101067;JAP;1937;1942;1990;1990;2;4;0;2;0;5;0;L101067;1937;1990;x
板花 义一 ;101068;JAP;1939;1942;1990;1990;2;5;0;2;0;5;0;L101068;1939;1990;x
伊东 武夫 ;101071;JAP;1941;1944;1990;1990;3;4;4;2;0;5;0;L101071;1941;1990;x
岩畔 豪雄 ;101072;JAP;1941;1990;1990;1990;3;5;0;1;0;5;0;L101072;1941;1990;x
井关 仭 ;101073;JAP;1930;1941;1990;1990;2;4;0;2;0;5;0;L101073;1930;1990;x
河鹿 ;101074;JAP;1942;1946;1990;1990;3;5;0;2;0;5;0;L101074;1942;1990;x
神田 正种 ;101075;JAP;1941;1945;1990;1990;2;6;0;2;0;5;0;L101075;1941;1990;x
金冈 山乔 ;101076;JAP;1930;1990;1990;1990;3;7;64;1;0;5;0;L101076;1930;1990;x
嘉纳 治五郎 ;101078;JAP;1930;1930;1930;1990;1;4;513;1;0;5;0;L101078;1930;1941;x
笠原 幸雄 ;101079;JAP;1941;1945;1990;1990;2;5;16;2;0;5;0;L101079;1941;1990;x
片仓 衷 ;101080;JAP;1944;1990;1990;1990;3;4;0;1;0;5;0;L101080;1944;1990;x
片冈 董 ;101081;JAP;1930;1941;1944;1990;2;5;0;3;0;5;0;L101081;1930;1990;x
香月 清司 ;101082;JAP;1930;1930;1990;1990;2;3;0;1;0;5;0;L101082;1930;1990;x
河边 忠三郎 ;101084;JAP;1930;1941;1990;1990;2;7;0;2;0;5;0;L101084;1930;1990;x
川岸 文三郎 ;101085;JAP;1930;1930;1990;1990;2;4;0;2;0;5;0;L101085;1930;1939;x
川口 清健 ;101086;JAP;1940;1990;1990;1990;3;4;0;1;0;5;0;L101086;1940;1990;x
河村 薰 ;101087;JAP;1945;1990;1990;1990;3;4;2;1;0;5;0;L101087;1945;1990;x
瓦田 隆根 ;101088;JAP;1943;1945;1990;1990;2;5;0;2;0;5;0;L101088;1943;1990;x
河岛 修 ;101089;JAP;1944;1990;1990;1990;3;4;0;1;0;5;0;L101089;1944;1990;x
贺屋 兴宣 ;101090;JAP;1941;1943;1990;1990;2;5;0;2;0;5;0;L101090;1941;1990;x
木户 幸一 ;101091;JAP;1945;1990;1990;1990;3;4;64;1;0;5;0;L101091;1945;1990;x
金锡源 ;101092;JAP;1944;1990;1990;1990;3;4;4;1;0;5;0;L101092;1944;1946;x
木村 兵太郎 ;101093;JAP;1930;1939;1945;1990;1;5;256;2;0;5;0;L101093;1930;1990;x
木村 松治郎 ;101094;JAP;1943;1945;1990;1990;2;4;2;2;0;5;0;L101094;1943;1990;x
岸川 健一 ;101095;JAP;1943;1990;1990;1990;3;5;0;1;0;5;0;L101095;1943;1990;x
木下 容市 ;101096;JAP;1941;1944;1990;1990;2;5;0;2;0;5;0;L101096;1941;1990;x
北岛 骥子雄 ;101097;JAP;1940;1990;1990;1990;3;6;66;1;0;5;0;L101097;1940;1990;x
小林 谦五 ;101098;JAP;1940;1990;1990;1990;3;4;0;1;0;5;0;L101098;1940;1990;x
小林 信男 ;101099;JAP;1940;1945;1990;1990;3;5;0;2;0;5;0;L101099;1940;1990;x
小池 安正 ;101100;JAP;1938;1990;1990;1990;3;5;0;1;0;5;0;L101100;1938;1990;x
小矶 国昭 ;101101;JAP;1930;1930;1937;1990;1;6;16;2;0;5;0;L101101;1930;1945;x
国分 新七郎 ;101102;JAP;1944;1990;1990;1990;3;4;0;1;0;5;0;L101102;1944;1990;x
小松原 道太郎 ;101103;JAP;1930;1938;1990;1990;2;4;0;2;0;5;0;L101103;1930;1940;x
小松崎 力雄 ;101104;JAP;1942;1990;1990;1990;3;4;0;1;0;5;0;L101104;1942;1990;x
菰田 康一 ;101105;JAP;1937;1941;1990;1990;2;4;0;2;0;5;0;L101105;1937;1990;x
上月 良夫 ;101106;JAP;1937;1942;1946;1990;2;6;0;3;0;5;0;L101106;1937;1990;x
国方 庆三 ;101107;JAP;1930;1939;1990;1990;2;5;0;2;0;5;0;L101107;1930;1990;x
黑田 重德 ;101109;JAP;1938;1942;1990;1990;2;5;0;2;0;5;0;L101109;1938;1990;x
栉渊 金宣一 ;101110;JAP;1943;1945;1990;1990;2;4;0;2;0;5;0;L101110;1943;1990;x
李垠 ;101111;JAP;1942;1990;1990;1990;3;5;0;1;0;5;0;L101111;1942;1945;x
前田 利为 ;101112;JAP;1937;1941;1990;1990;2;5;256;2;0;5;0;L101112;1937;1990;x
牧野 四郎 ;101113;JAP;1930;1941;1990;1990;2;4;0;2;0;5;0;L101113;1930;1945;x
丸山 政男 ;101114;JAP;1938;1941;1990;1990;2;4;0;2;0;5;0;L101114;1938;1990;x
松田 正雄 ;101115;JAP;1939;1990;1990;1990;3;5;1;2;0;5;0;L101115;1939;1990;x
松井 石根 ;101116;JAP;1930;1930;1930;1990;1;5;516;1;0;5;0;L101116;1930;1942;x
南 次郎 ;101117;JAP;1930;1930;1930;1990;1;5;4;3;0;5;0;L101117;1930;1990;x
宫下 健一郎 ;101118;JAP;1944;1990;1990;1990;3;4;0;1;0;5;0;L101118;1944;1990;x
宫內 良夫 ;101119;JAP;1939;1990;1990;1990;3;5;0;1;0;5;0;L101119;1939;1990;x
宫崎 繁三郎 ;101120;JAP;1943;1990;1990;1990;3;6;1;1;0;5;0;L101120;1943;1990;x
森 赳 ;101121;JAP;1937;1941;1990;1990;2;5;0;2;0;5;0;L101121;1937;1990;x
牟田口 廉也 ;101122;JAP;1930;1938;1990;1990;2;4;0;2;0;5;0;L101122;1930;1944;x
长家 ;101124;JAP;1930;1930;1990;1990;2;6;516;1;0;5;0;L101124;1930;1940;x
