Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
巴赫斯 ;19000;LAT;1930;1990;1990;1990;3;3;0;0;0;3;0;L19000;1930;1941;x
巴洛迪斯 ;19001;LAT;1930;1939;1943;1990;2;4;64;2;0;4;0;L19001;1930;1960;x
班格斯基斯 ;19002;LAT;1937;1939;1942;1990;1;4;2;2;0;3;0;L19002;1937;1960;x
贝尔基斯 ;19003;LAT;1930;1930;1940;1990;1;4;0;2;0;3;0;L19003;1930;1942;x
博尔斯坦斯 ;19004;LAT;1938;1990;1990;1990;3;4;4;0;0;4;0;L19004;1938;1940;x
布宾杜斯 ;19005;LAT;1939;1990;1990;1990;3;4;0;0;0;3;0;L19005;1939;1942;x
布克斯 ;19006;LAT;1939;1990;1990;1990;3;3;32;0;0;3;0;L19006;1939;1942;x
塞尔明斯 ;19007;LAT;1939;1942;1990;1990;3;4;4;1;0;4;0;L19007;1939;1945;x
丹比蒂斯 ;19008;LAT;1930;1930;1990;1990;2;5;8;1;0;2;0;L19008;1930;1939;x
丹克 ;19009;LAT;1930;1930;1945;1990;2;4;0;1;0;2;0;L19009;1930;1960;x
迪泽 ;19010;LAT;1941;1990;1990;1990;3;3;0;0;0;4;0;L19010;1941;1960;x
埃塞林斯 ;19011;LAT;1937;1990;1990;1990;3;3;0;0;0;4;0;L19011;1937;1944;x
戈帕斯 ;19012;LAT;1930;1930;1930;1990;1;5;514;1;0;5;0;L19012;1930;1939;x
格罗斯巴特 ;19013;LAT;1940;1941;1990;1990;2;5;128;1;0;2;0;L19013;1940;1944;x
耶斯克 ;19014;LAT;1939;1990;1990;1990;3;3;0;0;0;3;0;L19014;1939;1941;x
克拉芬斯 ;19015;LAT;1930;1930;1940;1990;1;4;513;1;0;5;0;L19015;1930;1941;x
克林森斯 ;19016;LAT;1930;1990;1990;1990;3;4;513;1;0;5;0;L19016;1930;1941;x
克鲁斯汀斯 ;19017;LAT;1930;1940;1990;1990;2;4;0;0;0;3;0;L19017;1930;1941;x
库雷利斯 ;19018;LAT;1938;1943;1990;1990;2;3;32;1;0;3;0;L19018;1938;1960;x
库尔斯 ;19019;LAT;1940;1990;1990;1990;3;3;1;0;0;4;0;L19019;1940;1960;x
洛贝 ;19020;LAT;1942;1990;1990;1990;3;3;4;0;0;2;0;L19020;1942;1945;x
奥西斯 ;19021;LAT;1930;1990;1990;1990;3;3;0;0;0;2;0;L19021;1930;1939;x
普劳尔斯 ;19022;LAT;1937;1990;1990;1990;3;4;2;0;0;5;0;L19022;1937;1941;x
罗森采因斯 ;19023;LAT;1930;1990;1990;1990;3;3;1;0;0;3;0;L19023;1930;1941;x
西尔盖利斯 ;19024;LAT;1942;1990;1990;1990;3;3;2;0;0;2;0;L19024;1942;1960;x
斯克拉普斯 ;19025;LAT;1930;1990;1990;1990;3;3;32;0;0;4;0;L19025;1930;1939;x
斯普罗吉斯 ;19026;LAT;1944;1990;1990;1990;3;5;16;0;0;1;0;L19026;1944;1990;x
特夫佩斯 ;19027;LAT;1939;1990;1990;1990;3;3;0;0;0;3;0;L19027;1939;1960;x
瓦齐尔蒂斯 ;19028;LAT;1943;1945;1947;1990;2;5;4;2;0;4;0;L19028;1943;1960;x
维尔塞蒂斯 ;19029;LAT;1930;1930;1990;1990;2;4;528;1;0;3;0;L19029;1930;1943;x
鲍什科 ;19030;LAT;1930;1938;1990;1990;2;3;2560;1;0;3;1;L19030;1930;1946;x
达博林斯 ;19031;LAT;1944;1990;1990;1990;3;3;0;0;0;5;1;L19031;1944;1960;x
雷巴尔格斯 ;19032;LAT;1930;1930;1990;1990;2;3;0;1;0;5;1;L19032;1941;1945;x
斯佩德 ;19033;LAT;1930;1938;1990;1990;2;3;0;1;0;5;1;L19033;1930;1941;x
蔡波茨 ;19034;LAT;1944;1990;1990;1990;3;3;0;0;0;5;1;L19034;1944;1990;x
鲍什科 ;19035;LAT;1930;1938;1990;1990;2;4;16384;1;0;3;2;L19035;1930;1946;x
因丹斯 ;19036;LAT;1930;1940;1990;1990;3;3;0;1;0;5;2;L19036;1930;1941;x
卡尔帕克斯 ;19037;LAT;1938;1990;1990;1990;3;3;0;0;0;4;2;L19037;1938;1942;x
梅德尼蒂斯 ;19038;LAT;1930;1942;1990;1990;2;4;0;1;0;4;2;L19038;1930;1960;x
鲁切尔斯 ;19039;LAT;1939;1990;1990;1990;3;3;0;0;0;4;2;L19039;1939;1943;x
瓦齐尔蒂斯 ;19040;LAT;1943;1945;1947;1990;2;3;0;2;0;4;2;L19040;1943;1960;x
瓦伊瓦兹 ;19041;LAT;1944;1990;1990;1990;3;3;0;0;0;4;2;L19041;1944;1960;x
