Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
胡志明 ;9972001;U72;1930;1930;1930;1930;0;5;0;2;0;5;0;cvietnam1;1930;1980;x
阮志清 ;9972002;U72;1944;1945;1948;1990;3;5;256;3;0;5;0;unknown;1944;1980;x
陈文茶 ;9972003;U72;1946;1960;1990;1990;2;5;0;1;0;5;0;unknown;1946;1980;x
童士元 ;9972004;U72;1946;1948;1951;1990;2;5;1;2;0;5;0;unknown;1946;1980;x
文进勇 ;9972005;U72;1944;1948;1950;1952;1;5;16;2;0;5;0;unknown;1944;1980;x
武元甲 ;9972006;U72;1940;1944;1946;1948;1;5;1;3;0;5;0;cvietnam7;1940;1980;x
陈贵海 ;9972007;U72;1944;1990;1990;1990;3;5;2;1;0;5;0;unknown;1944;1980;x
阮明州 ;9972008;U72;1945;1990;1990;1990;3;5;0;1;0;5;0;unknown;1945;1980;x
武志公 ;9972009;U72;1944;1990;1990;1990;3;5;0;1;0;5;0;unknown;1944;1980;x
阮氏定 ;9972010;U72;1945;1990;1990;1990;3;5;0;1;0;5;0;unknown;1945;1980;x
谢春秋 ;9972011;U72;1945;1990;1990;1990;3;5;0;1;0;5;1;unknown;1945;1980;x
陈贵海 ;9972012;U72;1945;1990;1990;1990;3;5;0;1;0;5;2;unknown;1945;1980;x
杨得志 ;9972013;U72;1938;1944;1947;1990;2;5;1;1;0;5;0;unknown;1938;1946;x
阮敦 ;9972014;U72;1944;1990;1990;1990;3;5;0;1;0;5;0;unknown;1944;1980;x
宋任穷 ;9972015;U72;1944;1990;1990;1990;3;5;0;1;0;5;0;unknown;1944;1980;x
阮友寿 ;9972016;U72;1930;1941;1944;1947;0;5;0;1;0;5;2;M542055;1930;1980;x
孙德胜 ;9972017;U72;1930;1944;1990;1990;2;5;0;1;0;5;1;M542052;1930;1980;x
杨文明 ;9972018;U72;1943;1947;1990;1990;3;3;128;1;0;5;0;M542046;1943;1960;x
陈赓 ;9972054;U72;1990;1990;1990;1990;1;4;36;2;0;5;0;陈赓;1990;1990;x
韦国清 ;9972055;U72;1990;1990;1990;1990;1;4;18;2;0;5;0;韦国清;1990;1990;x
黄明草 ;9972019;U72;1939;1943;1990;1990;2;4;16;1;0;5;0;L542015;1939;1960;x
胡志明 ;9972020;U72;1930;1930;1930;1990;1;6;3;3;0;5;0;M542047;1930;1960;x
黎笋 ;9972021;U72;1930;1940;1945;1990;1;6;1;3;0;5;0;L542021;1930;1960;x
黎文金 ;9972022;U72;1944;1990;1990;1990;3;2;1;0;0;5;0;L542022;1944;1960;x
倪文正 ;9972025;U72;1945;1990;1990;1990;3;2;128;0;0;5;0;L542025;1945;1960;x
阮高世 ;9972026;U72;1945;1990;1990;1990;3;2;0;0;0;5;0;L542026;1945;1960;x
阮谷孝 ;9972027;U72;1945;1990;1990;1990;3;3;4;0;0;5;0;L542027;1945;1960;x
阮友谷 ;9972028;U72;1942;1947;1990;1990;3;3;2;1;0;5;0;M542043;1942;1960;x
阮庆 ;9972029;U72;1945;1990;1990;1990;3;2;256;0;0;5;0;L542029;1945;1960;x
罗宾 ;9972031;U72;1930;1930;1990;1990;2;3;2;0;0;5;0;M542002;1930;1940;x
陶伯寿 ;9972032;U72;1945;1990;1990;1990;3;2;0;0;0;5;0;L542032;1945;1960;x
维尼厄 ;9972033;U72;1940;1990;1990;1990;3;3;128;0;0;5;0;L542033;1940;1960;x
永禄 ;9972034;U72;1944;1990;1990;1990;3;2;1;0;0;5;0;L542034;1944;1960;x
武元甲 ;9972035;U72;1930;1939;1942;1990;1;9;20;5;0;5;0;L542035;1930;1960;x
王文同 ;9972036;U72;1945;1990;1990;1990;3;2;256;0;0;5;0;L542036;1945;1960;x
安水高 ;9972037;U72;1945;1990;1990;1990;3;2;1024;0;0;5;1;L542037;1945;1960;x
胡晋全 ;9972039;U72;1941;1946;1990;1990;2;3;1024;1;0;5;1;M542051;1941;1960;x
黎群 ;9972041;U72;1938;1944;1990;1990;2;3;8192;1;0;5;1;M542042;1938;1960;x
勒武奇 ;9972042;U72;1930;1990;1990;1990;3;3;0;0;0;5;1;L542042;1930;1960;x
阮成智 ;9972043;U72;1943;1990;1990;1990;3;2;2048;0;0;5;1;L542043;1943;1960;x
帕基耶 ;9972044;U72;1930;1930;1930;1990;1;3;4608;1;0;5;1;M542009;1930;1941;x
庄嵩笃 ;9972045;U72;1945;1990;1990;1990;3;2;0;0;0;5;1;M542052;1945;1960;x
阮友寿 ;9972052;U72;1930;1930;1990;1990;2;2;4096;0;0;5;2;M542055;1930;1960;x
蓬佩 ;9972053;U72;1941;1990;1990;1990;3;3;0;0;0;5;2;L542053;1941;1960;x
