Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
巴德拉克 ;330000;MON;1930;1930;1938;1990;1;4;9;1;0;3;0;L330000;1930;1941;x
奇米德 ;330001;MON;1930;1930;1930;1938;0;3;0;1;0;5;0;L330001;1930;1941;x
乔巴山 ;330002;MON;1930;1930;1938;1941;1;4;16;2;0;5;0;L330002;1930;1999;x
杰姆切东格洛夫 ;330003;MON;1930;1938;1990;1990;2;3;0;1;0;4;0;L330003;1930;1941;x
迪德伊 ;330004;MON;1939;1941;1990;1990;2;3;1;1;0;5;0;L330004;1939;1999;x
费克林科 ;330005;MON;1941;1990;1990;1990;3;3;4;0;0;5;0;L330005;1941;1999;x
伊尔盖尔 ;330006;MON;1939;1945;1990;1990;3;4;0;1;0;5;0;L330006;1939;1999;x
伊万纽克 ;330007;MON;1941;1990;1990;1990;3;3;2;0;0;5;0;L330007;1941;1999;x
克留琼金 ;330008;MON;1941;1990;1990;1990;3;3;1;0;0;5;0;L330008;1941;1999;x
库利耶夫 ;330009;MON;1930;1942;1990;1990;3;4;64;1;0;5;0;L330009;1930;1999;x
李守信 ;330010;MON;1941;1943;1990;1990;2;3;256;1;0;2;0;L330010;1941;1999;x
卢布桑 ;330011;MON;1930;1930;1930;1990;1;3;0;1;0;5;0;L330011;1930;1938;x
吕邦格里扬 ;330012;MON;1941;1945;1990;1990;3;4;4;1;0;5;0;L330012;1941;1999;x
马赫巴里德 ;330013;MON;1942;1944;1990;1990;2;3;0;1;0;5;0;L330013;1942;1999;x
门德罗 ;330014;MON;1940;1990;1990;1990;3;4;128;0;0;5;0;L330014;1940;1999;x
米桑 ;330015;MON;1941;1990;1990;1990;3;3;32;0;0;5;0;L330015;1941;1999;x
尼科连科 ;330016;MON;1941;1990;1990;1990;3;4;8;0;0;5;0;L330016;1941;1999;x
曾登巴尔 ;330017;MON;1938;1941;1946;1990;2;4;0;2;0;5;0;L330017;1938;1999;x
卢布桑 ;330018;MON;1930;1930;1990;1990;2;3;0;1;0;5;1;L330018;1930;1938;x
佩塞洛夫 ;330019;MON;1930;1930;1990;1990;2;3;0;1;0;5;1;L330019;1938;1999;x
卢布桑 ;330020;MON;1942;1990;1990;1990;3;3;0;0;0;5;2;L330020;1942;1999;x
斯穆什克维奇 ;330021;MON;1930;1930;1990;1990;2;6;16384;2;0;5;2;L330021;1930;1938;x
斯捷潘诺夫 ;330022;MON;1941;1990;1990;1990;3;3;0;0;0;5;2;L330022;1941;1999;x
乌兰胡 ;330023;MON;1941;1944;1947;1990;2;3;0;2;0;5;2;L330023;1941;1999;x
扎尔宁 ;330024;MON;1930;1930;1990;1990;2;4;4096;1;0;5;2;L330024;1938;1999;x
