Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
贝伦特 ;544000;MTN;1930;1930;1942;1990;1;2;2;1;0;5;0;M544028;1930;1960;x
博伊特勒 ;544001;MTN;1942;1990;1990;1990;3;3;32;0;0;5;0;L544001;1943;1960;x
布吕姆克 ;544002;MTN;1941;1990;1990;1990;3;4;256;0;0;5;0;L544002;1941;1960;x
凯里克 ;544003;MTN;1930;1940;1990;1990;2;3;16;0;0;5;0;M544030;1930;1960;x
达尼洛一世 ;544004;MTN;1930;1930;1930;1930;0;1;0;0;0;5;0;L544004;1930;1960;x
巴霍维奇 ;544005;MTN;1940;1945;1990;1990;2;4;4;1;0;5;0;L544005;1940;1960;x
德 巴奇贝格 ;544006;MTN;1930;1930;1990;1990;2;3;516;1;0;5;0;L544006;1930;1939;x
多伊奇 ;544007;MTN;1942;1990;1990;1990;3;5;256;1;0;5;0;L544007;1942;1960;x
吉拉斯 ;544008;MTN;1942;1990;1990;1990;3;2;2;0;0;5;0;L544008;1942;1960;x
久卡诺维奇 ;544009;MTN;1940;1990;1990;1990;3;3;1;0;0;5;0;L544009;1940;1960;x
久里希奇 ;544010;MTN;1930;1930;1941;1990;2;3;2;1;0;5;0;M544014;1930;1960;x
费勒 ;544011;MTN;1943;1990;1990;1990;3;3;128;0;0;5;0;L544011;1943;1960;x
菲利波维奇 ;544012;MTN;1942;1946;1990;1990;2;3;1;1;0;5;0;M544025;1942;1960;x
芬格 ;544013;MTN;1942;1990;1990;1990;3;3;64;0;0;5;0;L544013;1942;1960;x
加尔维茨 ;544014;MTN;1940;1990;1990;1990;3;4;0;0;0;5;0;L544014;1940;1946;x
戈伊纳 ;544015;MTN;1930;1990;1990;1990;3;3;513;1;0;5;0;M544007;1930;1944;x
戈特舍 ;544016;MTN;1941;1990;1990;1990;3;3;0;0;0;5;0;L544016;1941;1960;x
格罗利希 ;544017;MTN;1942;1990;1990;1990;3;4;128;0;0;5;0;L544017;1942;1960;x
云特 ;544018;MTN;1940;1990;1990;1990;3;3;0;0;0;5;0;L544018;1940;1960;x
格沃兹代诺维奇 ;544019;MTN;1930;1930;1930;1990;1;4;640;1;0;5;0;M544008;1930;1942;x
豪斯 ;544020;MTN;1942;1990;1990;1990;3;4;32;0;0;5;0;L544020;1942;1960;x
亨克 ;544021;MTN;1942;1990;1990;1990;3;4;1;0;0;5;0;L544021;1942;1960;x
赫富特 ;544022;MTN;1940;1990;1990;1990;3;3;4;0;0;5;0;L544022;1940;1960;x
赫歇尔 ;544023;MTN;1941;1990;1990;1990;3;3;2;0;0;5;0;L544023;1942;1947;x
扬科维奇 ;544024;MTN;1930;1930;1930;1990;1;4;513;1;0;5;0;M544029;1930;1941;x
马丁诺维奇 ;544025;MTN;1930;1930;1990;1990;2;3;514;1;0;5;0;M544009;1930;1941;x
米洛舍维奇 ;544026;MTN;1940;1990;1990;1990;3;3;256;0;0;5;0;L544026;1940;1960;x
彼得罗维奇 ;544027;MTN;1930;1990;1990;1990;3;2;0;0;0;5;0;M544033;1930;1960;x
施普鲁纳 冯 梅茨 ;544028;MTN;1939;1990;1990;1990;3;4;2;0;0;5;0;L544028;1940;1960;x
蒂尔库维奇 ;544029;MTN;1938;1942;1990;1990;2;3;64;1;0;5;0;M544024;1938;1960;x
乌利亚雷维奇 ;544030;MTN;1930;1930;1990;1990;2;2;1;1;0;5;0;M544026;1930;1960;x
瓦齐韦奇 ;544031;MTN;1930;1930;1940;1990;1;4;16;1;0;5;0;L544031;1930;1960;x
冯 阿尔博里 ;544032;MTN;1930;1930;1990;1990;2;3;0;1;0;5;0;M544004;1930;1941;x
冯 鲍尔 ;544033;MTN;1941;1990;1990;1990;3;3;4;0;0;5;0;L544033;1941;1960;x
冯 多塞 ;544034;MTN;1938;1990;1990;1990;3;3;1;0;0;5;0;L544034;1938;1944;x
沃尔夫 ;544035;MTN;1941;1990;1990;1990;3;2;0;0;0;5;0;M544021;1941;1960;x
波波维奇 ;544036;MTN;1930;1930;1990;1990;2;2;4096;1;0;5;1;M544031;1930;1960;x
舍纳马克 ;544037;MTN;1943;1990;1990;1990;3;4;1024;0;0;5;1;L544037;1943;1960;x
马卡韦耶夫 ;544038;MTN;1941;1990;1990;1990;3;2;0;0;0;5;1;L544038;1941;1960;x
马丁诺维奇 ;544039;MTN;1930;1930;1930;1990;1;4;8704;1;0;5;1;M544009;1930;1941;x
内格罗斯 ;544040;MTN;1940;1990;1990;1990;3;2;1024;0;0;5;1;M544032;1940;1960;x
乌利亚雷维奇 ;544041;MTN;1930;1930;1990;1990;2;2;0;1;0;5;1;M544026;1930;1960;x
达尼洛一世 ;544042;MTN;1930;1930;1990;1990;2;1;0;0;0;5;2;L544042;1930;1960;x
科赫 ;544043;MTN;1939;1941;1990;1990;2;4;16384;1;0;5;2;L544043;1939;1960;x
科斯蒂克 ;544044;MTN;1940;1990;1990;1990;3;2;0;0;0;5;2;L544044;1940;1960;x
彼得罗维奇 ;544045;MTN;1930;1990;1990;1990;3;2;4096;0;0;5;2;M544033;1930;1960;x
托多罗维奇 ;544046;MTN;1930;1990;1990;1990;3;2;131072;0;0;5;2;M544010;1930;1960;x
