Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
3 张轸(99) ;50001;CHI;1939;1990;1990;1990;3;3;0;0;0;3;0;L50001;1939;1999;x
3 张镇(99) ;50002;CHI;1930;1942;1990;1990;3;3;0;1;0;3;0;L50002;1930;1999;x
4 张弛(99) ;50003;CHI;1930;1990;1990;1990;3;4;0;0;0;3;0;L50003;1930;1999;x
3 常恩多(99) ;50005;CHI;1930;1990;1990;1990;3;3;0;0;0;2;0;L50005;1930;1999;x
4 张发奎(99) ;50006;CHI;1930;1930;1945;1990;1;4;514;2;0;3;0;L50006;1930;1999;x
3 张钫(41) ;50007;CHI;1930;1990;1990;1990;3;3;0;0;0;3;0;L50007;1930;1941;x
3 张胥行(39) ;50008;CHI;1930;1990;1990;1990;3;3;0;0;0;4;0;L50008;1930;1939;x
5 張緒滋(99) ;50009;CHI;1937;1990;1990;1990;3;5;272;2;0;4;0;L50009;1937;1999;x
3 张雪中(99) ;50010;CHI;1940;1990;1990;1990;3;3;0;0;0;3;0;L50010;1940;1999;x
3 张淦(99) ;50012;CHI;1938;1990;1990;1990;3;3;0;0;0;4;0;L50012;1938;1999;x
 ★8 张灵甫(99) ;50014;CHI;1930;1945;1990;1990;2;8;84;4;0;4;0;张灵甫;1930;1999;x
3 张世希(41) ;50015;CHI;1930;1990;1990;1990;3;3;0;0;0;4;0;L50015;1930;1941;x
5 张治中(99) ;50016;CHI;1930;1936;1945;1990;1;5;2;2;0;3;0;L50016;1930;1999;x
3 张笃伦(43) ;50017;CHI;1930;1990;1990;1990;3;3;1;0;0;4;0;L50017;1930;1943;x
3 张炎(99) ;50018;CHI;1941;1990;1990;1990;3;3;4;0;0;4;0;L50018;1941;1999;x
3 张耀明(99) ;50019;CHI;1943;1990;1990;1990;3;3;0;0;0;4;0;L50019;1943;1999;x
3 张荫梧(99) ;50020;CHI;1930;1990;1990;1990;3;3;0;0;0;4;0;L50020;1930;1999;x
3 赵家骧(42) ;50022;CHI;1937;1990;1990;1990;3;3;0;0;0;4;0;L50022;1937;1942;x
3 赵锡章(99) ;50023;CHI;1938;1990;1990;1990;3;3;0;0;0;4;0;L50023;1938;1999;x
3 赵洪文国(41) ;50024;CHI;1930;1990;1990;1990;3;3;16;1;0;4;0;L50024;1930;1941;x
3 赵国屏(42) ;50025;CHI;1930;1990;1990;1990;3;3;0;0;0;4;0;L50025;1930;1942;x
4 赵寿山(99) ;50026;CHI;1943;1946;1990;1990;3;4;0;1;0;2;0;L50026;1943;1999;x
4 陈安宝(99) ;50028;CHI;1930;1939;1990;1990;3;4;0;1;0;4;0;L50028;1930;1999;x
☆7 陈诚(99) ;50030;CHI;1930;1935;1939;1941;0;7;35;3;0;4;0;L50030;1930;1999;x
4 陈济桓(99) ;50032;CHI;1930;1939;1990;1990;3;4;0;1;0;4;0;L50032;1930;1999;x
3 陈公侠(99) ;50033;CHI;1939;1990;1990;1990;3;3;0;0;0;4;0;L50033;1939;1999;x
☆7 陈明仁(99) ;50034;CHI;1930;1944;1955;1990;1;7;114;4;0;4;0;L50034;1930;1999;x
4 陈大庆(43) ;50035;CHI;1930;1945;1990;1990;2;4;0;1;0;4;0;L50035;1930;1943;x
3 陈铁(43) ;50036;CHI;1930;1990;1990;1990;3;3;0;0;0;4;0;L50036;1930;1943;x
4 陈万仞(99) ;50037;CHI;1939;1943;1990;1990;2;4;0;1;0;4;0;L50037;1939;1999;x
3 陈文杞(99) ;50038;CHI;1930;1990;1990;1990;3;3;0;0;0;4;0;L50038;1930;1999;x
3 郑廷珍(40) ;50039;CHI;1930;1990;1990;1990;3;3;0;0;0;4;0;L50039;1930;1940;x
4 郑庭笈(99) ;50040;CHI;1930;1939;1990;1990;3;4;16;1;0;4;0;L50040;1930;1999;x
5 程潜(99) ;50041;CHI;1930;1930;1936;1990;1;5;514;1;0;3;0;L50041;1930;1999;x
4 郑作民(99) ;50042;CHI;1937;1990;1990;1990;3;4;0;1;0;4;0;L50042;1937;1999;x
☆7 郑洞国(99) ;50043;CHI;1930;1944;1990;1990;2;7;132;3;0;4;0;L50043;1930;1999;x
4 吉章简(99) ;50044;CHI;1939;1990;1990;1990;3;4;256;0;0;4;0;L50044;1939;1999;x
3 齐学启(99) ;50046;CHI;1938;1990;1990;1990;3;3;0;0;0;4;0;L50046;1938;1999;x
3 蒋志英(46) ;50047;CHI;1930;1990;1990;1990;3;3;0;0;0;4;0;L50047;1930;1946;x
5 蒋光鼐(99) ;50049;CHI;1930;1930;1990;1990;2;5;2;2;0;2;0;L50049;1930;1999;x
3 蒋鼎文(99) ;50050;CHI;1930;1930;1935;1990;1;3;0;1;0;4;0;L50050;1930;1999;x
4 解方(99) ;50052;CHI;1940;1943;1990;1990;3;4;1;1;0;1;0;L50052;1940;1999;x
5 池峰城(55) ;50053;CHI;1930;1990;1990;1990;2;5;3;1;0;4;0;L50053;1930;1955;x
3 覃异之(99) ;50054;CHI;1938;1990;1990;1990;3;3;0;0;0;4;0;L50054;1938;1999;x
3 周嘉彬(99) ;50055;CHI;1937;1990;1990;1990;3;3;0;0;0;4;0;L50055;1937;1999;x
3 周志道(99) ;50056;CHI;1943;1990;1990;1990;3;3;0;0;0;4;0;L50056;1943;1999;x
3 周庆祥(39) ;50057;CHI;1930;1990;1990;1990;3;3;0;0;0;4;0;L50057;1930;1939;x
4 周复(99) ;50058;CHI;1930;1939;1990;1990;3;4;0;1;0;4;0;L50058;1930;1999;x
3 周福成(99) ;50059;CHI;1941;1990;1990;1990;3;3;0;0;0;4;0;L50059;1941;1999;x
3 周斓(42) ;50060;CHI;1930;1930;1990;1990;2;3;16;1;0;4;0;L50060;1930;1942;x
3 周岩(39) ;50061;CHI;1930;1990;1990;1990;3;3;0;0;0;3;0;L50061;1930;1939;x
4 朱致一(99) ;50062;CHI;1941;1944;1990;1990;2;4;0;1;0;4;0;L50062;1941;1999;x
3 朱赤(99) ;50063;CHI;1938;1990;1990;1990;3;3;0;0;0;4;0;L50063;1938;1999;x
3 朱怀冰(99) ;50064;CHI;1930;1990;1990;1990;3;3;0;0;0;4;0;L50064;1930;1999;x
3 祝绍周(46) ;50065;CHI;1930;1938;1990;1990;2;3;0;1;0;4;0;L50065;1930;1946;x
2 朱绍良(99) ;50066;CHI;1930;1930;1935;1990;1;2;512;0;0;4;0;L50066;1930;1999;x
3 朱鼎卿(38) ;50067;CHI;1930;1990;1990;1990;3;3;0;0;0;3;0;L50067;1930;1938;x
3 朱奇(99) ;50068;CHI;1939;1990;1990;1990;3;3;0;0;0;4;0;L50068;1939;1999;x
☆7 邱清泉(99) ;50069;CHI;1930;1948;1990;1990;2;7;132;4;0;4;0;L50069;1930;1999;x
3 邱开基(99) ;50070;CHI;1938;1990;1990;1990;3;3;0;0;0;4;0;L50070;1938;1999;x
3 钟松(45) ;50071;CHI;1941;1990;1990;1990;3;3;0;0;0;4;0;L50071;1941;1945;x
4 达理扎雅(99) ;50073;CHI;1938;1940;1990;1990;2;4;16;1;0;4;0;L50073;1938;1999;x
5 范汉杰(99) ;50074;CHI;1930;1945;1990;1990;2;5;2;2;0;4;0;L50074;1930;1999;x
4 方靖(99) ;50075;CHI;1942;1990;1990;1990;3;4;2;0;0;4;0;L50075;1942;1999;x
