Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
安德鲁斯 ;58000;NZL;1943;1990;1990;1990;3;4;0;1;0;5;0;L58000;1943;1960;x
阿瓦特雷 ;58001;NZL;1941;1990;1990;1990;3;5;16;1;0;5;0;L58001;1941;1946;x
巴罗克拉夫 ;58002;NZL;1940;1944;1990;1990;3;5;4;2;0;5;0;L58002;1940;1960;x
伯罗斯 ;58003;NZL;1940;1990;1990;1990;3;4;0;1;0;5;0;L58003;1940;1942;x
克里弗顿 ;58004;NZL;1930;1990;1990;1990;3;3;32;1;0;5;0;L58004;1930;1942;x
库宁汉姆 ;58005;NZL;1939;1990;1990;1990;3;3;0;1;0;5;0;L58005;1939;1943;x
杜伊甘 ;58006;NZL;1930;1930;1990;1990;2;4;2;1;0;5;0;L58006;1930;1941;x
法尔科内尔 ;58007;NZL;1944;1990;1990;1990;3;4;4;1;0;5;0;L58007;1944;1960;x
法拉 ;58008;NZL;1938;1940;1990;1990;2;2;1;1;0;5;0;L58008;1938;1945;x
菲茨杰拉德 ;58009;NZL;1943;1990;1990;1990;3;4;256;1;0;5;0;L58009;1943;1960;x
弗赖伯格 ;58010;NZL;1930;1937;1939;1990;1;8;5;4;0;5;0;L58010;1930;1960;x
金特里 ;58011;NZL;1930;1942;1990;1990;2;5;64;1;0;5;0;L58011;1930;1960;x
戈斯 ;58012;NZL;1941;1990;1990;1990;3;4;0;1;0;5;0;L58012;1941;1960;x
汉森 ;58013;NZL;1942;1990;1990;1990;3;5;33;1;0;5;0;L58013;1942;1946;x
哈格斯特 ;58014;NZL;1930;1990;1990;1990;3;3;64;1;0;5;0;L58014;1930;1941;x
亨特 ;58015;NZL;1944;1990;1990;1990;3;4;0;1;0;5;0;L58015;1944;1960;x
英格利斯 ;58016;NZL;1930;1942;1990;1990;2;5;128;2;0;5;0;L58016;1930;1960;x
詹姆森 ;58017;NZL;1944;1990;1990;1990;3;4;256;1;0;5;0;L58017;1944;1960;x
肯里克 ;58018;NZL;1930;1990;1990;1990;3;4;1;1;0;5;0;L58018;1930;1942;x
基彭贝格尔 ;58019;NZL;1938;1944;1990;1990;3;5;4;2;0;5;0;L58019;1938;1960;x
梅森 ;58020;NZL;1930;1990;1990;1990;3;3;0;1;0;5;0;L58020;1930;1943;x
麦肯齐 ;58021;NZL;1939;1990;1990;1990;3;4;256;1;0;5;0;L58021;1939;1946;x
米德 ;58022;NZL;1930;1938;1990;1990;2;4;514;1;0;5;0;L58022;1930;1942;x
迈尔斯 ;58023;NZL;1930;1990;1990;1990;3;4;64;1;0;5;0;L58023;1930;1943;x
米切尔 ;58024;NZL;1939;1990;1990;1990;3;4;32;1;0;5;0;L58024;1939;1946;x
尼科尔斯 ;58025;NZL;1930;1930;1990;1990;2;5;512;1;0;5;0;L58025;1930;1939;x
帕克 ;58026;NZL;1930;1941;1990;1990;2;4;0;2;0;5;0;L58026;1930;1944;x
帕金森 ;58027;NZL;1940;1943;1990;1990;3;6;192;2;0;5;0;L58027;1940;1960;x
佩伦 ;58028;NZL;1940;1990;1990;1990;3;5;256;1;0;5;0;L58028;1940;1960;x
普莱曾茨 ;58029;NZL;1945;1990;1990;1990;3;4;4;1;0;5;0;L58029;1945;1960;x
波里特 ;58030;NZL;1945;1990;1990;1990;3;5;0;1;0;5;0;L58030;1945;1960;x
帕蒂克 ;58031;NZL;1930;1930;1990;1990;2;5;514;1;0;5;0;L58031;1930;1946;x
凯雷 ;58032;NZL;1944;1990;1990;1990;3;4;2;1;0;5;0;L58032;1944;1960;x
罗曼斯 ;58033;NZL;1939;1990;1990;1990;3;4;1;1;0;5;0;L58033;1939;1942;x
罗 ;58034;NZL;1943;1990;1990;1990;3;3;0;1;0;5;0;L58034;1943;1960;x
鲁塞尔 ;58035;NZL;1930;1930;1990;1990;2;4;0;1;0;5;0;L58035;1930;1941;x
桑德斯 ;58036;NZL;1930;1990;1990;1990;3;3;0;1;0;5;0;L58036;1930;1941;x
辛克莱-伯吉斯 ;58037;NZL;1930;1930;1930;1990;1;6;514;2;0;5;0;L58037;1930;1938;x
史蒂文斯 ;58038;NZL;1937;1940;1990;1990;2;3;0;2;0;5;0;L58038;1937;1945;x
斯图尔特 ;58039;NZL;1939;1942;1990;1990;2;4;128;2;0;5;0;L58039;1939;1944;x
图克 ;58040;NZL;1939;1943;1990;1990;2;6;128;2;0;5;0;L58040;1939;1960;x
魏尔 ;58041;NZL;1938;1944;1990;1990;3;6;64;2;0;5;0;L58041;1939;1960;x
德鲁蒙德 ;58042;NZL;1930;1941;1990;1990;2;4;0;2;0;5;1;L58042;1930;1946;x
福克纳 ;58043;NZL;1942;1990;1990;1990;3;5;8192;1;0;5;1;L58043;1942;1960;x
菲尔德 ;58044;NZL;1943;1946;1990;1990;3;4;0;2;0;5;1;L58044;1943;1960;x
希利亚德 ;58045;NZL;1930;1943;1990;1990;2;4;1024;2;0;5;1;L58045;1930;1946;x
霍兰 ;58046;NZL;1930;1930;1990;1990;2;5;4096;1;0;5;1;L58046;1930;1942;x
拉克 ;58047;NZL;1944;1990;1990;1990;3;5;0;1;0;5;1;L58047;1944;1960;x
麦克唐纳 ;58048;NZL;1938;1990;1990;1990;3;4;0;1;0;5;1;L58048;1938;1960;x
麦克纳尔蒂 ;58049;NZL;1930;1930;1990;1990;2;4;0;1;0;5;1;L58049;1930;1940;x
菲普斯 ;58050;NZL;1942;1990;1990;1990;3;5;0;1;0;5;1;L58050;1942;1960;x
辛普森 ;58051;NZL;1945;1990;1990;1990;3;4;0;1;0;5;1;L58051;1945;1960;x
斯特拉顿 ;58052;NZL;1930;1930;1939;1990;1;5;0;2;0;5;1;L58052;1930;1947;x
贝利 ;58053;NZL;1938;1942;1990;1990;2;4;131072;2;0;5;2;L58053;1938;1944;x
布拉克 ;58054;NZL;1943;1945;1990;1990;2;5;131072;2;0;5;2;L58054;1943;1960;x
卡尔 ;58055;NZL;1938;1940;1942;1945;1;6;16384;4;0;5;2;L58055;1938;1947;x
达尔-麦凯 ;58056;NZL;1942;1990;1990;1990;3;4;4096;1;0;5;2;L58056;1942;1946;x
迪雷 ;58057;NZL;1930;1941;1990;1990;2;5;0;2;0;5;2;L58057;1930;1960;x
伊西特 ;58058;NZL;1930;1939;1943;1990;1;6;0;3;0;5;2;L58058;1930;1960;x
麦格雷戈 ;58059;NZL;1930;1930;1942;1990;1;5;0;2;0;5;2;L58059;1930;1947;x
牛顿 ;58060;NZL;1943;1990;1990;1990;3;4;0;1;0;5;2;L58060;1943;1960;x
