Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿尔-莫瓦维 ;557000;PAL;1938;1990;1990;1990;3;3;1;0;0;5;0;M557043;1938;1960;x
阿尔-穆塔利布 ;557001;PAL;1940;1990;1990;1990;3;2;1;0;0;5;0;M557040;1940;1960;x
阿尔-卡格利 ;557002;PAL;1930;1990;1990;1990;3;3;16;0;0;5;0;M557026;1930;1960;x
库宁汉姆 ;557003;PAL;1938;1941;1945;1990;2;6;4;2;0;5;0;M557037;1938;1960;x
达拉赫 ;557004;PAL;1930;1942;1990;1990;2;2;0;1;0;5;0;M557024;1930;1960;x
杰马尔 帕夏 ;557005;PAL;1930;1930;1990;1990;2;3;64;0;0;5;0;M557035;1930;1960;x
戈特 ;557006;PAL;1930;1930;1941;1943;1;8;132;4;0;5;0;L1138;1930;1960;x
海达尔 ;557007;PAL;1940;1943;1990;1990;2;3;1;1;0;5;0;M557033;1940;1960;x
加弗拉 帕夏 ;557008;PAL;1930;1943;1990;1990;2;3;3;0;0;5;0;M557039;1930;1960;x
麦吉尔弗雷 ;557009;PAL;1930;1990;1990;1990;3;3;0;0;0;5;0;L557009;1930;1941;x
尼科尔斯 ;557010;PAL;1944;1990;1990;1990;3;4;256;0;0;5;0;L557010;1944;1960;x
皮克 帕夏 ;557011;PAL;1930;1930;1990;1990;2;5;1;1;0;3;0;L300016;1930;1943;x
普卢默 ;557012;PAL;1930;1930;1930;1990;1;5;514;1;0;5;0;M557016;1930;1940;x
萨穆埃尔 ;557013;PAL;1930;1930;1930;1990;1;4;513;1;0;5;0;M557007;1930;1941;x
辛克莱 ;557014;PAL;1937;1990;1990;1990;3;5;17;0;0;5;0;L557014;1937;1946;x
斯平尔斯 帕夏 ;557015;PAL;1930;1930;1990;1990;2;4;1;2;0;5;0;L320014;1930;1942;x
圣.哈考特 ;557016;PAL;1939;1990;1990;1990;3;4;128;0;0;5;0;L557016;1939;1960;x
沃科普 ;557017;PAL;1930;1930;1990;1990;2;4;513;1;0;5;0;M557020;1930;1942;x
杰马尔 帕夏 ;557018;PAL;1930;1930;1990;1990;2;2;0;0;0;5;1;M557035;1930;1960;x
霍华德 ;557019;PAL;1940;1990;1990;1990;3;3;2048;0;0;5;1;M557047;1940;1960;x
塔顿-赛克斯 ;557020;PAL;1942;1990;1990;1990;3;4;4096;0;0;5;1;L300023;1942;1960;x
图尔斯 ;557021;PAL;1930;1943;1990;1990;2;4;1024;1;0;5;1;L1396;1930;1960;x
阿尔-塔伊夫 ;557022;PAL;1930;1990;1990;1990;3;2;131072;0;0;5;2;M557052;1930;1960;x
阿兹米 帕夏 ;557023;PAL;1930;1943;1990;1990;2;3;16384;1;0;5;2;M512096;1930;1960;x
布朗 ;557024;PAL;1941;1990;1990;1990;3;3;4096;0;0;5;2;L557024;1941;1960;x
达拉赫 ;557025;PAL;1930;1942;1990;1990;2;2;4096;1;0;5;2;M557024;1930;1960;x
富尔哈德 ;557026;PAL;1939;1942;1990;1990;3;4;0;1;0;5;2;L1441;1939;1946;x
罗杰斯 ;557027;PAL;1930;1990;1990;1990;3;4;32768;0;0;5;2;M557051;1930;1942;x
鲁德洛夫 ;557028;PAL;1930;1990;1990;1990;3;3;0;1;0;5;0;Rudrauf;1930;1990;x
阿拉法特 ;557029;PAL;1958;1990;1990;1990;3;6;256;0;0;5;0;L_PAL_Yasser_Arafat;1958;1990;x
