Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿蓬特 ;240000;PAR;1943;1945;1946;1990;1;4;2;2;0;4;0;L240000;1943;1960;x
阿亚拉 奎伊罗洛 ;240001;PAR;1930;1990;1990;1990;3;3;256;0;0;5;0;L240001;1930;1941;x
贝兹 阿连德 ;240002;PAR;1939;1941;1990;1990;2;4;2;1;0;5;0;L240002;1939;1960;x
贝莱夫 ;240003;PAR;1930;1930;1990;1990;2;5;2;1;0;5;0;L240003;1930;1939;x
卡巴莱罗 阿亚拉 ;240004;PAR;1941;1946;1990;1990;3;3;64;1;0;5;0;L240004;1941;1960;x
卡布雷拉 莱亚 ;240005;PAR;1942;1990;1990;1990;3;4;0;0;0;5;0;L240005;1942;1947;x
德尔加多 ;240006;PAR;1930;1930;1990;1990;2;4;32;0;0;5;0;L240006;1930;1940;x
埃尔恩 ;240007;PAR;1930;1930;1990;1990;2;5;513;1;0;5;0;L240007;1930;1938;x
埃斯蒂加里维亚 ;240008;PAR;1930;1930;1930;1937;0;9;20;5;0;5;0;L240008;1930;1941;x
弗朗哥 ;240009;PAR;1930;1930;1990;1990;2;2;3;0;0;5;0;L240009;1930;1938;x
弗吕托 埃斯库埃拉 ;240010;PAR;1940;1944;1990;1990;3;4;4;1;0;5;0;L240010;1940;1960;x
加拉伊 ;240011;PAR;1930;1938;1990;1990;2;5;2;1;0;5;0;L240011;1930;1945;x
冈萨雷斯 帕雷德斯 ;240012;PAR;1940;1943;1990;1990;2;3;0;1;0;4;0;L240012;1940;1960;x
伊拉萨巴尔 ;240013;PAR;1944;1990;1990;1990;3;4;16;0;0;5;0;L240013;1944;1960;x
莱斯卡诺 ;240014;PAR;1938;1942;1990;1990;2;4;128;1;0;4;0;L240014;1938;1960;x
马丘卡 ;240015;PAR;1943;1946;1990;1990;3;5;0;1;0;5;0;L240015;1943;1960;x
梅纳 罗雅斯 ;240016;PAR;1945;1947;1990;1990;3;4;1;1;0;5;0;L240016;1945;1960;x
莫拉斯 洛佩斯 ;240017;PAR;1930;1930;1940;1990;1;4;0;0;0;4;0;L240017;1930;1945;x
莫里尼戈 马丁内斯 ;240018;PAR;1930;1930;1940;1990;2;4;4;1;0;4;0;L240018;1930;1946;x
派瓦 ;240019;PAR;1930;1990;1990;1990;3;4;1;0;0;5;0;L240019;1930;1940;x
潘普列加 ;240020;PAR;1943;1947;1990;1990;3;4;5;1;0;4;0;L240020;1943;1960;x
罗雅斯 罗隆 ;240021;PAR;1946;1990;1990;1990;3;3;1;0;0;5;0;L240021;1946;1960;x
罗隆 维拉桑蒂 ;240022;PAR;1940;1946;1990;1990;3;3;0;1;0;3;0;L240022;1940;1960;x
索萨 瓦尔德斯 ;240023;PAR;1939;1943;1990;1990;2;4;128;1;0;5;0;L240023;1939;1960;x
施特勒斯纳 马蒂奥达 ;240024;PAR;1945;1990;1990;1990;3;4;1;2;0;3;0;L240024;1945;1960;x
阿蓬特 ;240025;PAR;1943;1945;1946;1990;1;3;0;2;0;5;1;L240000;1943;1960;x
沙莫罗 巴尔科维奇 ;240026;PAR;1940;1945;1990;1990;2;3;0;1;0;5;1;L240026;1940;1960;x
马林 伊瓦罗拉 ;240027;PAR;1930;1990;1990;1990;3;3;0;0;0;5;1;L240027;1930;1944;x
阿科斯塔 阿劳约 ;240028;PAR;1945;1990;1990;1990;3;3;0;0;0;5;2;L240028;1945;1960;x
阿尔莫纳西德 ;240029;PAR;1930;1930;1990;1990;2;5;8192;1;0;5;2;L240029;1930;1941;x
巴尔武埃纳 迪雷 ;240030;PAR;1943;1990;1990;1990;3;3;0;0;0;5;2;L240030;1943;1960;x
波士顿 ;240031;PAR;1930;1990;1990;1990;3;3;0;0;0;5;2;L240031;1930;1939;x
努涅斯 阿圭罗 ;240032;PAR;1946;1990;1990;1990;3;3;0;0;0;5;2;L240032;1946;1990;x
帕拉西奥斯 弗朗哥 ;240033;PAR;1930;1990;1990;1990;3;3;0;0;0;5;2;L240033;1930;1943;x
波费年科 ;240034;PAR;1930;1990;1990;1990;3;5;4096;1;0;4;2;L240034;1930;1939;x
罗雅斯 巴尔塔萨勒 ;240035;PAR;1939;1942;1990;1990;2;4;0;1;0;4;2;L240035;1939;1960;x
