Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿尔维斯 罗卡达斯 ;45200;POR;1930;1930;1990;1990;2;4;576;1;0;4;0;L45200;1930;1942;x
巴尔西内奥 平托 ;45201;POR;1930;1930;1930;1990;1;4;514;1;0;3;0;L45201;1930;1939;x
巴罗斯 罗德里格斯 ;45202;POR;1939;1943;1990;1990;2;5;4;1;0;5;0;L45202;1939;1946;x
巴斯托 贡卡尔维斯 ;45203;POR;1945;1990;1990;1990;3;3;0;0;0;5;0;L45203;1945;1960;x
博尔格斯 尤尼奥尔 ;45204;POR;1941;1944;1990;1990;2;4;16;1;0;5;0;L45204;1941;1960;x
博特略 莫尼兹 ;45205;POR;1941;1943;1990;1990;2;3;0;1;0;5;0;L45205;1941;1960;x
卡马拉 皮纳 ;45206;POR;1943;1990;1990;1990;3;4;128;0;0;5;0;L45206;1943;1960;x
卡尔莫纳 弗拉戈萨 ;45207;POR;1930;1930;1930;1990;1;5;514;1;0;5;0;L45207;1930;1937;x
卡里略 ;45208;POR;1930;1930;1990;1990;2;3;513;1;0;4;0;L45208;1930;1938;x
卡里略 克萨韦尔 ;45209;POR;1945;1990;1990;1990;3;3;0;0;0;4;0;L45209;1945;1960;x
卡斯特罗 阿布雷乌 e 莫塔 ;45210;POR;1930;1930;1990;1990;2;5;514;1;0;5;0;L45210;1930;1942;x
卡斯特罗 比尔施泰因 梅内塞斯 ;45211;POR;1930;1930;1930;1990;1;5;514;1;0;3;0;L45211;1930;1938;x
科斯塔 安德拉德 ;45212;POR;1942;1945;1990;1990;3;4;1;1;0;5;0;L45212;1942;1960;x
科斯塔 洛佩斯 萨 席尔瓦 ;45213;POR;1930;1990;1990;1990;3;5;1;0;0;5;0;L45213;1930;1946;x
科斯塔 奥利韦拉 ;45214;POR;1938;1942;1945;1990;2;5;2;2;0;5;0;L45214;1938;1960;x
科塔 莫雷斯 多斯 赖斯 ;45215;POR;1939;1990;1990;1990;3;3;0;0;0;5;0;L45215;1939;1946;x
库尼亚 巴普蒂斯塔 ;45216;POR;1930;1930;1990;1990;2;4;516;1;0;4;0;L45216;1930;1937;x
德 卢塞纳 ;45217;POR;1930;1990;1990;1990;3;4;512;1;0;5;0;L45217;1930;1940;x
多曼格 ;45218;POR;1930;1930;1930;1990;1;4;768;1;0;4;0;L45218;1930;1944;x
杜瓦蒂 席尔瓦 ;45219;POR;1939;1990;1990;1990;3;4;0;0;0;5;0;L45219;1939;1946;x
埃内斯 费雷拉 ;45220;POR;1945;1990;1990;1990;3;3;0;0;0;5;0;L45220;1945;1960;x
费雷拉 席尔瓦 科托 尤尼奥尔 ;45221;POR;1943;1990;1990;1990;3;3;128;0;0;5;0;L45221;1943;1960;x
弗雷里亚 ;45222;POR;1938;1943;1990;1990;3;4;64;1;0;5;0;L45222;1938;1960;x
弗赖塔斯 ;45223;POR;1937;1941;1990;1990;2;5;128;1;0;4;0;L45223;1937;1946;x
加西亚 罗萨多 ;45224;POR;1930;1990;1990;1990;3;5;516;1;0;5;0;L45224;1930;1942;x
伊文思 费拉斯 ;45225;POR;1941;1990;1990;1990;3;4;128;0;0;5;0;L45225;1941;1960;x
考尔扎 阿里亚加 ;45226;POR;1943;1944;1946;1990;2;5;0;2;0;5;0;L45226;1943;1960;x
利马 比埃拉 ;45227;POR;1938;1990;1990;1990;3;4;2;0;0;5;0;L45227;1938;1945;x
洛巴托 格拉 ;45228;POR;1938;1941;1990;1990;2;5;2;1;0;5;0;L45228;1938;1946;x
洛佩斯 ;45229;POR;1944;1946;1990;1990;3;4;0;2;0;5;0;L45229;1944;1960;x
马加良斯 科雷亚 ;45230;POR;1939;1942;1990;1990;2;3;0;1;0;5;0;L45230;1939;1960;x
马克斯 ;45231;POR;1937;1939;1990;1990;2;4;2;1;0;5;0;L45231;1937;1946;x
马丁斯 科因布拉 ;45232;POR;1943;1947;1990;1990;3;5;32;1;0;5;0;L45232;1943;1960;x
马丁斯 达 科斯塔 苏亚雷斯 ;45233;POR;1930;1990;1990;1990;3;3;0;0;0;5;0;L45233;1930;1940;x
梅代罗斯 德 阿尔梅达 ;45234;POR;1940;1990;1990;1990;3;3;0;0;0;5;0;L45234;1940;1945;x
米兰达 卡布拉尔 ;45235;POR;1937;1941;1990;1990;2;4;4;1;0;5;0;L45235;1937;1945;x
蒙泰罗 巴拉斯 ;45236;POR;1938;1940;1990;1990;2;3;0;1;0;4;0;L45236;1938;1946;x
莫雷斯 萨尔门托 ;45237;POR;1930;1930;1930;1990;1;4;528;1;0;3;0;L45237;1930;1942;x
内托 ;45238;POR;1940;1942;1946;1990;2;4;0;2;0;5;0;L45238;1940;1960;x
诺顿 马托斯 ;45239;POR;1930;1930;1930;1930;0;5;514;1;0;2;0;L45239;1930;1938;x
奥姆 ;45240;POR;1939;1990;1990;1990;3;3;32;1;0;5;0;L45240;1939;1945;x
