Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
艾哈迈德 ;566000;SAR;1945;1990;1990;1990;3;3;16;0;0;5;0;L566000;1945;1960;x
德 温特 布鲁克 ;566001;SAR;1930;1930;1930;1930;0;3;1;1;0;5;0;M566001;1930;1946;x
侯赛因 ;566002;SAR;1938;1943;1990;1990;2;3;0;0;0;5;0;M566017;1938;1960;x
伊德里斯 ;566003;SAR;1944;1990;1990;1990;3;3;32;0;0;5;0;L566003;1944;1960;x
麦克塔格尔蒂 ;566004;SAR;1930;1990;1990;1990;3;4;64;0;0;5;0;L566004;1930;1960;x
莫法特 ;566005;SAR;1930;1939;1990;1990;2;4;128;1;0;5;0;M566007;1930;1960;x
奥斯本 ;566006;SAR;1930;1990;1990;1990;3;5;4;0;0;5;0;L566006;1930;1945;x
罗热 ;566007;SAR;1939;1990;1990;1990;3;4;2;0;0;5;0;L566007;1939;1960;x
罗齐尔 ;566008;SAR;1939;1942;1990;1990;2;4;0;1;0;5;0;L566008;1939;1960;x
赛义夫丁 ;566009;SAR;1945;1990;1990;1990;3;3;0;0;0;5;0;L566009;1945;1960;x
史密斯 ;566010;SAR;1938;1990;1990;1990;3;4;256;0;0;5;0;L566010;1938;1960;x
乌尔-扎曼 ;566011;SAR;1938;1941;1945;1990;1;4;1;2;0;5;0;M566018;1938;1960;x
韦尔斯利 ;566012;SAR;1930;1930;1940;1990;1;4;4;0;0;5;0;M566008;1930;1946;x
埃文斯 ;566013;SAR;1930;1930;1990;1990;2;5;2048;0;0;5;1;M566009;1930;1960;x
穆罕默德 ;566014;SAR;1939;1945;1990;1990;3;3;4096;1;0;5;1;M566019;1939;1960;x
艾哈迈德 ;566015;SAR;1938;1943;1990;1990;2;3;131072;1;0;5;2;M566020;1938;1960;x
巴林顿 ;566016;SAR;1930;1938;1990;1990;2;4;32768;1;0;5;2;M566010;1930;1960;x
琼斯 ;566017;SAR;1930;1990;1990;1990;3;4;16384;0;0;5;2;L566017;1930;1960;x
赛义德 ;566018;SAR;1941;1990;1990;1990;3;3;4096;0;0;5;2;L566018;1941;1960;x
