Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
比歇尔 ;129000;SCH;1938;1990;1990;1990;3;4;0;0;0;3;0;L129000;1938;1946;x
博雷尔 ;129001;SCH;1930;1990;1990;1990;3;4;0;0;0;5;0;L129001;1930;1941;x
布伦纳 ;129002;SCH;1941;1990;1990;1990;3;5;4;0;0;5;0;L129002;1941;1960;x
卡斯泰利 ;129003;SCH;1939;1990;1990;1990;3;4;128;0;0;5;0;L129003;1939;1960;x
康斯塔姆 ;129004;SCH;1930;1930;1990;1990;2;7;0;1;0;5;0;L129004;1930;1944;x
德 克劳萨斯 ;129005;SCH;1930;1990;1990;1990;3;5;256;0;0;5;0;L129005;1930;1943;x
弗吕基格 ;129006;SCH;1937;1990;1990;1990;3;4;0;0;0;5;0;L129006;1937;1960;x
古杰尔 ;129007;SCH;1941;1990;1990;1990;3;4;0;0;0;5;0;L129007;1941;1960;x
吉桑 ;129008;SCH;1930;1930;1930;1990;1;8;6;2;0;5;0;L129008;1930;1960;x
胡贝尔  J. ;129009;SCH;1930;1990;1990;1990;3;5;0;0;0;5;0;L129009;1930;1940;x
胡贝尔  J.I. ;129010;SCH;1938;1941;1943;1990;1;6;3;2;0;5;0;L129010;1938;1960;x
伊斯勒 ;129011;SCH;1930;1990;1990;1990;3;5;0;0;0;5;0;L129011;1930;1941;x
雅恩 ;129012;SCH;1942;1990;1990;1990;3;4;0;0;0;5;0;L129012;1942;1960;x
延内 ;129013;SCH;1944;1990;1990;1990;3;5;16;0;0;5;0;L129013;1944;1960;x
富勒 ;129014;SCH;1930;1930;1990;1990;2;3;0;1;0;5;0;L129014;1930;1943;x
卡梅尔 ;129015;SCH;1940;1990;1990;1990;3;4;64;0;0;5;0;L129015;1940;1946;x
拉布哈特 ;129016;SCH;1939;1943;1990;1990;2;4;0;1;0;5;0;L129016;1939;1960;x
拉德利 ;129017;SCH;1930;1939;1990;1990;2;4;0;1;0;5;0;L129017;1930;1943;x
列 皮埃尔 ;129018;SCH;1944;1990;1990;1990;3;5;1;0;0;5;0;L129018;1944;1960;x
马明 ;129019;SCH;1930;1990;1990;1990;3;4;2;0;0;5;0;L129019;1930;1941;x
马尔考德 ;129020;SCH;1930;1990;1990;1990;3;6;514;1;0;5;0;L129020;1930;1939;x
马松 ;129021;SCH;1946;1990;1990;1990;3;4;0;0;0;5;0;L129021;1946;1960;x
马蒂勒 ;129022;SCH;1942;1990;1990;1990;3;4;0;0;0;5;0;L129022;1942;1960;x
莫西曼 ;129023;SCH;1941;1946;1990;1990;3;5;2;1;0;5;0;L129023;1941;1960;x
米勒 ;129024;SCH;1930;1990;1990;1990;3;6;8;0;0;5;0;L129024;1930;1943;x
妮古拉 ;129025;SCH;1940;1990;1990;1990;3;5;128;0;0;5;0;L129025;1940;1960;x
普里西 ;129026;SCH;1930;1930;1990;1990;2;4;0;1;0;5;0;L129026;1930;1942;x
罗斯特 ;129027;SCH;1939;1942;1990;1990;2;5;32;1;0;5;0;L129027;1939;1960;x
伦齐 ;129028;SCH;1939;1990;1990;1990;3;5;256;0;0;5;0;L129028;1939;1947;x
沙伊布利 ;129029;SCH;1930;1930;1990;1990;2;6;513;1;0;5;0;L129029;1930;1943;x
舍雷尔 ;129030;SCH;1930;1990;1990;1990;3;4;256;0;0;5;0;L129030;1930;1940;x
施瓦茨 ;129031;SCH;1939;1990;1990;1990;3;4;2;0;0;5;0;L129031;1939;1960;x
松德雷格 ;129032;SCH;1930;1930;1990;1990;2;6;516;1;0;5;0;L129032;1930;1940;x
斯特里克勒 ;129033;SCH;1943;1945;1990;1990;3;5;0;1;0;5;0;L129033;1943;1960;x
冯 格拉芬里德 ;129034;SCH;1939;1990;1990;1990;3;4;0;0;0;5;0;L129034;1939;1960;x
魏贝尔 ;129035;SCH;1945;1990;1990;1990;3;4;0;0;0;5;0;L129035;1945;1960;x
维勒 ;129036;SCH;1930;1930;1930;1990;1;5;514;1;0;5;0;L129036;1930;1939;x
弗吕基格 ;129037;SCH;1937;1990;1990;1990;3;4;0;0;0;5;1;L129037;1937;1960;x
普里西 ;129038;SCH;1930;1930;1990;1990;2;4;0;1;0;5;1;L129038;1930;1942;x
冯 格拉芬里德 ;129039;SCH;1939;1943;1990;1990;3;5;0;1;0;5;1;L129039;1939;1960;x
班迪 ;129040;SCH;1938;1990;1990;1990;3;4;0;0;0;5;2;L129040;1938;1946;x
巴尔代 ;129041;SCH;1941;1946;1990;1990;3;5;0;1;0;5;2;L129041;1941;1960;x
比德 ;129042;SCH;1930;1930;1990;1990;2;5;4096;0;0;5;2;L129042;1930;1941;x
莱曼 ;129043;SCH;1943;1990;1990;1990;3;4;0;0;0;5;2;L129043;1943;1960;x
普里莫 ;129044;SCH;1944;1990;1990;1990;3;5;8192;0;0;5;2;L129044;1944;1960;x
里尔 ;129045;SCH;1930;1990;1990;1990;3;5;16384;0;0;5;2;L129045;1930;1942;x
里赫纳 ;129046;SCH;1942;1944;1990;1990;2;5;0;1;0;5;2;L129046;1942;1960;x
施勒皮 ;129047;SCH;1930;1990;1990;1990;3;4;0;0;0;5;2;L129047;1930;1942;x
范 巴埃伦 ;129048;SCH;1946;1990;1990;1990;3;4;0;0;0;5;2;L129048;1946;1960;x
