Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
4 徐永昌(99) ;503000;CSX;1930;1930;1935;1990;1;4;514;3;0;3;0;L50296;1930;1999;x
 ★8 傅作义(99) ;503001;CSX;1930;1930;1938;1942;0;8;145;4;0;3;0;L50085;1930;1999;x
5 杨爱源(99) ;503002;CSX;1930;1930;1935;1990;1;5;516;2;0;3;0;L50337;1930;1999;x
3 李服膺(99) ;503003;CSX;1930;1940;1942;1990;2;3;0;2;0;4;0;L50174;1930;1999;x
3 彭子谨(99) ;503004;CSX;1930;1990;1990;1990;3;3;8;1;0;5;0;L503004;1930;1999;x
3 孙楚(43) ;503005;CSX;1930;1930;1990;1990;2;3;0;1;0;4;0;L50264;1930;1943;x
5 陈长捷(99) ;503006;CSX;1935;1940;1990;1990;2;5;35;2;0;4;0;L50029;1935;1999;x
3 商震(99) ;503007;CSX;1930;1930;1935;1990;1;3;512;1;0;5;0;L503007;1930;1999;x
3 石至宝(99) ;503008;CSX;1930;1938;1990;1990;2;3;0;1;0;5;0;L503008;1930;1999;x
2 董其武(99) ;503009;CSX;1938;1990;1990;1990;3;2;0;0;0;4;0;L50300;1938;1999;x
2 王靖国(43) ;503010;CSX;1930;1930;1990;1990;2;2;2;1;0;3;0;L50314;1930;1943;x
5 阎锡山(99) ;503011;CSX;1930;1930;1930;1935;0;5;515;4;0;2;0;L50348;1930;1999;x
3 郭宗汾(99) ;503012;CSX;1939;1990;1990;1990;3;3;0;1;0;4;0;L50164;1937;1999;x
3 郭景云(45) ;503013;CSX;1939;1990;1990;1990;3;3;1;1;0;4;0;L50160;1937;1945;x
3 姜玉贞(99) ;503014;CSX;1930;1990;1990;1990;3;3;0;1;0;4;0;L50051;1930;1999;x
2 张荫悟(99) ;503016;CSX;1930;1990;1990;1990;3;2;512;1;0;5;0;张荫悟;1930;1999;x
5 周玳(99) ;503018;CSX;1930;1930;1990;1990;2;5;36;1;0;5;0;L503018;1930;1999;x
5 楚溪春(99) ;503019;CSX;1930;1930;1946;1990;2;5;11;2;0;5;0;L503019;1930;1999;x
4 赵承绶(45) ;503020;CSX;1930;1930;1990;1990;2;4;0;1;0;4;0;L50021;1930;1945;x
4 杨澄源(45) ;503021;CSX;1930;1930;1946;1990;2;4;1;1;0;4;0;杨澄源;1930;1945;x
