Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿派旺 ;100000;SIA;1930;1990;1990;1990;3;4;1;0;0;3;0;L100000;1930;1942;x
銮巴立 ;100001;SIA;1939;1990;1990;1990;3;4;128;0;0;4;0;L100001;1939;1960;x
汶耶吉 ;100002;SIA;1944;1990;1990;1990;3;5;16;0;0;2;0;L100002;1944;1960;x
集塔纳宋卡叻 ;100003;SIA;1930;1938;1990;1990;2;4;0;1;0;4;0;L100003;1930;1960;x
魂塔古 ;100004;SIA;1943;1990;1990;1990;3;4;256;0;0;5;0;L100004;1943;1960;x
甘拉纳文 ;100005;SIA;1937;1940;1990;1990;2;4;0;1;0;4;0;L100005;1937;1960;x
康披龙 ;100006;SIA;1930;1990;1990;1990;3;5;514;1;0;4;0;L100006;1930;1940;x
马加维蒲拉耶 ;100007;SIA;1930;1930;1990;1990;2;4;0;0;0;4;0;L100007;1930;1942;x
芒西帕 西纳德约德哈拉科沙 ;100008;SIA;1945;1990;1990;1990;3;4;1;0;0;3;0;L100008;1945;1960;x
纳洛 ;100009;SIA;1930;1990;1990;1990;3;5;128;0;0;5;0;L100009;1930;1960;x
拍凤 蓬帕育哈社那 ;100010;SIA;1938;1943;1990;1990;2;4;2;1;0;4;0;L100010;1938;1960;x
帕侬蒙蒂 ;100011;SIA;1937;1941;1990;1990;3;5;256;1;0;5;0;L100011;1937;1960;x
帕侬荣 ;100012;SIA;1942;1944;1946;1990;2;5;2;2;0;4;0;L100012;1942;1960;x
銮披汶 颂堪 ;100013;SIA;1930;1930;1930;1930;0;5;0;1;0;4;0;L100013;1930;1960;x
曼空 蓬永蒂 ;100014;SIA;1944;1945;1946;1990;1;5;32;2;0;4;0;L100014;1944;1960;x
蓬阿兰太 ;100015;SIA;1940;1990;1990;1990;3;4;1;0;0;4;0;L100015;1940;1960;x
汶耶吉 ;100016;SIA;1941;1943;1990;1990;2;4;2;1;0;3;0;L100016;1941;1960;x
拉玛 比楚朗空 ;100017;SIA;1943;1945;1946;1990;3;5;2;2;0;4;0;L100017;1943;1960;x
拉玛八世 ;100018;SIA;1930;1930;1930;1990;1;3;0;0;0;5;0;L100018;1930;1942;x
兰实王子 ;100019;SIA;1930;1930;1990;1990;2;3;0;0;0;5;0;L100019;1930;1960;x
三巴蒂斯立 ;100020;SIA;1930;1990;1990;1990;3;4;64;0;0;4;0;L100020;1930;1943;x
沙瓦隆那猜 沙瓦蒂杰 ;100021;SIA;1940;1944;1990;1990;3;5;16;1;0;4;0;L100021;1940;1960;x
希拉隆空 ;100022;SIA;1930;1990;1990;1990;3;5;513;1;0;4;0;L100022;1930;1939;x
色邦 ;100023;SIA;1945;1990;1990;1990;3;4;4;0;0;4;0;L100023;1945;1960;x
西桑普拉 ;100024;SIA;1938;1941;1990;1990;2;4;2;1;0;4;0;L100024;1938;1960;x
瓦差扬南沙立 ;100025;SIA;1930;1939;1990;1990;2;4;128;1;0;4;0;L100025;1930;1960;x
威七颂堪 ;100026;SIA;1946;1990;1990;1990;3;4;32;0;0;4;0;L100026;1946;1960;x
威七哇他干 ;100027;SIA;1943;1945;1990;1990;2;4;0;1;0;4;0;L100027;1943;1960;x
参南那他育他 ;100028;SIA;1938;1990;1990;1990;3;4;0;0;0;4;1;L100028;1938;1960;x
甲蒙纳温 ;100029;SIA;1930;1930;1990;1990;2;4;0;0;0;4;1;L100029;1930;1943;x
銮颂布拉诺 ;100030;SIA;1930;1939;1990;1990;2;4;0;1;0;5;1;L100030;1930;1960;x
蓬拉信塔纳瓦 ;100031;SIA;1938;1942;1990;1990;2;4;0;1;0;3;1;L100031;1938;1960;x
鹏纳瓦沙瓦 ;100032;SIA;1940;1944;1990;1990;2;4;0;1;0;4;1;L100032;1940;1960;x
朴蒂亚南 ;100033;SIA;1930;1990;1990;1990;3;4;0;0;0;3;1;L100033;1930;1960;x
比差春拉育哈 ;100034;SIA;1944;1990;1990;1990;3;4;1024;0;0;4;1;L100034;1944;1960;x
探隆纳瓦沙瓦 ;100035;SIA;1930;1930;1990;1990;2;4;0;0;0;4;1;L100035;1930;1942;x
威占瓦拉甲 ;100036;SIA;1943;1990;1990;1990;3;4;8192;0;0;4;1;L100036;1943;1960;x
威七春拉探 ;100037;SIA;1944;1990;1990;1990;3;4;0;0;0;4;1;L100037;1944;1960;x
育他萨科宋 ;100038;SIA;1930;1938;1942;1990;1;5;0;2;0;4;1;L100038;1930;1960;x
阿米诺柴空 ;100039;SIA;1944;1990;1990;1990;3;4;0;0;0;4;2;L100039;1944;1960;x
阿武德西基空 ;100040;SIA;1944;1946;1990;1990;2;4;0;1;0;4;2;L100040;1944;1960;x
