Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿戈斯蒂 ;508000;RSI;1943;1990;1990;1990;3;4;256;0;0;5;0;L508000;1943;1960;x
阿戈斯蒂尼 ;508001;RSI;1943;1990;1990;1990;3;3;16;0;0;5;0;L508001;1943;1960;x
阿尔贝拉 ;508002;RSI;1943;1990;1990;1990;3;4;256;0;0;5;0;L508002;1943;1960;x
阿廖利 ;508003;RSI;1943;1990;1990;1990;3;4;4;0;0;5;0;L508003;1943;1960;x
巴德尔 ;508004;RSI;1943;1990;1990;1990;3;4;0;0;0;5;0;L508004;1943;1960;x
巴贝尔 ;508005;RSI;1943;1990;1990;1990;3;4;64;0;0;5;0;L508005;1943;1960;x
巴尔德 ;508006;RSI;1943;1990;1990;1990;3;4;0;0;0;5;0;L508006;1943;1960;x
贝泽尔 ;508007;RSI;1943;1945;1990;1990;2;5;2;1;0;5;0;L508007;1943;1960;x
博尔盖塞 ;508008;RSI;1942;1990;1990;1990;3;7;1024;3;0;5;1;L6029;1942;1960;x
博尔托洛托 ;508009;RSI;1943;1990;1990;1990;3;3;0;0;0;5;0;L508009;1943;1960;x
布赖特豪普特 ;508010;RSI;1942;1990;1990;1990;3;4;64;0;0;5;0;L508010;1942;1947;x
布鲁法尼 ;508011;RSI;1943;1990;1990;1990;3;4;256;0;0;5;0;L508011;1943;1960;x
布鲁诺 ;508012;RSI;1941;1990;1990;1990;3;2;2;0;0;4;0;L6031;1941;1960;x
卡尔佐拉里 ;508013;RSI;1942;1990;1990;1990;3;3;0;0;0;5;0;L508013;1943;1960;x
卡洛尼 ;508014;RSI;1943;1990;1990;1990;3;4;256;0;0;5;0;L508014;1943;1960;x
卡西威格里亚 ;508015;RSI;1943;1990;1990;1990;3;5;256;0;0;5;0;L508015;1943;1960;x
克里米 ;508016;RSI;1930;1990;1990;1990;3;3;0;0;0;2;0;L6250;1930;1945;x
D'奥罗 ;508017;RSI;1930;1990;1990;1990;2;3;0;1;0;5;0;L6251;1930;1960;x
德 奇亚 ;508018;RSI;1940;1943;1990;1990;3;4;264;1;0;5;0;L6057;1940;1960;x
德尔 朱迪切 ;508019;RSI;1941;1943;1990;1990;2;4;1;1;0;5;0;L6253;1941;1960;x
迪尔斯泰因 ;508020;RSI;1943;1990;1990;1990;3;3;0;1;0;5;0;L508020;1943;1960;x
埃斯波西托 ;508021;RSI;1930;1943;1990;1990;2;5;256;1;0;3;0;L6065;1930;1960;x
范范尼 ;508022;RSI;1943;1990;1990;1990;3;6;256;1;0;5;0;L508022;1943;1960;x
法里纳 ;508023;RSI;1944;1945;1990;1990;3;4;0;1;0;5;0;L508023;1944;1960;x
菲利帕尼 龙科尼 ;508024;RSI;1944;1990;1990;1990;3;5;4;0;0;5;0;L508024;1944;1960;x
甘巴拉 ;508025;RSI;1930;1930;1942;1990;2;6;8;2;0;5;0;L6074;1930;1960;x
朱尼 ;508026;RSI;1943;1990;1990;1990;3;3;0;0;0;5;0;L508026;1943;1960;x
戈内尔 ;508027;RSI;1943;1990;1990;1990;3;4;4;0;0;5;0;L508027;1943;1960;x
格拉齐亚尼 ;508028;RSI;1930;1930;1930;1937;0;5;5;2;0;5;0;L508028;1930;1960;x
海西希 ;508029;RSI;1943;1990;1990;1990;3;4;32;0;0;5;0;L508029;1943;1960;x
黑尔德曼 ;508030;RSI;1939;1990;1990;1990;3;5;4;0;0;5;0;L508030;1939;1960;x
欣茨 ;508031;RSI;1943;1990;1990;1990;3;4;64;0;0;5;0;L508031;1943;1960;x
