Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
奥格希尔姆 ;9000;SWE;1941;1990;1990;1990;3;3;0;0;0;4;0;L9000;1941;1960;x
阿夫 克莱克 ;9001;SWE;1930;1930;1930;1990;1;4;514;1;0;5;0;L9001;1930;1939;x
安德伦 ;9002;SWE;1930;1990;1990;1990;3;3;32;0;0;4;0;L9002;1930;1943;x
巴克伦 ;9003;SWE;1944;1990;1990;1990;3;4;1;0;0;5;0;L9003;1944;1960;x
本内迪克 ;9004;SWE;1930;1990;1990;1990;3;3;64;0;0;4;0;L9004;1930;1940;x
布雷德贝里 ;9005;SWE;1940;1942;1990;1990;2;4;0;1;0;5;0;L9005;1940;1960;x
塞德舍尔德 ;9006;SWE;1939;1990;1990;1990;3;4;0;0;0;5;0;L9006;1939;1960;x
道格拉斯 ;9007;SWE;1930;1942;1944;1990;1;6;4;2;0;3;0;L9007;1930;1946;x
埃伦斯韦德 CA. ;9008;SWE;1939;1943;1945;1990;1;7;12;3;0;4;0;L9008;1939;1960;x
加德 H. ;9009;SWE;1930;1942;1990;1990;3;3;0;1;0;4;0;L9009;1930;1946;x
加德 S. ;9010;SWE;1944;1990;1990;1990;3;4;64;0;0;5;0;L9010;1944;1960;x
于伦克罗克 ;9011;SWE;1930;1990;1990;1990;3;4;2;0;0;3;0;L9011;1930;1940;x
哈格尔贝格 ;9012;SWE;1938;1942;1990;1990;3;4;24;1;0;3;0;L9012;1938;1960;x
汉密尔顿 ;9013;SWE;1930;1990;1990;1990;3;4;12;1;0;5;0;L9013;1930;1941;x
霍姆奎斯特 ;9014;SWE;1930;1930;1990;1990;2;3;8;0;0;4;0;L9014;1930;1942;x
赫格贝里 ;9015;SWE;1943;1990;1990;1990;3;4;0;0;0;5;0;L9015;1943;1960;x
容 ;9016;SWE;1942;1944;1990;1990;1;5;12;0;0;4;0;L9016;1942;1960;x
马尔姆伯格 ;9017;SWE;1930;1990;1990;1990;3;3;0;0;0;4;0;L9017;1930;1941;x
尼格伦 ;9018;SWE;1930;1930;1930;1990;1;3;8;1;0;5;0;L9018;1930;1941;x
佩龙 ;9019;SWE;1930;1930;1990;1990;2;4;576;1;0;4;0;L9019;1930;1940;x
拉佩 ;9020;SWE;1939;1943;1990;1990;1;7;128;1;0;3;0;L9020;1939;1960;x
罗森布拉德 ;9021;SWE;1930;1930;1990;1990;2;4;520;1;0;5;0;L9021;1930;1943;x
施塔尔哈内 ;9022;SWE;1930;1930;1990;1990;2;3;520;1;0;5;0;L9022;1930;1939;x
西尔万 ;9023;SWE;1930;1930;1990;1990;2;4;0;0;0;5;0;L9023;1930;1942;x
特内尔 ;9024;SWE;1930;1936;1940;1990;1;3;9;3;0;5;0;L9024;1930;1944;x
托蒂 ;9025;SWE;1938;1943;1990;1990;3;3;0;1;0;5;0;L9025;1938;1960;x
冯 罗森 ;9026;SWE;1930;1930;1990;1990;2;4;12;1;0;5;0;L9026;1930;1943;x
比约克隆德 ;9027;SWE;1942;1990;1990;1990;3;3;0;0;0;4;1;L9027;1942;1960;x
德 尚 ;9028;SWE;1930;1930;1990;1990;2;3;0;0;0;4;1;L9028;1930;1944;x
迪尔森 ;9029;SWE;1930;1930;1990;1990;2;3;4608;0;0;5;1;L9029;1930;1941;x
埃伦斯韦德 ;9030;SWE;1930;1939;1943;1990;2;4;4096;2;0;4;1;L9030;1930;1960;x
格雷夫贝里 ;9031;SWE;1940;1990;1990;1990;3;3;1024;0;0;4;1;L9031;1940;1960;x
汉密尔顿 ;9032;SWE;1930;1990;1990;1990;3;4;0;0;0;4;1;L9032;1930;1942;x
林德斯特伦 ;9033;SWE;1930;1930;1940;1990;1;4;0;1;0;3;1;L9033;1930;1946;x
斯特龙巴克 ;9034;SWE;1939;1990;1990;1990;2;5;0;0;0;5;1;L9034;1939;1960;x
塔姆 ;9035;SWE;1938;1942;1946;1990;2;4;0;2;0;4;1;L9035;1938;1960;x
弗里斯 ;9036;SWE;1930;1930;1930;1990;1;3;0;1;0;4;2;L9036;1930;1945;x
雅各比 ;9037;SWE;1938;1941;1945;1990;2;4;65536;2;0;5;2;L9037;1938;1960;x
卡尔松 ;9038;SWE;1943;1990;1990;1990;3;3;0;0;0;5;2;L9038;1943;1960;x
永达尔 ;9039;SWE;1938;1990;1990;1990;3;3;0;0;0;5;2;L9039;1938;1960;x
努登舍尔德 ;9040;SWE;1939;1941;1990;1990;2;5;0;1;0;3;2;L9040;1939;1960;x
萨尔文 ;9041;SWE;1940;1990;1990;1990;3;3;131072;0;0;5;2;L9041;1940;1944;x
塔姆 ;9042;SWE;1945;1990;1990;1990;3;3;0;0;0;4;2;L9042;1945;1960;x
特勒 ;9043;SWE;1940;1990;1990;1990;3;4;8192;0;0;4;2;L9043;1940;1960;x
奥恩贝格 ;9044;SWE;1930;1939;1990;1990;3;3;4096;1;0;4;2;L9044;1930;1942;x
林德 ;9045;SWE;1930;1930;1990;1990;2;3;8;0;0;5;0;L9045;1930;1943;x
拉普 ;9046;SWE;1954;1990;1990;1990;3;6;4096;3;0;5;2;L_SWE_Torsten_Rapp;1954;1990;x
