Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿巴库莫夫 ;523000;TRA;1930;1990;1990;1990;3;2;0;0;0;5;0;M523027;1930;1960;x
拜科夫 ;523001;TRA;1930;1990;1990;1990;3;4;520;1;0;5;0;L523001;1930;1960;x
博尔舍夫斯基 ;523002;TRA;1930;1930;1930;1990;1;3;513;1;0;5;0;M523040;1930;1960;x
布劳恩 ;523003;TRA;1930;1990;1990;1990;3;3;128;0;0;5;0;L523003;1930;1960;x
布赫特基尔奇 ;523004;TRA;1930;1990;1990;1990;3;3;32;0;0;5;0;L523004;1930;1960;x
切贝基莫夫 ;523005;TRA;1930;1930;1990;1990;2;2;64;0;0;5;0;M523037;1930;1960;x
克劳修斯 ;523006;TRA;1930;1930;1990;1990;2;3;512;1;0;5;0;L523006;1930;1960;x
达莱茨基 ;523007;TRA;1930;1990;1990;1990;3;2;1;0;0;5;0;L523007;1930;1960;x
迪特里希 ;523008;TRA;1930;1990;1990;1990;3;2;0;0;0;5;0;L523008;1930;1960;x
福金 ;523009;TRA;1930;1930;1990;1990;2;2;8;0;0;5;0;M523008;1930;1960;x
加蓬 ;523010;TRA;1930;1990;1990;1990;3;3;256;0;0;5;0;M523045;1930;1960;x
哈齐耶夫 ;523011;TRA;1930;1930;1939;1990;2;4;16;1;0;5;0;M523038;1930;1960;x
赫沃罗斯特罗夫斯基 ;523012;TRA;1930;1930;1990;1990;2;3;256;1;0;5;0;L523012;1930;1960;x
雅科夫 ;523013;TRA;1930;1990;1990;1990;3;2;1;0;0;5;0;L523013;1930;1960;x
卡拉姆津 ;523014;TRA;1930;1939;1990;1990;2;3;256;1;0;5;0;L523014;1930;1960;x
卡列宁 ;523015;TRA;1930;1990;1990;1990;3;2;0;0;0;5;0;L523015;1930;1960;x
哈达尔采夫 ;523016;TRA;1930;1990;1990;1990;3;2;64;0;0;5;0;L523016;1930;1960;x
克洛索夫斯基 ;523017;TRA;1930;1990;1990;1990;3;2;0;0;0;5;0;L523017;1930;1960;x
科诺罗斯 ;523018;TRA;1930;1930;1990;1990;2;3;16;0;0;5;0;L523018;1930;1960;x
科罗瓦尔切夫 ;523019;TRA;1930;1930;1930;1990;1;6;537;1;0;5;0;M523042;1930;1960;x
科索夫 ;523020;TRA;1930;1930;1930;1990;1;2;513;1;0;5;0;L523020;1930;1960;x
科夫龙 ;523021;TRA;1930;1930;1930;1990;1;2;514;1;0;5;0;M523041;1930;1960;x
库德罗夫 ;523022;TRA;1930;1930;1990;1990;2;3;0;0;0;5;0;L523022;1930;1960;x
库兹缅科 ;523023;TRA;1930;1939;1990;1990;3;3;32;1;0;5;0;L523023;1930;1960;x
拉夫罗夫 ;523024;TRA;1930;1990;1990;1990;3;2;0;0;0;5;0;L523024;1930;1960;x
列别杰夫 ;523025;TRA;1930;1930;1930;1990;1;2;520;1;0;5;0;L523025;1930;1990;x
莱普辛 ;523026;TRA;1930;1940;1990;1990;3;3;128;1;0;5;0;L523026;1930;1960;x
洛博夫 ;523027;TRA;1930;1930;1990;1990;2;2;16;0;0;5;0;L523027;1930;1960;x
马钦科 ;523028;TRA;1930;1930;1939;1990;2;3;1;1;0;5;0;L523028;1930;1960;x
马尔菲涅夫 ;523029;TRA;1930;1930;1990;1990;2;2;513;1;0;5;0;L523029;1930;1960;x
梅尔库洛夫 ;523030;TRA;1930;1930;1941;1990;2;3;0;1;0;5;0;M523005;1930;1960;x
米哈伊洛维奇 ;523031;TRA;1930;1930;1940;1990;1;5;9;1;0;5;0;L523031;1930;1960;x
莫尔琴科 ;523032;TRA;1930;1930;1990;1990;2;3;0;0;0;5;0;L523032;1930;1960;x
尼基京 ;523033;TRA;1930;1939;1941;1990;2;3;2;2;0;5;0;M523007;1930;1960;x
奥诺普科夫 ;523034;TRA;1930;1990;1990;1990;3;5;264;0;0;5;0;L523034;1930;1960;x
普劳京 ;523035;TRA;1930;1939;1990;1990;3;3;1;1;0;5;0;L523035;1930;1960;x
萨布罗夫 ;523036;TRA;1930;1941;1990;1990;3;4;12;1;0;5;0;M523039;1930;1960;x
瓦拉 ;523037;TRA;1930;1990;1990;1990;3;5;256;0;0;5;0;L523037;1930;1960;x
冯 巴滕韦费尔 ;523038;TRA;1930;1990;1990;1990;3;3;64;0;0;5;0;L523038;1930;1960;x
