Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
班楚科夫 ;525000;TRK;1930;1990;1990;1990;3;5;384;0;0;5;0;L525000;1930;1960;x
巴拉巴诺夫 ;525001;TRK;1930;1990;1990;1990;3;3;256;0;0;5;0;M525037;1930;1960;x
巴拉诺夫 ;525002;TRK;1930;1930;1990;1990;2;2;0;0;0;5;0;M525039;1930;1960;x
巴特罗夫 ;525003;TRK;1930;1939;1943;1990;1;4;8;2;0;5;0;L525003;1930;1960;x
别洛格拉佐夫 ;525004;TRK;1930;1940;1990;1990;3;3;256;1;0;5;0;L525004;1930;1960;x
贝洛夫 ;525005;TRK;1930;1990;1990;1990;3;3;128;0;0;5;0;M525007;1930;1960;x
贝尔林 ;525006;TRK;1930;1938;1990;1990;2;3;1;1;0;5;0;M525040;1930;1960;x
鲍里先科 ;525007;TRK;1930;1938;1990;1990;2;2;64;1;0;5;0;L525007;1930;1960;x
布宁 ;525008;TRK;1930;1990;1990;1990;3;2;4;0;0;5;0;L525008;1930;1960;x
富克斯 ;525009;TRK;1930;1990;1990;1990;3;3;2;0;0;5;0;L525009;1930;1960;x
古思 ;525010;TRK;1930;1990;1990;1990;3;3;16;0;0;5;0;L525010;1930;1960;x
伊赫森 ;525011;TRK;1930;1990;1990;1990;3;3;32;0;0;5;0;L525011;1930;1960;x
卡斯尼茨 ;525012;TRK;1930;1990;1990;1990;3;3;1;0;0;5;0;L525012;1930;1960;x
坎盖拉里 ;525013;TRK;1930;1930;1990;1990;2;5;257;0;0;5;0;L525013;1930;1960;x
基尔 ;525014;TRK;1930;1990;1990;1990;3;3;0;0;0;5;0;L525014;1930;1960;x
雷夫斯 ;525015;TRK;1930;1990;1990;1990;3;2;0;0;0;5;0;M525038;1930;1960;x
舒哈特 ;525016;TRK;1930;1990;1990;1990;3;3;128;0;0;5;0;L525016;1930;1960;x
托马斯 ;525017;TRK;1930;1990;1990;1990;3;2;0;0;0;5;0;L525017;1930;1960;x
乌尔里希 ;525018;TRK;1930;1930;1930;1990;1;4;128;1;0;5;0;M525008;1930;1960;x
菲尔科恩 ;525019;TRK;1930;1990;1990;1990;3;4;288;0;0;5;0;L525019;1930;1960;x
冯 德尔 达默罗-丹布罗夫斯基 ;525020;TRK;1930;1990;1990;1990;3;3;2;0;0;5;0;L525020;1930;1960;x
冯 埃尔弗费尔特 ;525021;TRK;1930;1990;1990;1990;3;3;4;0;0;5;0;L525021;1930;1960;x
冯 克尔齐瓦内克 ;525022;TRK;1930;1990;1990;1990;3;3;64;0;0;5;0;L525022;1930;1960;x
冯 旺根海姆 ;525023;TRK;1930;1990;1990;1990;3;3;0;0;0;5;0;L525023;1930;1960;x
巴塔洛夫 ;525024;TRK;1930;1940;1990;1990;3;2;0;1;0;5;1;M525009;1930;1960;x
巴图林 ;525025;TRK;1930;1942;1990;1990;2;3;4096;1;0;5;1;M525010;1930;1960;x
菲利佩夫 ;525026;TRK;1930;1939;1990;1990;2;3;1024;1;0;5;1;M525042;1930;1960;x
卡萨托诺夫 ;525027;TRK;1930;1939;1943;1990;2;3;0;2;0;5;1;L525027;1930;1960;x
巴图林 ;525028;TRK;1930;1942;1990;1990;2;3;131072;1;0;5;2;M525010;1930;1960;x
别洛格拉佐夫 ;525029;TRK;1930;1940;1990;1990;3;2;0;1;0;5;2;L525004;1930;1960;x
杰姆琴科 ;525030;TRK;1930;1990;1990;1990;3;3;0;0;0;5;2;L525030;1930;1960;x
门施 ;525031;TRK;1930;1990;1990;1990;3;3;0;0;0;5;2;L525031;1930;1960;x
彼得里科夫 ;525032;TRK;1930;1990;1990;1990;3;2;16384;0;0;5;2;M525043;1930;1960;x
扎多罗日内 ;525033;TRK;1930;1941;1990;1990;3;3;4096;1;0;5;2;M525044;1930;1960;x
