Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
班格斯基斯 ;518000;UKR;1930;1930;1990;1990;2;3;513;1;0;5;0;L518000;1930;1960;x
贝格曼 ;518001;UKR;1930;1990;1990;1990;3;2;0;0;0;5;0;L518001;1930;1960;x
别兹鲁奇科 ;518002;UKR;1930;1939;1990;1990;2;3;8;1;0;5;0;L518002;1930;1960;x
布拉戈维申斯基 ;518003;UKR;1930;1990;1990;1990;3;2;4;1;0;5;0;L518003;1930;1960;x
波格丹诺夫 ;518004;UKR;1930;1990;1990;1990;3;5;16;0;0;5;0;L518004;1930;1960;x
博罗维茨 ;518005;UKR;1930;1942;1990;1990;2;4;0;1;0;5;0;L518005;1930;1960;x
博亚尔斯基 ;518006;UKR;1930;1990;1990;1990;3;3;64;0;0;5;0;L518006;1930;1960;x
布赖特豪普特 ;518007;UKR;1930;1930;1940;1990;2;4;0;1;0;5;0;L518007;1930;1960;x
布尼亚申科 ;518008;UKR;1930;1938;1990;1990;2;3;0;1;0;5;0;L518008;1930;1960;x
德雷舍尔 ;518009;UKR;1930;1943;1990;1990;3;3;1;1;0;5;0;L518009;1930;1960;x
杜达 ;518010;UKR;1930;1990;1990;1990;3;2;16;0;0;5;0;M518057;1930;1960;x
埃克哈特 ;518011;UKR;1930;1942;1990;1990;3;4;1;1;0;5;0;L518011;1930;1960;x
法利 ;518012;UKR;1930;1943;1990;1990;3;3;32;1;0;5;0;L518012;1930;1960;x
菲舍尔 ;518013;UKR;1930;1990;1990;1990;3;3;32;0;0;5;0;L518013;1930;1960;x
弗兰克 ;518014;UKR;1930;1990;1990;1990;3;2;0;0;0;5;0;L518014;1930;1960;x
加尔 ;518015;UKR;1930;1990;1990;1990;3;3;0;0;0;5;0;L518015;1930;1960;x
盖格 ;518016;UKR;1930;1944;1990;1990;3;3;128;1;0;5;0;L518016;1930;1960;x
格罗克 ;518017;UKR;1930;1943;1990;1990;3;3;4;0;0;5;0;L518017;1930;1960;x
戈洛夫涅夫 ;518018;UKR;1930;1930;1943;1990;2;4;0;1;0;5;0;M518007;1930;1960;x
海斯特曼 冯 齐尔贝格 ;518019;UKR;1930;1943;1990;1990;2;3;0;1;0;5;0;L518019;1930;1960;x
约斯特 ;518020;UKR;1930;1945;1990;1990;3;3;64;1;0;5;0;L518020;1930;1960;x
金策尔 ;518021;UKR;1930;1939;1944;1990;2;5;2;2;0;5;0;M518061;1930;1960;x
凯尔豪斯 ;518022;UKR;1930;1990;1990;1990;3;3;4;0;0;5;0;L518022;1930;1960;x
科尔布科夫 ;518023;UKR;1930;1990;1990;1990;3;3;128;0;0;5;0;L518023;1930;1960;x
克拉斯诺夫 ;518024;UKR;1930;1930;1930;1990;1;4;517;1;0;5;0;M518066;1930;1960;x
克罗米亚蒂 ;518025;UKR;1930;1990;1990;1990;3;2;0;0;0;5;0;M518060;1930;1960;x
克鲁谢夫 ;518026;UKR;1930;1930;1990;1990;2;2;0;0;0;5;0;M518062;1930;1960;x
谢尔纳 ;518027;UKR;1930;1942;1990;1990;3;3;1;1;0;5;0;L518027;1930;1960;x
列科夫 ;518028;UKR;1930;1990;1990;1990;3;4;128;0;0;5;0;L518028;1930;1960;x
洛伦茨 ;518029;UKR;1930;1990;1990;1990;3;3;4;0;0;5;0;L518029;1930;1960;x
马雷希金 ;518030;UKR;1930;1941;1990;1990;2;4;1;1;0;5;0;L518030;1930;1960;x
梅安德罗夫 ;518031;UKR;1930;1990;1990;1990;3;2;1;0;0;5;0;L518031;1930;1960;x
梅尔尼克 ;518032;UKR;1930;1990;1990;1990;3;2;8;0;0;5;0;L518032;1930;1960;x
奥西马克 ;518033;UKR;1930;1990;1990;1990;3;4;256;0;0;5;0;M518058;1930;1960;x
普利耶夫 ;518034;UKR;1930;1941;1990;1990;2;5;4;1;0;5;0;L518034;1930;1960;x
里克 ;518035;UKR;1930;1990;1990;1990;3;2;0;0;0;5;0;L518035;1930;1960;x
鲁温斯基 ;518036;UKR;1930;1930;1942;1990;2;4;32;1;0;5;0;M518064;1930;1960;x
