Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿达尔贝托 杜卡 迪 贝尔加莫 ;6700;URO;1936;1936;1936;1936;3;7;0;2;0;5;2;L6000;1936;1990;x
阿尔伯特 ;6701;URO;1936;1936;1936;1936;3;7;0;1;0;5;1;L6001;1936;1990;x
阿戈 ;6702;URO;1936;1936;1990;1990;3;7;0;0;0;5;1;L6002;1936;1990;x
安布罗西奥 ;6703;URO;1936;1936;1990;1990;3;7;0;1;0;5;0;L6003;1936;1990;x
阿梅代奥 杜卡 德利 阿布鲁齐 ;6704;URO;1936;1936;1936;1990;3;7;0;1;0;5;0;L6004;1936;1990;x
阿米科 ;6705;URO;1936;1936;1990;1990;3;7;0;0;0;5;0;L6005;1936;1990;x
安东内利 ;6706;URO;1936;1936;1990;1990;3;7;0;0;0;5;2;L6006;1936;1990;x
阿尔迪托 ;6707;URO;1936;1990;1990;1990;3;7;0;1;0;5;0;L6007;1936;1990;x
阿雷纳 ;6708;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6008;1936;1990;x
阿尔梅利尼 ;6709;URO;1936;1990;1990;1990;3;7;0;2;0;5;1;L6009;1936;1990;x
阿西纳里 迪 伯内佐 ;6710;URO;1936;1990;1990;1990;3;7;0;1;0;5;0;L6010;1936;1990;x
巴比尼 ;6711;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6011;1936;1990;x
布尔扎利 ;6712;URO;1936;1990;1990;1990;3;7;0;1;0;5;0;L6012;1936;1990;x
巴伊斯特罗基 ;6713;URO;1936;1990;1990;1990;3;7;0;2;0;5;0;L6014;1936;1990;x
巴利斯蒂 ;6714;URO;1936;1936;1990;1990;3;7;0;0;0;5;1;L6016;1936;1990;x
巴洛科 ;6715;URO;1936;1936;1990;1990;3;7;0;1;0;5;0;L6017;1936;1990;x
巴尔巴塞蒂 迪 普兰 ;6716;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6018;1936;1990;x
巴比里 ;6717;URO;1936;1936;1936;1936;3;7;0;1;0;5;0;L6019;1936;1990;x
巴索 ;6718;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6020;1936;1990;x
巴斯蒂科 ;6719;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6021;1936;1990;x
巴蒂斯蒂 ;6720;URO;1936;1990;1990;1990;3;7;0;1;0;5;1;L6022;1936;1990;x
贝罗多 迪 普拉洛莫 ;6721;URO;1936;1936;1936;1990;3;7;0;0;0;5;0;L6023;1936;1990;x
贝尔贡佐利 ;6722;URO;1936;1936;1990;1990;3;7;0;0;0;5;0;L6024;1936;1990;x
贝尔蒂 ;6723;URO;1936;1936;1936;1990;3;7;0;0;0;5;0;L6025;1936;1990;x
贝托尼 ;6724;URO;1936;1936;1936;1990;3;7;0;0;0;5;2;L6026;1936;1990;x
比安基 ;6725;URO;1936;1936;1936;1990;3;7;0;2;0;5;1;L6027;1936;1990;x
比格纳尼 ;6726;URO;1936;1990;1990;1990;3;7;0;1;0;5;0;L6028;1936;1990;x
博尔盖塞 ;6727;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6029;1936;1990;x
布鲁内蒂 ;6728;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6030;1936;1990;x
布鲁诺 ;6729;URO;1936;1990;1990;1990;3;7;0;1;0;5;0;L6031;1936;1990;x
卡多尔纳 ;6730;URO;1936;1990;1990;1990;3;7;0;2;0;5;1;L6032;1936;1990;x
卡尔维 迪 贝尔戈罗 ;6731;URO;1936;1936;1990;1990;3;7;0;1;0;5;0;L6033;1936;1990;x
卡纳莱 ;6732;URO;1936;1936;1990;1990;3;7;0;0;0;5;1;L6034;1936;1990;x
卡拉乔洛 迪 费罗莱托 ;6733;URO;1936;1936;1936;1936;3;7;0;0;0;5;0;L6035;1936;1990;x
卡尔博尼 ;6734;URO;1936;1936;1936;1936;3;7;0;1;0;5;1;L6036;1936;1990;x
卡尔塔 ;6735;URO;1936;1936;1990;1990;3;7;0;0;0;5;0;L6037;1936;1990;x
卡鲁索 ;6736;URO;1936;1936;1936;1990;3;7;0;2;0;5;0;L6038;1936;1990;x
卡西诺 ;6737;URO;1936;1936;1936;1990;3;7;0;0;0;5;0;L6039;1936;1990;x
卡斯泰拉诺 ;6738;URO;1936;1936;1936;1990;3;7;0;1;0;5;0;L6040;1936;1990;x
卡瓦莱罗 ;6739;URO;1936;1936;1990;1990;3;7;0;0;0;5;1;L6041;1936;1990;x
卡维利亚 ;6740;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6042;1936;1990;x
切里奥 ;6741;URO;1936;1936;1990;1990;3;7;0;1;0;5;2;L6043;1936;1990;x
科皮 ;6742;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6044;1936;1990;x
塞伊 ;6743;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6045;1936;1990;x
奇加拉-富尔戈西 ;6744;URO;1936;1936;1936;1990;3;7;0;1;0;5;1;L6046;1936;1990;x
克莱里西 ;6745;URO;1936;1990;1990;1990;3;7;0;1;0;5;0;L6047;1936;1990;x
科纳 ;6746;URO;1936;1936;1990;1990;3;7;0;0;0;5;0;L6048;1936;1990;x
