Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿贝拉尔多 施米特 ;470000;URU;1944;1990;1990;1990;3;3;256;0;0;5;0;L470000;1944;1960;x
阿曼西亚斯 罗德里格斯 ;470001;URU;1939;1941;1990;1990;2;3;2;1;0;5;0;L470001;1939;1945;x
阿马托 马索 ;470002;URU;1930;1990;1990;1990;3;4;128;0;0;5;0;L470002;1930;1940;x
巴尔多米尔 费拉里 ;470003;URU;1930;1930;1930;1930;0;3;0;1;0;5;0;L470003;1930;1943;x
贝纳维德 ;470004;URU;1930;1990;1990;1990;3;3;128;0;0;5;0;L470004;1930;1939;x
卡卡雷斯 ;470005;URU;1940;1942;1945;1990;1;4;0;2;0;5;0;L470005;1940;1960;x
达纳斯 伊萨斯门迪 ;470006;URU;1944;1946;1990;1990;2;4;0;1;0;4;0;L470006;1944;1960;x
德 拉拉 里瓦斯 ;470007;URU;1930;1990;1990;1990;3;3;64;0;0;5;0;L470007;1930;1941;x
迪亚兹 卡米纳特 ;470008;URU;1943;1990;1990;1990;3;4;1;0;0;5;0;L470008;1943;1960;x
埃洛伊 门多萨 ;470009;URU;1930;1930;1990;1990;2;3;2;0;0;5;0;L470009;1930;1941;x
埃斯卡洛纳 瓦斯克斯 ;470010;URU;1939;1942;1990;1990;3;4;0;1;0;5;0;L470010;1939;1946;x
弗兰基 弗兰克 ;470011;URU;1942;1990;1990;1990;3;3;16;0;0;5;0;L470011;1942;1960;x
格洛肯伯格 ;470012;URU;1942;1945;1990;1990;2;3;2;1;0;5;0;L470012;1942;1960;x
海因茨 阿斯普鲁亚 ;470013;URU;1940;1942;1943;1990;1;3;2;2;0;5;0;L470013;1940;1960;x
洛佩斯 卡马拉 ;470014;URU;1930;1930;1990;1990;2;6;32;0;0;5;0;L470014;1930;1941;x
马西亚斯 阿隆索 ;470015;URU;1930;1930;1990;1990;2;5;514;1;0;5;0;L470015;1930;1939;x
莫蒂希 ;470016;URU;1945;1990;1990;1990;3;4;0;0;0;5;0;L470016;1945;1960;x
奥赫托 瓦雷拉 ;470017;URU;1943;1947;1990;1990;3;3;1;1;0;5;0;L470017;1943;1960;x
佩雷斯-卡尼萨雷斯 赛斯 ;470018;URU;1945;1990;1990;1990;3;4;256;0;0;5;0;L470018;1945;1960;x
皮拉圭 特雷莱斯 ;470019;URU;1930;1930;1990;1990;2;3;1;0;0;5;0;L470019;1930;1942;x
金特罗 萨拉斯 ;470020;URU;1943;1990;1990;1990;3;3;4;0;0;5;0;L470020;1943;1960;x
龙索 罗德里格斯 ;470021;URU;1939;1990;1990;1990;3;4;0;0;0;5;0;L470021;1939;1942;x
塞贡多 迪亚兹 ;470022;URU;1942;1944;1990;1990;3;4;1;1;0;5;0;L470022;1942;1960;x
瓦多拉 ;470023;URU;1930;1990;1990;1990;3;5;513;1;0;3;0;L470023;1930;1940;x
维奥 巴尔德斯 ;470024;URU;1939;1942;1990;1990;2;5;256;1;0;5;0;L470024;1939;1960;x
布塞塔 米兰达 ;470025;URU;1944;1990;1990;1990;3;3;0;0;0;5;1;L470025;1944;1960;x
科索 达 罗赫 ;470026;URU;1941;1945;1990;1990;3;4;0;2;0;5;1;L470026;1941;1960;x
杰克逊 乌里贝 ;470027;URU;1937;1940;1941;1990;1;5;0;2;0;5;1;L470027;1937;1946;x
杨松 卡斯塔涅塔 ;470028;URU;1940;1945;1947;1990;2;4;0;2;0;5;1;L470028;1940;1960;x
梅尔廷 德 拉 弗洛雷斯 ;470029;URU;1945;1990;1990;1990;3;3;0;0;0;5;1;L470029;1945;1960;x
内维斯 奥乔亚 ;470030;URU;1939;1990;1990;1990;3;4;1024;0;0;5;1;L470030;1939;1945;x
昆蒂奥 雷耶斯 ;470031;URU;1930;1930;1990;1990;2;5;4608;1;0;5;1;L470031;1930;1940;x
桑蒂瓦涅斯 卡雷拉斯 ;470032;URU;1943;1946;1990;1990;3;4;0;1;0;5;1;L470032;1943;1960;x
苏亚雷斯 比利亚夫兰科 ;470033;URU;1941;1944;1990;1990;2;3;2048;1;0;5;1;L470033;1941;1960;x
维奥 巴尔德斯 ;470034;URU;1939;1942;1990;1990;2;3;0;1;0;5;1;L470034;1939;1960;x
阿贝拉尔多 施米特 ;470035;URU;1944;1990;1990;1990;3;3;0;0;0;5;2;L470035;1944;1960;x
阿尔瓦雷兹 贝里索 ;470036;URU;1930;1930;1938;1990;1;5;4096;1;0;5;2;L470036;1930;1943;x
德 拉 芬特 德尔 奎拉 ;470037;URU;1943;1946;1990;1990;3;4;0;1;0;5;2;L470037;1943;1960;x
加西亚 桑谢斯 ;470038;URU;1944;1990;1990;1990;3;3;16384;0;0;5;2;L470038;1944;1960;x
戈梅 比利亚韦德 ;470039;URU;1930;1990;1990;1990;3;3;32768;0;0;5;2;L470039;1930;1939;x
梅尔廷 德 拉 弗洛雷斯 ;470040;URU;1944;1946;1990;1990;2;4;131072;1;0;5;2;L470040;1944;1960;x
奥赫托 瓦雷拉 ;470041;URU;1944;1990;1990;1990;3;4;16384;0;0;5;2;L470041;1944;1960;x
佩雷斯-卡尼萨雷斯 赛斯 ;470042;URU;1945;1990;1990;1990;3;3;0;0;0;5;2;L470042;1945;1960;x
雷东多 加尔万 ;470043;URU;1940;1943;1945;1990;2;4;0;2;0;5;2;L470043;1940;1960;x
桑切斯 埃利桑多 ;470044;URU;1930;1990;1990;1990;3;4;4096;0;0;5;2;L470044;1930;1938;x
苏卢埃加 迪亚兹 ;470045;URU;1930;1990;1990;1990;3;4;0;0;0;5;2;L470045;1930;1941;x
