U85;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
800500;Head of State;埃德加·奥热罗;36;SC;Weary Stiffneck;Very High;chad3;x
800501;Head of State;安德烈·马茨瓦;36;LWR;Die-hard Reformer;Very High;brazaville4;x
800502;Head of State;阿方斯 马森巴-德巴 ;45;LE;Autocratic Charmer;Very High;brazaville5;x
800503;Head of State;皮埃尔·迪亚涅;34;FA;Autocratic Charmer;Very High;unknown;x
800504;Head of State;菲尔贝 尤卢 ;45;PA;Pig-headed Isolationist;Very High;brazaville2;x
800505;Head of Government;阿方斯 马森巴-德巴 ;45;LE;Corporate Suit;Very High;brazaville5;x
800506;Head of Government;安德烈·马茨瓦;36;LWR;Silent Workhorse;Very High;brazaville4;x
800507;Head of Government;加布里埃尔·福琼;36;ML;Silent Workhorse;Very High;brazaville1;x
800508;Head of Government;雅克·卡蒂埃;44;SC;Naive Optimist;Very High;brazaville3;x
800509;Foreign Minister;加布里埃尔·福琼;36;ML;Great Compromiser;Very High;brazaville1;x
800510;Foreign Minister;萨斯雷·奇切勒;45;LWR;Ideological Crusader;Very High;brazaville6;x
800511;Minister of Armament;戴维·穆沙卡;44;LE;Military Entrepreneur;Very High;unknown;x
800512;Minister of Armament;埃德加·奥热罗;36;SC;Military Entrepreneur;Very High;chad3;x
800513;Minister of Security;菲尔贝 尤卢 ;45;PA;Crime Fighter;Very High;brazaville2;x
800514;Minister of Security;安德烈·马茨瓦;36;LWR;Man of the People;Very High;brazaville4;x
800515;Head of Military Intelligence;雅克·卡蒂埃;44;SC;Political Specialist;Very High;brazaville3;x
800516;Head of Military Intelligence;艾佛斯·穆扎巴卡尼;44;LE;Technical Specialist;Very High;unknown;x
800517;Chief of Staff;戴维·穆沙卡;44;LE;School of Psychology;Very High;unknown;x
800518;Chief of Staff;埃德加·奥热罗;36;SC;School of Mass Combat;Very High;chad3;x
800519;Chief of Army;艾佛斯·穆扎巴卡尼;44;LE;Decisive Battle Doctrine;Very High;unknown;x
800520;Chief of Army;埃德加·奥热罗;36;SC;Decisive Battle Doctrine;Very High;chad3;x
800521;Chief of Navy;戴维·穆沙卡;44;LE;Open Seas Doctrine;Very High;unknown;x
800522;Chief of Air Force;让·尚邦;36;SL;Army Aviation Doctrine;Very High;unknown;x
