ALG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
530001;Head of State;乔治 ;30;SL;Benevolent Gentleman;High;M530001;x
530002;Head of Government;乔治 ;30;SL;Flamboyant Tough Guy;High;M530001;x
530003;Foreign Minister;尤勒斯 德 柯尼希斯瓦特 ;30;SL;Ideological Crusader;High;M530003;x
530004;Minister of Armament;安托万 马叙雷尔 ;30;SL;Tank Proponent;Medium;M530004;x
530005;Minister of Security;马塞尔 佩鲁东 ;30;SL;Back Stabber;Medium;M530005;x
530006;Head of Military Intelligence;让 勒沃 d'阿隆尼斯 ;30;SL;Industrial Specialist;Medium;M530006;x
530007;Chief of Staff;阿尔弗雷德 厄尔托 ;30;SL;School of Fire Support;Medium;M530007;x
530008;Chief of Army;皮埃尔 德 舍维涅 ;30;SL;Decisive Battle Doctrine;Medium;M530008;x
530009;Chief of Navy;亨利 马内斯 ;30;SL;Indirect Approach Doctrine;Medium;M530009;x
530010;Chief of Air Force;弗朗索瓦 佐默 ;30;SL;Air Superiority Doctrine;Medium;M530010;x
530011;Head of State;让 阿布里亚尔 ;40;SL;Stern Imperialist;High;L24146;x
530012;Head of State;马克西姆 魏甘德 ;41;SL;Resigned Generalissimo;High;L24145;x
530013;Head of State;马塞尔 佩鲁东 ;43;SL;Barking Buffoon;High;M530005;x
530014;Head of State;乔治 卡特鲁 ;43;SL;Pig-headed Isolationist;High;L24029;x
530015;Head of State;伊夫 沙泰诺 ;44;SL;Die-hard Reformer;High;M528020;x
530016;Head of State;费尔哈特 阿巴斯 ;36;LWR;Autocratic Charmer;High;M530016;x
530017;Head of Government;让 阿布里亚尔 ;40;SL;Old Admiral;High;L24146;x
530018;Head of Government;马克西姆 魏甘德 ;41;SL;Happy Amateur;High;L24145;x
530019;Head of Government;马塞尔 佩鲁东 ;43;SL;Corporate Suit;High;M530005;x
530020;Head of Government;乔治 卡特鲁 ;43;SL;Old General;High;L24029;x
530021;Head of Government;伊夫 沙泰诺 ;44;SL;Corporate Suit;High;M528020;x
530022;Head of Government;费尔哈特 阿巴斯 ;36;LWR;Smiling Oilman;High;M530016;x
530023;Foreign Minister;皮埃尔-亨利 泰特让 ;42;SL;The Cloak N Dagger Schemer;High;M530023;x
530024;Foreign Minister;萨阿迪 M'巴尔卡 ;36;LWR;Biased Intellectual;High;M530024;x
530025;Foreign Minister;优素福 本-赫达 ;41;LWR;Great Compromiser;High;M530025;x
530026;Minister of Armament;尤金 德舍莱特 ;41;SL;Air Superiority Proponent;Medium;M530026;x
530027;Minister of Armament;弗朗茨 法农 ;36;LWR;Military Entrepreneur;Medium;M530027;x
530028;Minister of Armament;艾哈迈德 本-贝拉 ;45;LWR;Administrative Genius;Medium;M530028;x
530029;Minister of Security;安德烈 让 戈丁 ;42;SL;Compassionate Gentleman;Medium;M530029;x
530030;Minister of Security;优素福 本-赫达 ;36;LWR;Back Stabber;Medium;M530025;x
530031;Minister of Security;贾米勒 希里纳 ;41;LWR;Man of the People;Medium;M530031;x
530032;Head of Military Intelligence;皮埃尔 尤利特 ;41;SL;Logistics Specialist;Medium;M530032;x
530033;Head of Military Intelligence;贾米勒 希里纳 ;36;LWR;Industrial Specialist;Medium;M530031;x
530034;Head of Military Intelligence;萨阿迪 M'巴尔卡 ;41;LWR;Naval Intelligence Specialist;Medium;M530024;x
530035;Chief of Staff;雅克 布尔迪 ;44;SL;School of Manoeuvre;Medium;M530035;x
530036;Chief of Staff;穆斯塔法 阿尔-加尼 ;36;LWR;School of Psychology;Medium;M530036;x
530037;Chief of Staff;胡阿里 布迈丁 ;44;LWR;School of Mass Combat;Medium;M530037;x
530038;Chief of Army;保罗 奥多 ;43;SL;Armoured Spearhead Doctrine;Medium;M530038;x
530039;Chief of Army;穆斯塔法 阿尔-加尼 ;36;LWR;Elastic Defence Doctrine;Medium;M530036;x
530040;Chief of Army;胡阿里 布迈丁 ;44;LWR;Guns and Butter Doctrine;Medium;M530037;x
530041;Chief of Navy;皮埃尔 德 舍维涅 ;43;SL;Base Control Doctrine;Medium;M530008;x
530042;Chief of Navy;海尔丁 达西 ;36;LWR;Open Seas Doctrine;Medium;M530042;x
530043;Chief of Air Force;阿尔弗雷德 厄尔托 ;39;SL;Army Aviation Doctrine;Medium;M530007;x
530044;Chief of Air Force;弗朗茨 法农 ;36;LWR;Air Superiority Doctrine;Medium;M530027;x
530045;Chief of Air Force;巴赫拉 巴亚 ;44;LWR;Vertical Envelopment Doctrine;Medium;M530045;x
530046;Head of Military Intelligence;拉德尔 本托博;57;LWR;Industrial Specialist;High;M_ALG_Lakhdar_Bentobal;x
530047;Chief of Staff;拉德尔 本托博;54;LWR;School of Mass Combat;High;M_ALG_Lakhdar_Bentobal;x
530048;Chief of Staff;萨迪 亚赛弗;54;LWR;School of Defence;Medium;M_ALG_Saadi_ yacef;x
