ANG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
568001;Head of State;安东尼奥 洛佩斯 马提奥 ;36;PA;Insignificant Layman;High;M568001;x
568002;Head of Government;马诺尔 喀斯特 马奎斯 马诺 ;36;PA;Flamboyant Tough Guy;High;M568002;x
568003;Foreign Minister;阿尔瓦洛 德 弗莱塔斯 莫纳 ;36;PA;General Staffer;High;M568003;x
568004;Minister of Armament;瓦斯库 洛佩斯 阿尔维斯 ;36;PA;Tank Proponent;Medium;M568004;x
568005;Minister of Security;保罗 卡迪洛 ;36;PA;Man of the People;Medium;M568005;x
568006;Head of Military Intelligence;费南多 费莱里阿 梅罗 ;36;PA;Dismal Enigma;Medium;M568006;x
568007;Chief of Staff;若奥 马塞多-布里托 ;36;PA;School of Psychology;Medium;M568007;x
568008;Chief of Army;弗朗西斯科 佩里阿 德 伊卡 ;36;PA;Static Defence Doctrine;Medium;M568008;x
568009;Chief of Navy;莫施努 德 亚博克尔科 ;36;PA;Indirect Approach Doctrine;Medium;M568009;x
568010;Chief of Air Force;罗格里奥 法奎罗 ;36;PA;Army Aviation Doctrine;Medium;M568010;x
568011;Head of State;尤格尼奥 达 舒内德尔 ;36;ML;Pig-headed Isolationist;High;M568011;x
568012;Head of State;瓦斯库 洛佩斯 阿尔维斯 ;36;LWR;Resigned Generalissimo;High;M568004;x
568013;Head of Government;维克多 布尔 ;36;ML;Happy Amateur;High;M568013;x
568014;Head of Government;保罗 提皮里卡 ;36;LWR;Political Protege;High;M568014;x
568015;Foreign Minister;沃德玛 波恩豪森 ;36;ML;Ideological Crusader;High;M568015;x
568016;Foreign Minister;曼纽尔 格拉西奥 图尔玛 ;36;LWR;The Cloak N Dagger Schemer;High;M568016;x
568017;Minister of Armament;菲尔南多 昆哈 克斯塔 ;36;ML;Military Entrepreneur;Medium;M568017;x
568018;Minister of Armament;约奎米 杜瓦特 戴维 克斯塔 ;36;LWR;Resource Industrialist;Medium;M568018;x
568019;Minister of Security;曼纽尔 戈麦斯 德 克斯塔 ;36;ML;Crooked Kleptocrat;Medium;M568019;x
568020;Minister of Security;温瑟斯劳 博利尼 ;43;ML;Silent Lawyer;Medium;M568020;x
568021;Minister of Security;尤库里德斯 达 克斯塔 布拉沃 ;36;LWR;Compassionate Gentleman;Medium;M568021;x
568022;Head of Military Intelligence;霍拉西奥 希尔瓦 ;36;ML;Industrial Specialist;Medium;M568022;x
568023;Head of Military Intelligence;佩德罗 德 保拉 平赫多 ;36;LWR;Logistics Specialist;Medium;M568023;x
568024;Chief of Staff;瓦斯库 洛佩斯 阿尔维斯 ;43;PA;School of Manoeuvre;Medium;M568004;x
568025;Chief of Staff;贾奎姆 普拉西多 杜瓦特 ;36;ML;School of Defence;Medium;M568025;x
568026;Chief of Staff;尤里奥 孔加尔维斯 德 坎珀斯 ;36;LWR;School of Mass Combat;Medium;M568026;x
568027;Chief of Army;尤里奥 德 莫莱斯 萨门托 ;41;PA;Elastic Defence Doctrine;Medium;M568027;x
568028;Chief of Army;弗朗西斯克 德 阿鲁斯 莱博罗 ;36;ML;Guns and Butter Doctrine;Medium;M568028;x
568029;Chief of Army;阿尔瓦洛 德 弗莱塔斯 莫纳 ;36;LWR;Decisive Battle Doctrine;Medium;M568003;x
568030;Chief of Navy;弗朗西斯科 德 克斯塔 安德瓦德 ;36;ML;Decisive Naval Battle Doctrine;High;M568030;x
568031;Chief of Navy;保罗 提皮里卡 ;36;LWR;Base Control Doctrine;High;M568014;x
568032;Chief of Air Force;若奥 路易斯 卡瓦罗 ;36;ML;Air Superiority Doctrine;Medium;M568032;x
568033;Chief of Air Force;曼纽尔 格拉西奥 图尔玛 ;36;LWR;Carpet Bombing Doctrine;Medium;M568016;x
