BEN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
533001;Head of State;利昂 盖斯马尔 ;36;SL;Ruthless Powermonger;High;M533001;x
533002;Head of Government;朱利恩 乔治 拉米 ;36;SL;Backroom Backstabber;High;M533002;x
533003;Foreign Minister;胡贝特 德尚 ;36;SL;Iron Fisted Brute;High;M533003;x
533004;Minister of Armament;霍勒斯 瓦伦丁 克罗奇基亚 ;36;SL;Battle Fleet Proponent;Medium;M533004;x
533005;Minister of Security;路易斯 布雷索勒 ;36;SL;Crime Fighter;Medium;M533005;x
533006;Head of Military Intelligence;阿尔伯特 梅卡迪耶 ;36;SL;Technical Specialist;Medium;M533006;x
533007;Chief of Staff;让 德 圣-阿拉里 ;36;SL;School of Defence;Medium;M533007;x
533008;Chief of Army;莱昂斯 约瑟夫 德尔佩什 ;36;SL;Static Defence Doctrine;Medium;M533008;x
533009;Chief of Navy;弗朗西斯 d'乌尔特雷 塞耶 ;36;SL;Indirect Approach Doctrine;Medium;M533009;x
533010;Chief of Air Force;路易斯 弗卢里-埃拉尔 ;36;SL;Vertical Envelopment Doctrine;Medium;M533010;x
533011;Head of State;米歇尔 卢西恩 蒙塔涅 ;36;SL;Autocratic Charmer;High;M533011;x
533012;Head of State;莱昂斯 约瑟夫 德尔佩什 ;41;SL;Resigned Generalissimo;High;M533008;x
533013;Head of State;让 德 圣-阿拉里 ;41;SL;Weary Stiffneck;High;M533007;x
533014;Head of State;皮埃尔 萨尔塞蒂 ;42;SL;Benevolent Gentleman;High;M533014;x
533015;Head of State;阿尔伯特 梅卡迪耶 ;43;SL;Stern Imperialist;High;M533006;x
533016;Head of State;让 诺塔里 ;44;SL;Pig-headed Isolationist;High;M533016;x
533017;Head of State;加斯顿 蒙东-维达耶 ;36;PA;Die-hard Reformer;High;M533017;x
533018;Head of State;费利克斯 乌弗埃-博瓦尼 ;36;LWR;Popular Figurehead;High;M533018;x
533019;Head of Government;加斯顿 蒙东-维达耶 ;36;SL;Corporate Suit;High;M533017;x
533020;Head of Government;路易斯 布雷索勒 ;38;SL;Flamboyant Tough Guy;High;M533005;x
533021;Head of Government;霍勒斯 瓦伦丁 克罗奇基亚 ;38;SL;Old Admiral;High;M533004;x
533022;Head of Government;胡贝特 德尚 ;41;SL;Naive Optimist;High;M533003;x
533023;Head of Government;乔治 皮埃尔 雷伊 ;42;SL;Naive Optimist;High;M533023;x
533024;Head of Government;安德烈 拉特里耶 ;43;SL;Old General;High;M533024;x
533025;Head of Government;亨利 德 莫德维 ;45;SL;Ambitious Union Boss;High;M533025;x
533026;Head of Government;奥斯瓦尔德 杜兰德 ;47;SL;Ambitious Union Boss;High;M533026;x
533027;Head of Government;乔治 皮埃尔 雷伊 ;36;PA;Political Protege;High;M533023;x
533028;Head of Government;西尔瓦努斯 奥林匹奥 ;36;LWR;Corporate Suit;High;M533028;x
533029;Foreign Minister;路易斯 皮肯 ;40;SL;The Cloak N Dagger Schemer;High;M533029;x
533030;Foreign Minister;让 诺塔里 ;43;SL;Great Compromiser;High;M533016;x
533031;Foreign Minister;埃德姆-亨利 加卢瓦 ;45;SL;Apologetic Clerk;High;M533031;x
533032;Foreign Minister;奥斯瓦尔德 杜兰德 ;36;PA;Iron Fisted Brute;High;M533026;x
533033;Foreign Minister;尼古拉斯 格鲁尼茨基 ;36;LWR;Biased Intellectual;High;M533033;x
533034;Foreign Minister;苏罗 米加恩 阿皮蒂 ;42;LWR;Ideological Crusader;High;M533034;x
533035;Minister of Armament;乔治 皮埃尔 雷伊 ;39;SL;Submarine Proponent;Medium;M533023;x
533036;Minister of Armament;埃皮法尼奥 奥林匹奥 ;41;SL;Military Entrepreneur;Medium;M533036;x
533037;Minister of Armament;雷蒙德 埃昌迪内 ;43;SL;Laissez Faires Capitalist;Medium;M533037;x
533038;Minister of Armament;查尔斯 格里托 ;36;PA;Air to Ground Proponent;Medium;M533038;x
533039;Minister of Armament;胡贝特 马加 ;36;LWR;Battle Fleet Proponent;Medium;M533039;x
533040;Minister of Armament;皮埃尔 阿泽纳德 ;41;LWR;Air Superiority Proponent;Medium;M533040;x
533041;Minister of Security;保罗 米莱利里 ;41;SL;Back Stabber;Medium;M533041;x
533042;Minister of Security;亨利 德 莫德维 ;43;SL;Man of the People;Medium;M533025;x
533043;Minister of Security;安德烈 拉韦涅 ;45;SL;Prince of Terror;Medium;M533043;x
533044;Minister of Security;阿尔伯特 多蒂 ;36;PA;Back Stabber;Medium;M533044;x
533045;Minister of Security;莫里斯 亚梅奥果 ;36;LWR;Crime Fighter;Medium;M533045;x
533046;Head of Military Intelligence;查尔斯 格里托 ;40;SL;Dismal Enigma;Medium;M533038;x
533047;Head of Military Intelligence;奥斯瓦尔德 杜兰德 ;44;SL;Political Specialist;Medium;M533026;x
