BLR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
517001;Head of State;亚历山大 G. 切尔维亚科夫 ;36;LE;Autocratic Charmer;High;M517001;x
517002;Head of Government;阿列克西 A. 沃尔科夫 ;36;LE;Naive Optimist;High;M517002;x
517003;Foreign Minister;尼古拉 I. 古萨罗夫 ;36;LE;Great Compromiser;High;M517003;x
517004;Minister of Armament;亚历山大 奥萨特金-弗拉基米尔斯基 ;36;LE;Infantry Proponent;Medium;M517004;x
517005;Minister of Security;尤里 B. 加马尔尼克 ;36;LE;Prince of Terror;Medium;M517005;x
517006;Head of Military Intelligence;亚泽普 洛西克 ;36;LE;Naval Intelligence Specialist;Medium;M517006;x
517007;Chief of Staff;塞拉菲姆 波克罗夫斯基 ;36;LE;School of Psychology;Medium;M517007;x
517008;Chief of Army;帕维尔 波诺马连科 ;36;LE;Armoured Spearhead Doctrine;Medium;M517008;x
517009;Chief of Navy;瓦莱里克 莱西克 ;36;LE;Indirect Approach Doctrine;Medium;M517009;x
517010;Chief of Air Force;弗拉迪米尔 I. 切尔亚科夫 ;36;LE;Carpet Bombing Doctrine;Medium;M517010;x
517011;Head of State;亚泽普 洛西克 ;36;SD;Weary Stiffneck;High;M517006;x
517012;Head of State;拉季翁 叙维拉 ;36;SC;Stern Imperialist;High;M517012;x
517013;Head of State;彼得 克列切夫斯基 ;36;NS;Autocratic Charmer;High;M517013;x
517014;Head of Government;彼得 克列切夫斯基 ;36;SD;Happy Amateur;High;M517013;x
517015;Head of Government;韦涅季克特 博布科夫斯基 ;36;SC;Political Protege;High;M517015;x
517016;Head of Government;瓦西尔 扎哈尔卡 ;36;NS;Corporate Suit;High;M517016;x
517017;Foreign Minister;卡尔 兰德尔 ;36;LE;Ideological Crusader;High;M517017;x
517018;Foreign Minister;潘捷列伊蒙 罗日诺夫斯基 ;36;SD;Apologetic Clerk;High;M517018;x
517019;Foreign Minister;彼得 A. 克列切夫斯基 ;36;SD;Ideological Crusader;High;M517019;x
517020;Foreign Minister;瓦西尔 扎哈尔卡 ;36;SC;Great Compromiser;High;M517016;x
517021;Foreign Minister;韦尼阿明 诺维茨基 ;36;SC;Apologetic Clerk;High;M517021;x
517022;Foreign Minister;尤里 舒雷维奇 ;36;NS;Biased Intellectual;High;M517022;x
517023;Foreign Minister;威廉 库贝 ;36;NS;The Cloak N Dagger Schemer;High;M517023;x
517024;Minister of Armament;瓦西里 F. 沙兰戈维奇 ;36;LE;Resource Industrialist;Medium;M517024;x
517025;Minister of Armament;米哈伊尔 邦奇-布鲁耶维奇 ;36;SD;Tank Proponent;Medium;M517025;x
517026;Minister of Armament;米科拉 阿布拉姆奇克 ;36;SC;Theoretical Scientist;Medium;M517026;x
517027;Minister of Armament;拉季翁 叙维拉 ;36;NS;Laissez Faires Capitalist;Medium;M517012;x
517028;Minister of Armament;卡尔 兰德尔 ;36;NS;Military Entrepreneur;Medium;M517017;x
517029;Minister of Security;亚历山大 I. 克里维茨基 ;36;LE;Compassionate Gentleman;Medium;M517029;x
517030;Minister of Security;尼古拉 F. 吉卡洛 ;36;LE;Back Stabber;Medium;M517030;x
517031;Minister of Security;米哈伊尔 邦奇-布鲁耶维奇 ;36;LE;Man of the People;Medium;M517025;x
517032;Minister of Security;亚历山大 奥萨特金-弗拉基米尔斯基 ;36;SD;Crime Fighter;Medium;M517004;x
517033;Minister of Security;拉里萨 希尔尼居什 ;36;SC;Efficient Sociopath;Medium;M517033;x
517034;Minister of Security;屈尔 冯 戈特贝格 ;36;NS;Prince of Terror;Medium;M517034;x
517035;Minister of Security;康斯坦丁 沃斯科博伊尼科夫 ;36;NS;Silent Lawyer;Medium;M517035;x
517036;Head of Military Intelligence;潘捷列伊翁 波诺马连科 ;36;LE;Industrial Specialist;Medium;M517036;x
517037;Head of Military Intelligence;亚历山大 I. 克里维茨基 ;36;SD;Political Specialist;Medium;M517029;x
517038;Head of Military Intelligence;卡尔 兰德尔 ;36;SD;Dismal Enigma;Medium;M517017;x
517039;Head of Military Intelligence;尤里 舒雷维奇 ;36;SC;Technical Specialist;Medium;M517022;x
517040;Head of Military Intelligence;米哈伊尔 邦奇-布鲁耶维奇 ;36;NS;Technical Specialist;Medium;M517025;x
517041;Head of Military Intelligence;尤里 B. 加马尔尼克 ;36;NS;Political Specialist;Medium;M517005;x
517042;Head of Military Intelligence;瓦尔特 达雷 ;36;NS;Logistics Specialist;Medium;M517042;x
517043;Chief of Staff;弗拉迪米尔 I. 切尔亚科夫 ;36;SD;School of Fire Support;Medium;M517010;x
517044;Chief of Staff;尤里 B. 加马尔尼克 ;36;SC;School of Psychology;Medium;M517005;x
517045;Chief of Staff;瓦西里 苏拉塔 ;36;NS;School of Defence;Medium;M517045;x
517046;Chief of Army;塞拉菲姆 波克罗夫斯基 ;36;SD;Static Defence Doctrine;Medium;M517007;x
517047;Chief of Army;约瑟夫 道博尔-米尼基 ;36;SC;Decisive Battle Doctrine;Medium;M517047;x
517048;Chief of Army;布罗尼斯拉夫 卡明斯基 ;36;NS;Guns and Butter Doctrine;Medium;M517048;x
517049;Chief of Navy;亚历山大 伊久莫夫 ;36;SD;Base Control Doctrine;Medium;M517049;x
517050;Chief of Navy;弗里德里克 威廉 库尔兹尔 ;36;SC;Open Seas Doctrine;Medium;M517050;x
517051;Chief of Navy;埃哈德 梅尔滕斯 ;36;NS;Base Control Doctrine;Medium;M517051;x
517052;Chief of Air Force;尼古拉 F. 吉卡洛 ;36;SD;Army Aviation Doctrine;Medium;M517030;x
517053;Chief of Air Force;亚历山大 伊久莫夫 ;36;SC;Vertical Envelopment Doctrine;Medium;M517049;x
517054;Chief of Air Force;汉斯 鲍尔 ;36;NS;Air Superiority Doctrine;Medium;M517054;x
