CGX;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
502001;Head of State;Àî×ÚÈÊ ;36;LWR;Resigned Generalissimo;High;L50186;x
502011;Foreign Minister;Àî×ÚÈÊ ;36;LWR;Apologetic Clerk;High;L50186;x
502002;Head of Government;°×³çìû ;36;LWR;Political Protege;High;M502007;x
502004;Minister of Armament;ÓàººÄ± ;36;LWR;Military Entrepreneur;Medium;M502004;x
502005;Minister of Security;À×ÖÒ ;36;LWR;Man of the People;Medium;M502005;x
502006;Head of Military Intelligence;Àî¼ÃÉî ;36;LWR;Dismal Enigma;Medium;M502001;x
502007;Chief of Staff;°×³çìû ;36;LWR;School of Manoeuvre;Medium;M502007;x
502008;Chief of Army;³Â¼ÃÌÄ ;36;LWR;Guns and Butter Doctrine;Medium;M502008;x
502009;Chief of Navy;°×³çìû ;36;LWR;Indirect Approach Doctrine;Medium;M502007;x
502010;Chief of Air Force;ÍõÊåÃú ;36;LWR;Air Superiority Doctrine;Medium;M502010;x
