CHI;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
52002;Head of Government;蒋介石 ;36;PA;Old General;High;M52002;x
52003;Foreign Minister;张群 ;36;PA;Great Compromiser;Very High;M52003;x
52004;Minister of Armament;阎锡山 ;36;PA;Military Entrepreneur;Low;M52004;x
52005;Minister of Security;陈果夫 ;36;PA;Silent Lawyer;Very High;M52005;x
52006;Head of Military Intelligence;陈立夫 ;36;PA;Political Specialist;Very High;M52006;x
52007;Chief of Staff;蒋介石 ;36;PA;School of Manoeuvre;Undying;M52002;x
52009;Chief of Navy;陈绍宽 ;36;PA;Indirect Approach Doctrine;Medium;M52009;x
52010;Chief of Air Force;周至柔 ;36;PA;Army Aviation Doctrine;Very High;M52010;x
52141;Head of State;蒋介石 ;43;SC;Resigned Generalissimo;High;M52002;x
52024;Head of State;宋子文 ;43;SC;Autocratic Charmer;High;M52024;x
52026;Head of Government;王宠惠 ;37;PA;Flamboyant Tough Guy;High;M52026;x
52027;Head of Government;张群 ;39;PA;Happy Amateur;High;M52003;x
52029;Head of Government;宋子文 ;45;PA;Political Protege;High;M52024;x
52147;Head of Government;孫科;48;PA;Political Protege;High;;x
52030;Head of Government;孔祥熙 ;38;PA;Silent Workhorse;High;M52030;x
52031;Head of Government;李宗仁 ;43;SC;Corporate Suit;High;M52031;x
52140;Head of State;李宗仁 ;48;SC;Popular Figurehead;High;M52031;x
52033;Foreign Minister;王宠惠 ;37;PA;Ideological Crusader;Medium;M52026;x
52035;Foreign Minister;林蔚 ;39;PA;General Staffer;High;M52035;x
52148;Foreign Minister;吳鐵城;39;PA;General Staffer;High;;x
52036;Head of Military Intelligence;沈醉 ;40;PA;Dismal Enigma;Very High;M52036;x
52155;Foreign Minister;傅秉常;43;PA;Apologetic Clerk;High;;x
52037;Foreign Minister;陈果夫 ;41;PA;Great Compromiser;Low;M52005;x
52038;Foreign Minister;王世杰 ;45;PA;Iron Fisted Brute;Medium;M52038;x
52040;Foreign Minister;宋子文 ;41;PA;The Cloak N Dagger Schemer;Medium;M52024;x
52159;Foreign Minister;葉公超;47;SC;Great Compromiser;Medium;;x
52157;Foreign Minister;胡適;44;SL;General Staffer;Medium;;x
52045;Minister of Armament;白崇禧 ;37;PA;Resource Industrialist;Low;M52045;x
52046;Minister of Armament;徐永昌 ;38;PA;Theoretical Scientist;High;M52046;x
52047;Minister of Armament;黄镇球 ;39;PA;Military Entrepreneur;High;M52047;x
52049;Minister of Armament;陈果夫 ;40;PA;Laissez Faires Capitalist;Low;M52005;x
52145;Minister of Armament;王雲五;46;PA;Laissez Faires Capitalist;High;;x
52161;Minister of Armament;嚴家淦;49;SC;Administrative Genius;High;M55203;x
52050;Minister of Armament;蔡文治 ;41;PA;Tank Proponent;High;M52050;x
52051;Minister of Armament;贺国光 ;42;PA;Air to Ground Proponent;High;M52051;x
52052;Minister of Armament;陈绍宽 ;42;PA;Battle Fleet Proponent;Medium;M52009;x
52053;Minister of Armament;俞飞鹏 ;42;PA;Infantry Proponent;High;M52053;x
52054;Minister of Armament;王叔铭 ;43;PA;Air to Sea Proponent;High;M52054;x
52055;Minister of Armament;蒋经国 ;45;PA;Administrative Genius;High;M52055;x
52056;Minister of Armament;杜建时 ;46;PA;Strategic Air Proponent;High;M52056;x
52057;Minister of Armament;翁文灏 ;45;SC;Laissez Faires Capitalist;Medium;M52057;x
52144;Head of Government;翁文灏 ;45;SC;Naive Optimist;High;M52057;x
52150;Minister of Armament;徐堪;48;SC;Laissez Faires Capitalist;Medium;;x
52061;Minister of Armament;陈策 ;43;FA;Submarine Proponent;High;M52061;x
52143;Minister of Armament;俞鴻鈞;44;SC;Laissez Faires Capitalist;High;;x
52063;Minister of Security;戴笠 ;38;PA;Crime Fighter;Very High;M52063;x
52142;Minister of Security;張厲生;44;SC;Compassionate Gentleman;High;;x
52065;Minister of Security;吴忠信 ;38;PA;Compassionate Gentleman;High;M52065;x
52067;Minister of Security;谷正伦 ;40;PA;Crime Fighter;Very High;M52067;x
52068;Minister of Security;刘斐 ;41;PA;Silent Lawyer;Medium;M52068;x
52069;Minister of Security;蒋经国 ;43;PA;Man of the People;Very High;M52055;x
52153;Minister of Security;李漢魂;48;PA;Crime Fighter;High;;x
52070;Minister of Security;陈立夫 ;39;SC;Back Stabber;Medium;M52006;x
52162;Minister of Security;余井塘;48;PA;Crime Fighter;High;;x
52151;Minister of Security;洪蘭友;48;SC;Back Stabber;Medium;;x
52071;Minister of Security;孔祥熙 ;43;SC;Man of the People;High;M52030;x
52072;Minister of Security;康泽 ;44;SC;Prince of Terror;Medium;M52072;x
52073;Minister of Security;蔡元培 ;45;SC;Compassionate Gentleman;Medium;M52073;x
52076;Minister of Security;陈翰笙 ;43;FA;Prince of Terror;High;M52076;x
52077;Minister of Security;陈发科 ;44;FA;Efficient Sociopath;High;M52077;x
52078;Head of Military Intelligence;戴笠 ;37;PA;Political Specialist;Very High;M52063;x
52079;Head of Military Intelligence;贺耀祖 ;39;PA;Industrial Specialist;Low;M52079;x
52080;Head of Military Intelligence;毛人凤 ;40;PA;Logistics Specialist;Very High;M52080;x
52081;Head of Military Intelligence;姜毅英;44;PA;Dismal Enigma;Very High;;x
52082;Head of Military Intelligence;杨宣诚 ;41;PA;Naval Intelligence Specialist;Very High;M52082;x
52083;Head of Military Intelligence;郑介民 ;42;PA;Technical Specialist;Very High;M52083;x
52092;Chief of Staff;萧毅肃 ;45;PA;School of Fire Support;High;M52092;x
52086;Head of Military Intelligence;陈发科 ;43;FA;Logistics Specialist;High;M52077;x
52088;Chief of Staff;白崇禧 ;38;PA;School of Mass Combat;Low;M52045;x
52090;Chief of Staff;钱大钧 ;41;PA;School of Defence;High;M52090;x
