COL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
37001;Head of State;阿方索 洛佩斯 普马雷霍 ;36;SD;Weary Stiffneck;High;M37001;x
37002;Head of Government;阿方索 洛佩斯 普马雷霍 ;36;SD;Silent Workhorse;High;M37001;x
37003;Foreign Minister;埃内斯托 冈萨雷斯 彼德拉伊塔 ;36;SD;Ideological Crusader;Medium;M37003;x
37004;Minister of Armament;贝尼托 埃尔南斯 ;36;SD;Corrupt Kleptocrat;Medium;M37004;x
37005;Minister of Security;乔治 罗亚 马丁内斯 ;36;SD;Compassionate Gentleman;Medium;M37005;x
37006;Head of Military Intelligence;费尔南多 隆多诺-隆多诺 ;36;SD;Industrial Specialist;Medium;M37006;x
37007;Chief of Staff;乔治 梅尔卡多 桑切斯 ;36;SD;School of Defence;Medium;M37007;x
37008;Chief of Army;爱德华多 波里尔 埃斯科巴尔 ;36;SD;Elastic Defence Doctrine;Medium;M37008;x
37009;Chief of Navy;路易斯 阿塞韦多 ;36;SD;Decisive Naval Battle Doctrine;Medium;M37009;x
37010;Chief of Air Force;格尔曼 奥拉诺 ;36;SD;Air Superiority Doctrine;Medium;M37010;x
37032;Head of State;爱德华多 桑托斯 蒙特若 ;38;SL;Autocratic Charmer;High;M37032;x
37033;Head of State;阿尔贝托 列拉斯 卡马戈 ;42;SL;Insignificant Layman;High;M37033;x
37034;Head of State;加布里埃尔 图尔瓦伊 阿亚拉 ;46;SL;Benevolent Gentleman;High;M37034;x
37035;Head of State;华金 费尔南德斯 ;38;SC;Popular Figurehead;High;M37035;x
37036;Head of State;卡洛斯 阿朗戈 贝莱斯 ;42;SC;Stern Imperialist;High;M37036;x
37037;Head of State;乔治 埃列塞尔 盖坦 ;45;SC;Popular Figurehead;High;M37037;x
37038;Head of State;马里亚诺 奥斯皮纳 佩雷斯 ;46;ML;Barking Buffoon;High;M37038;x
37039;Head of State;朱利奥 瓦尔德斯 ;38;FA;Resigned Generalissimo;High;M37011;x
37040;Head of State;古斯塔沃 罗雅斯 皮尼拉 ;45;PA;Resigned Generalissimo;High;M37040;x
37041;Head of State;奎里斯塔 塞勒 ;38;LE;Pig-headed Isolationist;High;M37021;x
37042;Head of State;乔治 埃列塞尔 盖坦 ;46;LWR;Popular Figurehead;High;M37037;x
37044;Head of Government;卡洛斯 洛扎诺-洛扎诺 ;38;SD;Smiling Oilman;High;M37044;x
37045;Head of Government;达里奥 埃昌迪亚 ;43;SD;Happy Amateur;High;M37045;x
