COS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
47001;Head of State;罗穆阿尔多 希门尼斯 奥雷亚穆里奥 ;36;SL;Ruthless Powermonger;High;M47001;x
47002;Head of Government;利昂 科尔特斯 卡斯特罗 ;36;SL;Political Protege;NA;M47002;x
47003;Foreign Minister;劳尔 贡迪安 ;36;SL;General Staffer;Medium;M47003;x
47004;Minister of Armament;朱利奥 阿科斯塔 加西亚 ;36;SL;Military Entrepreneur;Medium;M47004;x
47005;Minister of Security;维克托 萨纳夫里亚 马丁内斯 ;36;SL;Efficient Sociopath;Very High;M47005;x
47006;Head of Military Intelligence;费代里科 蒂诺科 ;36;SL;Industrial Specialist;Medium;M47006;x
47007;Chief of Staff;费代里科 蒂诺科 ;36;SL;School of Defence;Medium;M47006;x
47008;Chief of Army;费代里科 蒂诺科 ;36;SL;Static Defence Doctrine;Medium;M47006;x
47009;Chief of Navy;罗伯托 华雷斯 坎波西诺 ;36;SL;Open Seas Doctrine;Medium;M47009;x
47010;Chief of Air Force;唐 阿纳尔多 萨莫拉 ;36;SL;Army Aviation Doctrine;Medium;M47010;x
47031;Head of State;奥蒂略 乌拉特 ;44;SD;Benevolent Gentleman;High;M47031;x
47136;Head of Government;奥蒂略 乌拉特 ;44;SD;Silent Workhorse;High;M47031;x
47032;Head of State;利昂 科尔特斯 卡斯特罗 ;36;SL;Autocratic Charmer;High;M47002;x
47033;Head of State;托比亚斯 苏尼亚加 蒙图法尔 ;40;SL;Stern Imperialist;High;M47033;x
47034;Head of State;亚历杭德罗 德 卡斯特罗 洛佩斯 ;44;SL;Barking Buffoon;High;M47034;x
47035;Head of State;奥托 科尔特斯 费尔南德斯 ;36;SC;Insignificant Layman;High;M47035;x
47036;Head of State;拉斐尔 卡尔德龙 瓜迪亚 ;40;SC;Barking Buffoon;High;M47036;x
47037;Head of State;特奥多罗 皮卡多 米哈尔斯基 ;44;SC;Resigned Generalissimo;High;M47037;x
47038;Head of State;罗穆阿尔多 皮诺 罗亚 ;36;FA;Resigned Generalissimo;High;M47011;x
47039;Head of State;曼努埃尔 莫拉 瓦尔韦德 ;40;LE;Insignificant Layman;High;M47021;x
47040;Head of State;伊萨利诺 德 席尔瓦 隆德雷斯 ;47;LWR;Autocratic Charmer;High;M47040;x
47041;Head of Government;何塞 菲格雷斯 费雷尔 ;44;SD;Political Protege;High;M47041;x
47135;Head of State;何塞 菲格雷斯 费雷尔 ;47;SD;Die-hard Reformer;High;M47041;x
47042;Head of Government;托比亚斯 苏尼亚加 蒙图法尔 ;36;SL;Ambitious Union Boss;High;M47033;x
47043;Head of Government;亚历杭德罗 德 卡斯特罗 洛佩斯 ;44;SL;Happy Amateur;High;M47034;x
47044;Head of Government;阿道夫 乌里贝 卡斯特罗 ;36;SC;Smiling Oilman;High;M47044;x
47045;Head of Government;特奥多罗 皮卡多 米哈尔斯基 ;40;SC;Old General;High;M47037;x
47046;Head of Government;拉斐尔 卡尔德龙 瓜迪亚 ;44;SC;Flamboyant Tough Guy;High;M47046;x
47047;Head of Government;奥托 科尔特斯 费尔南德斯 ;44;SC;Silent Workhorse;High;M47035;x
47048;Head of Government;罗穆阿尔多 皮诺 罗亚 ;36;PA;Old General;High;M47011;x
47049;Head of Government;曼努埃尔 莫拉 瓦尔韦德 ;40;LE;Happy Amateur;High;M47021;x
47050;Head of Government;伊萨利诺 德 席尔瓦 隆德雷斯 ;47;LWR;Political Protege;NA;M47040;x
47051;Foreign Minister;奥蒂略 乌拉特 ;44;SD;The Cloak N Dagger Schemer;Very High;M47031;x
47052;Foreign Minister;路易斯 费尔南德斯 罗德里格斯 ;47;SD;Ideological Crusader;Medium;M47024;x
47053;Foreign Minister;利昂 科尔特斯 卡斯特罗 ;36;SL;The Cloak N Dagger Schemer;Medium;M47002;x
47054;Foreign Minister;曼努埃尔 F 希门尼斯 ;38;SL;General Staffer;Medium;M47054;x
47055;Foreign Minister;阿尔伯特 埃昌迪 蒙特罗 ;39;SL;Iron Fisted Brute;Medium;M47055;x
47056;Foreign Minister;罗伯托 布雷内斯 梅森 ;40;SL;Apologetic Clerk;Medium;M47056;x
47057;Foreign Minister;托比亚斯 苏尼亚加 蒙图法尔 ;42;SL;Biased Intellectual;High;M47033;x
47058;Foreign Minister;基科 奥尔利奇 博尔马里奇 ;44;SL;Ideological Crusader;High;M47058;x
47059;Foreign Minister;阿道夫 乌里贝 卡斯特罗 ;36;SC;Apologetic Clerk;Medium;M47044;x
47060;Foreign Minister;拉斐尔 卡尔德龙 瓜迪亚 ;40;SC;Biased Intellectual;Medium;M47036;x
47061;Foreign Minister;朱利奥 阿科斯塔 加西亚 ;42;SC;Great Compromiser;Medium;M47004;x
47062;Foreign Minister;特奥多罗 皮卡多 米哈尔斯基 ;43;SC;Ideological Crusader;High;M47037;x
47063;Foreign Minister;曼努埃尔 德 佩拉尔塔 ;44;SC;Iron Fisted Brute;Medium;M47063;x
47064;Foreign Minister;劳尔 贡迪安 ;36;PA;General Staffer;Medium;M47003;x
47065;Foreign Minister;曼努埃尔 莫拉 瓦尔韦德 ;40;LE;The Cloak N Dagger Schemer;Medium;M47021;x
47066;Foreign Minister;恩里克 迪亚兹 托莱多 ;47;LWR;Apologetic Clerk;Medium;M47066;x
