DDR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
507001;Head of State;约翰内斯 迪克曼 ;36;ST;Pig-headed Isolationist;High;M507001;x
507002;Head of Government;瓦尔特 乌布利希 ;36;ST;Ambitious Union Boss;High;M53;x
507003;Foreign Minister;格奥尔格 德林格尔 ;36;ST;Ideological Crusader;High;M507003;x
507004;Minister of Armament;维利 斯多夫 ;36;ST;Laissez Faires Capitalist;High;M507004;x
507005;Minister of Security;卡尔 施泰因霍夫 ;36;ST;Crooked Kleptocrat;Low;M507005;x
507006;Head of Military Intelligence;威廉 蔡塞尔 ;36;ST;Political Specialist;Very High;M507006;x
507007;Chief of Staff;恩斯特 沃尔韦伯 ;36;ST;School of Mass Combat;Very High;M27;x
507008;Chief of Army;汉斯 卡勒 ;36;ST;Decisive Battle Doctrine;Very High;M28;x
507009;Chief of Navy;弗里茨 舍伦 ;36;ST;Base Control Doctrine;Very High;M29;x
507010;Chief of Air Force;维利 布雷德尔 ;36;ST;Carpet Bombing Doctrine;Very High;M30;x
507011;Foreign Minister;瓦尔特 乌布利希 ;36;ST;The Cloak N Dagger Schemer;High;M53;x
507012;Foreign Minister;安东 阿克曼 ;36;LE;Great Compromiser;High;M507012;x
507013;Minister of Armament;阿尔伯特 孔茨 ;36;ST;Resource Industrialist;High;M105;x
507014;Minister of Armament;雅各布 凯泽 ;36;LE;Military Entrepreneur;High;M507014;x
507015;Minister of Armament;安德烈斯 赫尔梅斯 ;36;LE;Administrative Genius;High;M507015;x
507016;Minister of Armament;威廉 皮克 ;36;ST;Theoretical Scientist;High;M507016;x
507017;Minister of Security;尤利乌斯 莱贝尔 ;36;ST;Compassionate Gentleman;High;M133;x
507018;Minister of Security;瓦尔特 乌布利希 ;36;ST;Prince of Terror;High;M53;x
507019;Minister of Security;威廉 屈尔茨 ;36;LE;Crime Fighter;High;M507019;x
507020;Minister of Security;奥托 努施克 ;36;LE;Silent Lawyer;High;M507020;x
507021;Minister of Security;奥托 格罗提渥 ;36;ST;Efficient Sociopath;High;M507021;x
507022;Head of Military Intelligence;海因里希 米勒 ;36;ST;Dismal Enigma;Very High;M26;x
507023;Head of Military Intelligence;恩斯特 沃尔韦伯 ;36;ST;Industrial Specialist;Very High;M27;x
507024;Head of Military Intelligence;埃里希 米尔克 ;36;ST;Logistics Specialist;Very High;M507024;x
507025;Head of Military Intelligence;弗里茨 舍伦 ;36;ST;Naval Intelligence Specialist;Very High;M29;x
507026;Chief of Staff;埃里希 魏纳特 ;36;ST;School of Psychology;High;M152;x
507027;Chief of Staff;欧文 若拉塞 ;36;ST;School of Manoeuvre;High;L507120;x
507028;Chief of Staff;克萨韦尔 萨特勒 ;36;ST;School of Fire Support;High;L507227;x
507029;Chief of Army;奥托 科尔费斯 ;36;LE;Elastic Defence Doctrine;Very High;L169;x
507030;Chief of Army;瓦尔特 弗赖塔格 ;36;LE;Armoured Spearhead Doctrine;Very High;L77;x
507031;Chief of Navy;奥托 格罗斯 ;36;ST;Open Seas Doctrine;Very High;L507158;x
507032;Chief of Air Force;弗朗茨 诺瓦克 ;36;LE;Air Superiority Doctrine;Very High;L507220;x
507033;Chief of Air Force;威廉 施派德尔 ;36;ST;Vertical Envelopment Doctrine;Very High;L507237;x
507034;Head of State;威廉 皮克 ;49;ST;Insignificant Layman;High;M507016;x
507035;Minister of Armament;埃里希·昂纳克;60;LE;Resource Industrialist;High;M_DDR_Honecker;x
507036;Foreign Minister;埃里希·昂纳克;50;LE;Iron Fisted Brute;High;M_DDR_Honecker;x
507037;Minister of Security;维利 斯多夫 ;54;ST;Man of the People;High;M507004;x
507038;Minister of Security;霍斯特 辛德曼;53;LE;Efficient Sociopath;Medium;M_DDR_Sindermann;x
507039;Head of Government;霍斯特 辛德曼;60;LE;Naive Optimist;Medium;M_DDR_Sindermann;x
507040;Chief of Staff;海因茨·霍夫曼;46;ST;School of Defence;High;M_DDR_HeinzHoffmann;x
507041;Chief of Army;海因茨·霍夫曼;49;ST;Elastic Defence Doctrine;High;M_DDR_HeinzHoffmann;x
507042;Chief of Air Force;海因茨·凯斯勒;56;LE;Air Superiority Doctrine;Medium;M_DDR_HeinzKessler;x
507043;Chief of Staff;海因茨·凯斯勒;60;LE;School of Fire Support;Medium;M_DDR_HeinzKessler;x
507044;Head of Government;奥托 格罗提渥 ;49;ST;Naive Optimist;High;M507021;x
507045;Foreign Minister;洛萨 波兹;39;ST;Biased Intellectual;High;M_DDR_LotharBolz;x
507046;Foreign Minister;格奥尔格 德丁格;45;LWR;Great Compromiser;High;AM_DDR_GeorgDertinger;x
507047;Foreign Minister;奥托 温泽;59;LE;Apologetic Clerk;High;M_DDR_OttoWinzer;x
507048;Foreign Minister;海因里希·劳;50;LE;General Staffer;Very High;M_DDR_Rau;x
507049;Minister of Security;海因里希·劳;44;LE;Man of the People;Very High;M_DDR_Rau;x
507050;Minister of Armament;海因里希·劳;49;LE;Military Entrepreneur;Very High;M_DDR_Rau;x
507051;Minister of Security;马克思 费格勒;45;LE;Silent Lawyer;Very High;M_DDR_MaxFechner;x
507052;Head of State;瓦尔特 乌布利希 ;59;ST;Powerhungry Demagogue;High;M53;x
507053;Minister of Security;鲁道夫 巴姆勒;44;LWR;Back Stabber;Medium;M_DDR_RudolfBamler;x
507054;Head of Military Intelligence;鲁道夫 巴姆勒;49;LWR;Dismal Enigma;Medium;M_DDR_RudolfBamler;x
