EAF;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
550001;Head of State;菲利普 尤安 米切尔爵士 ;36;ML;Die-hard Reformer;High;M550001;x
550002;Head of Government;约翰 哈特霍恩 哈尔爵士 ;36;ML;Flamboyant Tough Guy;High;M550002;x
550003;Foreign Minister;罗伯特 布鲁克-波帕姆 ;36;ML;General Staffer;High;L1051;x
550004;Minister of Armament;亨利 蒙克-梅森 穆尔 ;36;ML;Battle Fleet Proponent;Medium;M550004;x
550005;Minister of Security;哈罗德 麦克迈克尔爵士 ;36;ML;Efficient Sociopath;Medium;M550005;x
550006;Head of Military Intelligence;马克 扬 ;36;ML;Industrial Specialist;Medium;M550006;x
550007;Chief of Staff;亨利 邓达斯 史蒂文森 ;36;ML;School of Defence;Medium;M550007;x
550008;Chief of Army;罗伯特 布鲁克-波帕姆 ;36;ML;Decisive Battle Doctrine;Medium;L1051;x
550009;Chief of Navy;威廉 德马斯 巴特希尔 ;36;ML;Open Seas Doctrine;Medium;M550009;x
550010;Chief of Air Force;查尔斯 法夸尔森 邓达斯 ;36;ML;Air Superiority Doctrine;Medium;M550010;x
550011;Head of State;H.R.H. 赛义德 哈利法 伊本 哈鲁布 ;36;PA;Powerhungry Demagogue;High;M550011;x
550012;Head of State;H.R.H. 爱德华 穆塔萨 二世 ;36;SD;Popular Figurehead;High;M550012;x
550013;Head of State;尤利乌斯 尼雷尔 ;36;LWR;Pig-headed Isolationist;High;M550013;x
550014;Head of Government;乔斯林 埃罗尔勋爵 ;36;PA;Naive Optimist;High;M1051;x
550015;Head of Government;乔莫 肯雅塔 ;36;SD;Silent Workhorse;High;M550015;x
550016;Head of Government;阿波罗 米尔顿 奥博特 ;36;LWR;Happy Amateur;High;M550016;x
550017;Foreign Minister;皮奥 伽马 平托 ;36;PA;Great Compromiser;High;M550017;x
550018;Foreign Minister;亨利 G 皮林 ;41;ML;Iron Fisted Brute;High;M550018;x
550019;Foreign Minister;克特尔内 伊弗鲁 ;36;SD;Biased Intellectual;High;M550019;x
550020;Foreign Minister;约瑟夫 穆伦比 ;36;LWR;The Cloak N Dagger Schemer;High;M550020;x
550021;Minister of Armament;亚历克修斯 德 拉斯洛 ;36;PA;Infantry Proponent;Medium;M550021;x
550022;Minister of Armament;钱德拉坎斯 梅赫塔 ;42;PA;Laissez Faires Capitalist;Medium;M550022;x
550023;Minister of Armament;查尔斯 法夸尔森 邓达斯 ;40;ML;Air Superiority Proponent;Medium;M550010;x
550024;Minister of Armament;罗纳德 恩加拉 ;36;SD;Tank Proponent;Medium;M550024;x
550025;Minister of Armament;纳西尔达斯 梅赫塔 ;42;SD;Resource Industrialist;Medium;M550025;x
550026;Minister of Armament;德拉维 卡纳帕苏亚 ;36;LWR;Theoretical Scientist;Medium;M550026;x
550027;Minister of Security;马坎 辛格 ;36;PA;Crooked Kleptocrat;Medium;M550027;x
550028;Minister of Security;伊德 德利勒 ;42;PA;Back Stabber;Medium;M550028;x
550029;Minister of Security;文森特 贡卡尔维斯 格伦迪 ;40;ML;Crime Fighter;Medium;M550029;x
550030;Minister of Security;贝内迪克托 基瓦努卡 ;36;SD;Man of the People;Medium;M550030;x
550031;Minister of Security;德丹 基马蒂 ;36;LWR;Prince of Terror;Medium;M550031;x
550032;Head of Military Intelligence;查尔斯 威瑟斯庞 ;36;PA;Logistics Specialist;Medium;M550032;x
550033;Head of Military Intelligence;塔西修斯 恩加加莱库姆特瓦 ;36;SD;Naval Intelligence Specialist;Medium;M550033;x
550034;Head of Military Intelligence;埃内斯特 海明威 ;43;SD;Dismal Enigma;Medium;M550034;x
550035;Head of Military Intelligence;拉希德 卡瓦瓦 ;36;LWR;Technical Specialist;Medium;M550035;x
550036;Chief of Staff;理查德 卡弗 ;36;PA;School of Manoeuvre;Medium;L1069;x
550037;Chief of Staff;杰里米 J 皮尔逊 ;41;ML;School of Psychology;Medium;M550037;x
550038;Chief of Staff;爱德华 穆塔萨 ;36;SD;School of Mass Combat;Medium;M550038;x
550039;Chief of Staff;亨利 朱马拉 ;36;LWR;School of Fire Support;Medium;M550039;x
550040;Chief of Army;彼得 米尔斯 ;36;PA;Guns and Butter Doctrine;Medium;M550040;x
550041;Chief of Army;亨利 G 皮林 ;41;ML;Static Defence Doctrine;Medium;M550018;x
550042;Chief of Army;翁盖里 博吉塔 ;36;SD;Armoured Spearhead Doctrine;Medium;M550042;x
550043;Chief of Army;朱马 达塔维 ;36;LWR;Elastic Defence Doctrine;Medium;M550043;x
550044;Chief of Navy;达乌迪 沙瓦 ;36;PA;Indirect Approach Doctrine;Medium;M550044;x
550045;Chief of Navy;纳什鲁丁 梅赫塔 ;36;SD;Power Projection Doctrine;Medium;M550045;x
550046;Chief of Navy;爱德华 蒙特福德 ;36;LWR;Decisive Naval Battle Doctrine;Medium;M550046;x
550047;Chief of Air Force;马坎 辛格 ;36;PA;Naval Aviation Doctrine;Medium;M550027;x
550048;Chief of Air Force;詹姆斯 霍韦-多布森 ;41;ML;Army Aviation Doctrine;Medium;M550048;x
550049;Chief of Air Force;纳西尔达斯 梅赫塔 ;36;SD;Carpet Bombing Doctrine;Medium;M550025;x
550050;Chief of Air Force;爱德华 蒙特福德 ;36;LWR;Vertical Envelopment Doctrine;Medium;M550046;x
