FLA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
510001;Head of State;斯塔夫 德 克莱尔 ;36;NS;Powerhungry Demagogue;NA;M15033;x
510002;Head of Government;斯塔夫 德 克莱尔 ;36;NS;Flamboyant Tough Guy;NA;M15033;x
510003;Foreign Minister;斯塔夫 德 克莱尔 ;36;NS;Biased Intellectual;Very High;M15033;x
510004;Minister of Armament;亨德里克 德 曼 ;36;PA;Administrative Genius;Very High;M15056;x
510005;Minister of Security;扬 蒂默曼斯 ;36;NS;Man of the People;Very High;M15117;x
510006;Head of Military Intelligence;雷蒙德 托勒纳尔 ;36;NS;Dismal Enigma;Very High;M15082;x
510007;Chief of Staff;耶夫 弗朗索瓦 ;36;NS;School of Mass Combat;Very High;M15015;x
510008;Chief of Army;耶夫 弗朗索瓦 ;36;NS;Decisive Battle Doctrine;Very High;M15015;x
510009;Chief of Navy;恩斯特 容克曼 ;36;NS;Open Seas Doctrine;Very High;M510009;x
510010;Chief of Air Force;奥特弗里德 萨特勒 ;36;NS;Air Superiority Doctrine;Very High;M510010;x
510011;Chief of Air Force;埃格特 雷德尔 ;40;NS;Vertical Envelopment Doctrine;Very High;M510061;x
510012;Chief of Air Force;康拉德 舍隆 ;42;NS;Army Aviation Doctrine;Very High;L510007;x
510013;Chief of Army;埃格特 雷德尔 ;40;NS;Elastic Defence Doctrine;Very High;M510061;x
510014;Chief of Army;G.H. 冯 克劳斯哈尔 ;40;NS;Guns and Butter Doctrine;Very High;M510084;x
510015;Chief of Army;戈特洛布 贝格尔 ;40;NS;Guns and Butter Doctrine;Very High;M510027;x
510016;Chief of Army;汉斯-阿尔伯特 冯 莱托-福贝克 ;40;NS;Decisive Battle Doctrine;Very High;M510088;x
510017;Chief of Army;康拉德 舍隆 ;42;NS;Armoured Spearhead Doctrine;Very High;L510007;x
510018;Chief of Army;卢西恩 赖克波伊尔 ;41;NS;Static Defence Doctrine;Very High;M510065;x
510019;Chief of Army;拉夫 范 赫尔斯 ;42;NS;Guns and Butter Doctrine;Very High;M510078;x
510021;Chief of Army;勒内 拉格鲁 ;36;NS;Decisive Battle Doctrine;Very High;M15017;x
510022;Chief of Navy;埃格特 雷德尔 ;40;NS;Base Control Doctrine;Very High;M510061;x
510024;Chief of Staff;埃格特 雷德尔 ;40;NS;School of Manoeuvre;Very High;M510061;x
510025;Chief of Staff;G.H. 冯 克劳斯哈尔 ;40;NS;School of Fire Support;Very High;M510084;x
510026;Chief of Staff;戈特洛布 贝格尔 ;40;NS;School of Psychology;Very High;M510027;x
510027;Chief of Staff;卢西恩 赖克波伊尔 ;41;NS;School of Defence;Very High;M510065;x
510028;Chief of Staff;拉夫 范 赫尔斯 ;42;NS;School of Manoeuvre;Very High;M510078;x
510029;Chief of Staff;罗伯特 韦尔贝林 ;40;NS;School of Psychology;Very High;M510081;x
510030;Chief of Staff;谢拉夫 特里奥 ;40;NS;School of Fire Support;Very High;M510073;x
510031;Foreign Minister;博士. 奥古斯特 博尔姆斯 ;36;FA;Biased Intellectual;Very High;M510025;x
510032;Foreign Minister;西里尔 费斯哈耶夫 ;36;FA;Great Compromiser;Very High;M510083;x
510033;Foreign Minister;E. 范 德恩 霍伊费尔 ;41;NS;Ideological Crusader;Very High;M510077;x
510034;Foreign Minister;弗兰斯 达埃斯 ;38;FA;Ideological Crusader;Very High;M510035;x
510035;Foreign Minister;戈特洛布 贝格尔 ;40;NS;General Staffer;Very High;M510027;x
510036;Foreign Minister;亨德里克 J. 伊莱亚斯 ;42;FA;Biased Intellectual;Very High;M15039;x
510037;Foreign Minister;耶夫 范 德 维勒 ;38;NS;Iron Fisted Brute;Very High;M15011;x
510038;Foreign Minister;耶罗姆 勒里当 ;37;NS;Ideological Crusader;Very High;M510058;x
510039;Foreign Minister;卡雷尔 兰布雷希茨 ;39;NS;Great Compromiser;Very High;M510049;x
510040;Foreign Minister;奥迭尔 德姆 ;40;NS;The Cloak N Dagger Schemer;Very High;M510037;x
510041;Foreign Minister;波尔 列 罗伊 ;42;FA;Biased Intellectual;Very High;M510054;x
510042;Foreign Minister;雷蒙德 斯佩利尔斯 ;38;FA;Biased Intellectual;Very High;M510072;x
510043;Foreign Minister;瓦尔特 兰帕特 ;41;NS;General Staffer;Very High;M510052;x
510044;Head of Government;亚历山大 冯 法尔肯豪森 ;40;NS;Silent Workhorse;Very High;M510086;x
510045;Head of Government;博士. 奥古斯特 博尔姆斯 ;36;FA;Silent Workhorse;Very High;M510025;x
510046;Head of Government;博士. 舒尔策 ;40;NS;Flamboyant Tough Guy;Very High;M510070;x
510047;Head of Government;弗兰斯 达埃斯 ;38;FA;Flamboyant Tough Guy;Very High;M510035;x
510048;Head of Government;戈特洛布 贝格尔 ;40;NS;Old General;Very High;M510027;x
510049;Head of Government;亨德里克 J. 伊莱亚斯 ;42;FA;Political Protege;NA;M15039;x
510050;Head of Government;耶夫 范 德 维勒 ;40;NS;Backroom Backstabber;NA;M15011;x
510051;Head of Government;耶罗姆 勒里当 ;37;NS;Ambitious Union Boss;Very High;M510058;x
510052;Head of Government;卢西恩 赖克波伊尔 ;41;NS;Happy Amateur;Very High;M510065;x
