GUI;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
537001;Head of State;路易斯 P. 布拉赫尔 ;36;SL;Powerhungry Demagogue;High;M537001;x
537002;Head of Government;路易斯 P. 布拉赫尔 ;36;SL;Political Protege;High;M537001;x
537003;Foreign Minister;尤金 克劳迪乌斯-佩蒂特 ;36;SL;Great Compromiser;High;M537003;x
537004;Minister of Armament;埃米利内 莫罗-埃夫拉尔 ;36;SL;Infantry Proponent;Medium;M537004;x
537005;Minister of Security;安托万 贾科比 ;36;SL;Back Stabber;Medium;M537005;x
537006;Head of Military Intelligence;霍勒斯 克罗奇基亚 ;36;SL;Naval Intelligence Specialist;Medium;M533004;x
537007;Chief of Staff;爱德华 特拉克 ;36;SL;School of Manoeuvre;Medium;M537007;x
537008;Chief of Army;让 弗朗索瓦 格拉尔德 ;36;SL;Decisive Battle Doctrine;Medium;M537008;x
537009;Chief of Navy;让 布拉瑟尔-凯尔马德克 ;36;SL;Open Seas Doctrine;Medium;M537009;x
537010;Chief of Air Force;乔治 贝尔热 ;36;SL;Vertical Envelopment Doctrine;Medium;M537010;x
537011;Head of State;安托万 贾科比 ;40;SL;Popular Figurehead;High;M537005;x
537012;Head of State;霍勒斯 克罗奇基亚 ;42;SL;Weary Stiffneck;High;M533004;x
537013;Head of State;爱德华 特拉克 ;46;SL;Resigned Generalissimo;High;M537007;x
537014;Head of Government;安托万 贾科比 ;40;SL;Happy Amateur;High;M537005;x
537015;Head of Government;霍勒斯 克罗奇基亚 ;42;SL;Naive Optimist;High;M533004;x
537016;Head of Government;爱德华 特拉克 ;46;SL;Old General;High;M537007;x
537017;Foreign Minister;伊曼纽尔 坦普尔 ;42;SL;Apologetic Clerk;High;M537017;x
537018;Minister of Armament;勒内 布伊苏 ;41;SL;Submarine Proponent;Medium;M537018;x
537019;Minister of Armament;凯塔 福迪巴 ;43;SL;Air to Ground Proponent;Medium;M537019;x
537020;Minister of Security;艾哈迈德 塞古 杜尔 ;44;SL;Crime Fighter;Medium;M537020;x
537021;Head of Military Intelligence;安德烈 马赞纳 ;39;SL;Logistics Specialist;Medium;M537021;x
537022;Chief of Staff;皮埃尔 德尔索尔 ;42;SL;School of Fire Support;Medium;M537022;x
