HUN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
21001;Head of State;霍尔蒂米克洛什;36;FA;Resigned Generalissimo;High;M_HUN_Horty_Miklos;x
21002;Head of Government;甘布斯 玖拉;36;FA;Flamboyant Tough Guy;High;M_HUN_Gombos_Gyula;x
21003;Foreign Minister;凯亚 卡莱曼;36;PA;Great Compromiser;Medium;M_HUN_Kanya_Kalman;x
21004;Minister of Armament;法比因 提韩码;36;PA;Military Entrepreneur;Medium;M_HUN_Fabinyi_Tihamer;x
21005;Minister of Security;科兹马 米卡洛斯;36;FA;Prince of Terror;Medium;M_HUN_Kozma_Miklos;x
21006;Head of Military Intelligence;安多卡 雷兹索;36;PA;Technical Specialist;Medium;M_HUN_Andorka_Rezso;x
21007;Chief of Staff;亨利叶 伊什特万;36;PA;School of Mass Combat;High;M_HUN_Hennyey_Gusztav;x
21008;Chief of Army;夏维 伊斯特温;36;FA;Decisive Battle Doctrine;Medium;M_HUN_Shvoy_Istvan;x
21009;Chief of Air Force;哈利 拉斯洛;36;PA;Army Aviation Doctrine;Medium;M_HUN_Hary_Laszlo;x
21010;Chief of Navy;科兹马 米卡洛斯;36;PA;Decisive Naval Battle Doctrine;Medium;M_HUN_Horty_Miklos;x
21011;Head of State;哈布斯堡 奥托一世;36;PA;Benevolent Gentleman;High;M_HUN_Habsburg_Otto;x
21012;Head of State;皮尔 卡罗利;36;SD;Insignificant Layman;High;M_HUN_Peyer_Karoly;x
21013;Head of State;提林迪 佐坦;36;SC;Autocratic Charmer;High;M_HUN_Tildy_Zoltan;x
21014;Head of State;斯扎拉斯 弗朗茨;44;NS;Powerhungry Demagogue;High;M_HUN_Szallasi_Ferenc;x
21015;Head of State;瑟登伊 贝拉;36;PA;Stern Imperialist;High;M_HUN_Zsedenyi_Bela;x
21016;Head of State;扎科斯特斯 艾派;48;ST;Insignificant Layman;High;M_HUN_Szakasits_Arpad;x
21017;Head of State;桑德尔罗奈;50;ST;Popular Figurehead;High;M_HUN_Ronai_Sandor;x
21018;Head of State;多比 伊什特万;47;LE;Autocratic Charmer;High;M_HUN_Dobni_Istvan;x
21021;Head of Government;刚布斯 玖拉;36;FA;Flamboyant Tough Guy;High;M_HUN_Gombos_Gyula;x
21022;Head of Government;达然伊 凯曼;36;FA;Smiling Oilman;High;M_HUN_Daranyi_Kalman;x
21023;Head of Government;恩乐迪 贝拉;38;PA;Corporate Suit;High;M_HUN_Imredy_Bela;x
21024;Head of Government;特勒基 帕尔;38;SC;Naive Optimist;High;M_HUN_Teleki_Pal;x
21025;Head of Government;巴多斯 拉茨诺;38;PA;Silent Workhorse;High;M_HUN_Bardossy_Laszlo;x
21026;Head of Government;凯雷 米卡洛斯;42;PA;Happy Amateur;High;M_HUN_Kallay_Miklos;x
21027;Head of Government;斯图杰 多蒙;39;FA;Old General;High;M_HUN_Sztojay_Dome;x
21028;Head of Government;格扎拉卡托斯;44;PA;Old General;High;M_HUN_Lakatos_Geza;x
21029;Head of Government;贝拉·米克洛什;43;PA;Old General;High;M_HUN_Miklos_Bela;x
21030;Head of Government;斯扎拉斯 弗朗茨;36;NS;Flamboyant Tough Guy;Medium;M_HUN_Szallasi_Ferenc;x
21031;Head of Government;提里迪 佐坦;36;SC;Silent Workhorse;High;M_HUN_Tildy_Zoltan;x
21032;Head of Government;费伦茨·纳吉;39;SC;Happy Amateur;High;M_HUN_Nagy_Ferenc;x
21033;Head of Government;克希 安娜;36;SD;Political Protege;High;M_HUN_Kethly_Anna;x
21034;Head of Government;马加什拉科西;44;ST;Backroom Backstabber;High;M_HUN_Rakosi_Matyas;x
21035;Head of Government;丁尼耶斯 拉约斯;47;LE;Happy Amateur;High;M_HUN_Dinnyes_Lajos;x
21036;Head of Government;卡达尔·亚诺什;48;LE;Political Protege;Very High;M_HUN_Kadar_Janos;x
21037;Head of Government;多比 伊什特万;48;ST;Ambitious Union Boss;High;M_HUN_Dobni_Istvan;x
21038;Head of Government;纳吉·伊姆雷;53;LE;Naive Optimist;High;M_HUN_Nagy_Imre;x
21051;Minister of Armament;恩乐迪 贝拉;36;PA;Infantry Proponent;Medium;M_HUN_Imredy_Bela;x
21052;Minister of Armament;莱蒙伊-瑟耐勒 拉约瑟;38;FA;Administrative Genius;Medium;M_HUN_Remenyi-Schneller_Lajos;x
21053;Minister of Armament;卡瓦·伊姆雷;36;SC;Administrative Genius;Medium;M_HUN_Oltvanyi_Imre;x
21054;Minister of Armament;纳亚拉迪 米克洛什;46;SC;Military Entrepreneur;Very High;M_HUN_Nyaradi_Miklos;x
21055;Minister of Armament;葛洛 恩尔诺;39;ST;Resource Industrialist;Medium;M_HUN_Gero_Erno;x
21056;Minister of Armament;科萨·伊什特万;48;ST;Resource Industrialist;Medium;M_HUN_Kossa_Istvan;x
21057;Minister of Armament;安托斯 伊什特万;45;ST;Laissez Faires Capitalist;Medium;M_HUN_Antos_Istvan;x
21058;Minister of Armament;拉斯洛 恩德雷;44;FA;Strategic Air Proponent;Medium;M_HUN_Endre_Laszlo;x
21059;Minister of Armament;佐尔坦·沃什;46;ST;Military Entrepreneur;Medium;M_HUN_Vas_Zoltan;x
21060;Minister of Armament;温奇勒 伊什特万;36;PA;Resource Industrialist;Medium;M_HUN_Winchkler_Istvan;x
21061;Minister of Armament;奥尔特 卡罗利;47;ST;Military Entrepreneur;High;M_HUN_Olt_Karoly;x
21071;Minister of Security;塞尔 约瑟夫;36;SC;Efficient Sociopath;Medium;M_HUN_Szell_Jozsef;x
21072;Minister of Security;克里茨-弗朗茨·菲舍尔;38;PA;Silent Lawyer;High;M_HUN_Keresztes-Fischer_Ferenc;x
21073;Minister of Security;俄德 弗朗茨;44;ST;Compassionate Gentleman;Medium;M_HUN_Erdei_Ferenc;x
21074;Minister of Security;维杰纳 冈博;44;NS;Man of the People;Medium;M_HUN_Vajna_Gabor;x
21075;Minister of Security;瓦杰克 拉斯诺;45;ST;Prince of Terror;Medium;M_HUN_Rajk_Laszlo;x
21076;Minister of Security;费伦茨 慕尼黑;36;ST;Crime Fighter;High;M_HUN_Munich_Ferenc;x
21077;Minister of Security;帕尔 泰莱基;38;SC;Compassionate Gentleman;High;M_HUN_Teleki_Pal;x
21078;Minister of Security;凯雷 米克洛什;42;PA;Man of the People;Medium;M_HUN_Kallay_Miklos;x
21079;Minister of Security;克希 安娜;36;SD;Compassionate Gentleman;High;M_HUN_Kethly_Anna;x
21080;Minister of Security;邦佐斯 米克洛什;44;PA;Silent Lawyer;Medium;M_HUN_Bonczos_Miklos;x
21081;Minister of Security;贾若思 安道尔;39;NS;Prince of Terror;Medium;M_HUN_Jaross_Andor;x
