ISR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
559001;Head of State;钱姆 魏茨曼 ;36;SL;Benevolent Gentleman;High;M559001;x
559002;Head of Government;戴维 本-古里安 ;36;SL;Ambitious Union Boss;High;M559002;x
559003;Foreign Minister;摩西 夏内特 ;36;SL;Biased Intellectual;High;M559003;x
559004;Minister of Armament;列维 艾希科尔 ;36;SL;Resource Industrialist;Medium;M559004;x
559005;Minister of Security;果尔达 梅厄 ;36;SL;Man of the People;Medium;M559005;x
559006;Head of Military Intelligence;伊格尔 阿隆 ;36;SL;Logistics Specialist;Medium;M559006;x
559007;Chief of Staff;伊加尔 亚丁 ;36;SL;School of Fire Support;Medium;M559007;x
559008;Chief of Army;伊格尔 阿隆 ;36;SL;Guns and Butter Doctrine;Medium;M559008;x
559009;Chief of Navy;叶迪迪亚 亚里 ;36;SL;Decisive Naval Battle Doctrine;Medium;M559009;x
559010;Chief of Air Force;哈伊姆 拉什科夫 ;36;SL;Army Aviation Doctrine;Medium;M559010;x
559011;Head of State;摩西 夏皮拉 ;36;PA;Stern Imperialist;High;M559011;x
559012;Head of State;钱姆 阿洛索罗夫 ;36;LE;Barking Buffoon;High;M559012;x
559013;Head of Government;丹尼尔 奥斯特 ;36;PA;Backroom Backstabber;High;M559013;x
559014;Head of Government;亚伯拉罕 赫谢尔 ;36;LE;Naive Optimist;High;M559014;x
559015;Foreign Minister;扎拉赫 沃纳弗迪格 ;36;PA;Ideological Crusader;High;M559015;x
559016;Foreign Minister;宾哈斯 列文 ;43;SL;Great Compromiser;High;M559016;x
559017;Foreign Minister;伊扎克 本 兹维 ;36;LE;Iron Fisted Brute;High;M559017;x
559018;Foreign Minister;伊茨哈克 塔本金 ;39;LE;The Cloak N Dagger Schemer;High;M559018;x
559019;Minister of Armament;瓦迪亚 约瑟夫 ;36;PA;Infantry Proponent;Medium;M559019;x
559020;Minister of Armament;孟卡赫姆 乌西斯金 ;37;PA;Strategic Air Proponent;Medium;M559020;x
559021;Minister of Armament;瓦查甘 梅尔托尼安 ;40;PA;Laissez Faires Capitalist;Medium;M559021;x
559022;Minister of Armament;卡迪什 鲁兹 ;40;SL;Battle Fleet Proponent;Medium;M559022;x
559023;Minister of Armament;约瑟夫 斯普林扎克 ;42;SL;Air Superiority Proponent;Medium;M559023;x
559024;Minister of Armament;伊利泽尔 卡普兰 ;45;SL;Military Entrepreneur;Medium;M559024;x
559025;Minister of Armament;帕夫洛斯 列文 ;36;LE;Tank Proponent;Medium;M559025;x
559026;Minister of Security;纳鸿 尼尔-拉佛克斯 ;36;PA;Back Stabber;Medium;M559026;x
559027;Minister of Security;梅纳赫姆 巴斯金德 ;39;PA;Compassionate Gentleman;Medium;M559027;x
559028;Minister of Security;梅纳赫姆 贝京 ;40;PA;Efficient Sociopath;Medium;M559028;x
559029;Minister of Security;摩西 哈伊姆 夏皮拉 ;49;SL;Silent Lawyer;Medium;M559029;x
