ITA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
3001;Head of State;维托里奥 埃马努埃莱 三世 ;36;FA;Weary Stiffneck;High;Vittorio_Emanuele_ita;x
3003;Foreign Minister;吉安 加莱亚佐 奇亚诺 ;36;FA;Ideological Crusader;Very High;Ciano_Gian_Galeazzo_ita;x
3005;Minister of Security;吉多 布法利尼-圭迪 ;36;FA;Man of the People;Very High;Buffarini-Guidi_Guido_ita;x
3006;Head of Military Intelligence;塞萨雷 阿梅 ;36;FA;Industrial Specialist;Very High;M3006;x
3007;Chief of Staff;弗朗切斯科 格拉齐奥利 ;36;FA;School of Mass Combat;Medium;Grazioli_Francesco_ita;x
3008;Chief of Army;阿尔贝托 帕里亚尼 ;36;FA;Guns and Butter Doctrine;Medium;Pariani_Alberto_ita;x
3009;Chief of Navy;多梅尼科 卡瓦尼亚利 ;36;FA;Decisive Naval Battle Doctrine;Medium;Cavagnari_Domenico_ita;x
3010;Chief of Air Force;朱塞佩 瓦莱 ;36;FA;Army Aviation Doctrine;Medium;Valle_Giuseppe_ita;x
3031;Head of State;维托里奥 埃马努埃莱 三世 ;43;PA;Weary Stiffneck;High;Vittorio_Emanuele_ita;x
3033;Head of State;维托里奥 埃马努埃莱 三世 ;36;SC;Weary Stiffneck;High;Vittorio_Emanuele_ita;x
3035;Head of State;保罗 塔翁 迪 雷韦尔 ;45;NS;Resigned Generalissimo;High;Thaon_di_Revel_Paolo_ita;x
3036;Head of State;翁贝托 二世 ;44;PA;Autocratic Charmer;High;Piemonte_Umberto_di1_ita;x
3037;Head of State;翁贝托 二世 ;45;SC;Autocratic Charmer;High;Piemonte_Umberto_di1_ita;x
3038;Head of State;阿尔奇德 德 加斯佩里 ;46;SC;Flamboyant Tough Guy;High;Gasperi_Alcide_de_ita;x
3039;Head of State;恩里科 德 妮古拉 ;46;SC;Benevolent Gentleman;High;Nicola_Enrico_de_ita;x
3040;Head of State;恩里科 德 妮古拉 ;46;SL;Benevolent Gentleman;High;Nicola_Enrico_de_ita;x
3041;Head of State;帕尔米罗 陶里亚蒂 ;36;LE;Powerhungry Demagogue;High;Togliatti_Palmiro_ita;x
3044;Head of Government;尤尼奥 博尔盖塞 ;45;NS;Political Protege;High;Borghese_Junio_Valerio_ita;x
3045;Head of Government;彼得罗 巴多利奥 ;43;PA;Old General;High;Badoglio_Pietro1_ita;x
3046;Head of Government;康德 斯特凡诺 亚奇尼 ;36;SC;Happy Amateur;High;Jacini_Stefano_ita;x
3047;Head of Government;阿尔奇德 德 加斯佩里 ;44;SC;Backroom Backstabber;High;Gasperi_Alcide_de_ita;x
3048;Head of Government;伊万诺伊 博诺米 ;44;SL;Silent Workhorse;High;Bonomi_Ivanoe_ita;x
