KAZ;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
520001;Head of State;尼古拉 斯克沃尔佐夫 ;36;LWR;Die-hard Reformer;High;M520001;x
520002;Head of Government;茹马拜 沙亚克梅托夫 ;36;LWR;Silent Workhorse;High;M520002;x
520003;Foreign Minister;列翁 米尔佐扬 ;36;LWR;The Cloak N Dagger Schemer;High;M520003;x
520004;Minister of Armament;阿齐尔汗 努尔沙亚科夫 ;36;LWR;Air to Ground Proponent;Medium;M520004;x
520005;Minister of Security;舍尔坎 穆尔塔扎 ;36;LWR;Crime Fighter;Medium;M520005;x
520006;Head of Military Intelligence;绍尔潘 然达别科瓦 ;36;LWR;Dismal Enigma;Medium;M520006;x
520007;Chief of Staff;伊万 苏赛科夫 ;36;LWR;School of Manoeuvre;Medium;M520007;x
520008;Chief of Army;塔尔加特 比热尔迪诺夫 ;36;LWR;Decisive Battle Doctrine;Medium;M520008;x
520009;Chief of Navy;伊万 塞尔格耶夫 ;36;LWR;Decisive Naval Battle Doctrine;Medium;M520009;x
520010;Chief of Air Force;阿尔布兹 汗 阿尔森 ;36;LWR;Vertical Envelopment Doctrine;Medium;M520010;x
520011;Head of State;德米特里 斯涅金 ;36;ML;Insignificant Layman;High;M520011;x
520012;Head of State;阿里 汗 布凯克里安诺夫 ;36;PA;Resigned Generalissimo;High;M520012;x
520013;Head of Government;卡金别克 萨雷科夫 ;36;ML;Political Protege;High;M520013;x
520014;Head of Government;亚历山大 杜托夫 ;36;PA;Old General;High;M520014;x
520015;Foreign Minister;迪米特里 库纳耶夫 ;36;LWR;Apologetic Clerk;High;M520015;x
520016;Foreign Minister;绍塔 瓦利哈诺夫 ;36;ML;Great Compromiser;High;M520016;x
520017;Foreign Minister;绍尔贝克 拉伊巴耶夫 ;36;PA;Iron Fisted Brute;High;M520017;x
520018;Minister of Armament;马日特 别加利耶夫 ;36;LWR;Laissez Faires Capitalist;Medium;M520018;x
520019;Minister of Armament;穆赫塔尔 沙哈诺夫 ;36;ML;Military Entrepreneur;Medium;M520019;x
520020;Minister of Armament;加比登 穆斯塔芬 ;36;PA;Tank Proponent;Medium;M520020;x
520021;Minister of Security;谢尔盖 奥克萨努尔 ;36;LWR;Silent Lawyer;Medium;M520021;x
520022;Minister of Security;伊特加比 穆斯列波夫 ;36;ML;Back Stabber;Medium;M520022;x
520023;Minister of Security;阿桑拜 阿斯卡罗夫 ;36;PA;Prince of Terror;Medium;M520023;x
520024;Minister of Security;阿塞拜疆 曼别托夫 ;36;PA;Silent Lawyer;Medium;M520024;x
520025;Head of Military Intelligence;加比登 穆斯塔芬 ;36;LWR;Industrial Specialist;Medium;M520020;x
520026;Head of Military Intelligence;艾扎特 捷米尔别克 ;36;ML;Dismal Enigma;Medium;M520026;x
520027;Head of Military Intelligence;劳珊 巴格拉诺瓦 ;36;PA;Political Specialist;Medium;M520027;x
520028;Chief of Staff;古尔扎恩 阿内善 ;36;LWR;School of Defence;Medium;M520028;x
520029;Chief of Staff;尼古拉 苏奇科夫 ;36;ML;School of Fire Support;Medium;M520029;x
520030;Chief of Staff;亚历山大 杜托夫 ;36;PA;School of Mass Combat;Medium;M520030;x
520031;Chief of Army;尼古拉 斯塔尔科夫 ;36;LWR;Armoured Spearhead Doctrine;Medium;M520031;x
520032;Chief of Army;尼古拉 斯塔罗斯京 ;36;ML;Static Defence Doctrine;Medium;M520032;x
520033;Chief of Army;阿里 汗 布凯克里安诺夫 ;36;PA;Guns and Butter Doctrine;Medium;M520012;x
520034;Chief of Navy;迪米特里 萨马尔斯基 ;36;LWR;Power Projection Doctrine;Medium;M520034;x
520035;Chief of Navy;萨拉芬 萨尔基相 ;36;ML;Base Control Doctrine;Medium;M520035;x
520036;Chief of Navy;马纳斯 古利姆贝济尔 ;36;PA;Indirect Approach Doctrine;Medium;M520036;x
520037;Chief of Air Force;马纳斯 古利姆贝济尔 ;36;LWR;Naval Aviation Doctrine;Medium;M520036;x
520038;Chief of Air Force;亚历山大 斯克沃尔佐夫 ;36;ML;Air Superiority Doctrine;Medium;M520038;x
520039;Chief of Air Force;萨拉芬 萨尔基相 ;36;PA;Vertical Envelopment Doctrine;Medium;M520035;x
