KUR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
548001;Head of State;赛义德 里扎 德希米 ;30;PA;Pig-headed Isolationist;High;M548001;x
548002;Head of Government;赛义德 穆罕默德 杰拉勒丁 ;30;PA;Silent Workhorse;High;M548002;x
548003;Foreign Minister;德米尔 卡布里亚 ;30;PA;Iron Fisted Brute;High;M548003;x
548004;Minister of Armament;穆罕默德 埃明 帕夏 ;30;PA;Laissez Faires Capitalist;Medium;M548004;x
548005;Minister of Security;阿卜杜勒迈吉德 佐卢 ;30;PA;Crime Fighter;Medium;M548005;x
548006;Head of Military Intelligence;坎辛 乌鲁伊萨莫格卢 ;30;PA;Technical Specialist;Medium;M548006;x
548007;Chief of Staff;萨尔基斯 德米尔科尔 ;30;PA;School of Psychology;Medium;M548007;x
548008;Chief of Army;哈齐尔 厄贾兰 ;30;PA;Guns and Butter Doctrine;Medium;M548008;x
548009;Chief of Navy;埃尔登 扎法维 ;30;PA;Open Seas Doctrine;Medium;M548009;x
548010;Chief of Air Force;萨尔基斯 德米尔科尔 ;30;PA;Naval Aviation Doctrine;Medium;M548007;x
548011;Head of State;卡齐 穆罕默德 ;36;SL;Autocratic Charmer;High;M548011;x
548012;Head of State;穆斯塔法 巴尔扎尼 ;36;LWR;Die-hard Reformer;High;M548012;x
548013;Head of Government;赛义菲 卡齐 ;36;SL;Naive Optimist;High;M548013;x
548014;Head of Government;卡米 泰穆里安 ;36;LWR;Ambitious Union Boss;High;M548014;x
548015;Foreign Minister;萨德里 卡齐 ;36;SL;Ideological Crusader;High;M548015;x
548016;Foreign Minister;阿比尔 R 卡西姆卢 ;36;LWR;Great Compromiser;High;M548016;x
548017;Minister of Armament;努里 德西米 ;36;SL;Tank Proponent;Medium;M548017;x
548018;Minister of Armament;哈利勒 扎达 ;36;LWR;Infantry Proponent;Medium;M548018;x
548019;Minister of Security;维尔纳 贝斯特 ;42;PA;Prince of Terror;Medium;M548019;x
548020;Minister of Security;贾'法尔 纳'伊米 ;36;SL;Compassionate Gentleman;Medium;M548020;x
548021;Minister of Security;菲克雷特 拉伊夫 ;36;LWR;Back Stabber;Medium;M548021;x
548022;Minister of Security;穆罕默德 卡齐米 ;42;LWR;Man of the People;Medium;M548022;x
548023;Head of Military Intelligence;埃内斯特 米尔福德爵士 ;36;SL;Political Specialist;Medium;M548023;x
548024;Head of Military Intelligence;奥斯曼 卢赫曼 ;36;LWR;Logistics Specialist;Medium;M548024;x
548025;Chief of Staff;巴拉 伊伊特 ;36;SL;School of Mass Combat;Medium;M548025;x
548026;Chief of Staff;吴拉姆哈桑 鲁希扎德甘 ;36;LWR;School of Fire Support;Medium;M548026;x
548027;Chief of Army;德夫兰 坦茹 ;36;SL;Static Defence Doctrine;Medium;M548027;x
548028;Chief of Army;穆斯塔法 巴尔扎尼 ;36;LWR;Elastic Defence Doctrine;Medium;M548028;x
548029;Chief of Navy;奥默德 阿基夸特 ;36;SL;Indirect Approach Doctrine;Medium;M548029;x
548030;Chief of Navy;哈斯比 基利克 ;36;LWR;Base Control Doctrine;Medium;M548030;x
548031;Chief of Air Force;阿巴斯 扎'伊尔普尔 ;36;SL;Carpet Bombing Doctrine;Medium;M548031;x
548032;Chief of Air Force;博尔纳 瓦尔达德 ;36;LWR;Army Aviation Doctrine;Medium;M548032;x
548033;Head of Government;马哈茂德 巴占吉;44;SC;Old General;High;M_KUR_Mahmud_Barzanji;x
548034;Minister of Security;马哈茂德 巴占吉;40;SC;Crime Fighter;High;M_KUR_Mahmud_Barzanji;x
548035;Chief of Staff;马哈茂德 巴占吉;39;SC;School of Psychology;High;M_KUR_Mahmud_Barzanji;x
