LAO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
540001;Head of State;西萨旺 冯 ;36;PA;Pig-headed Isolationist;High;M540001;x
540003;Foreign Minister;帕雅坎冒 ;36;SL;Great Compromiser;High;M540003;x
540004;Minister of Armament;雅克 穆彻尔-布莱索特 ;36;SL;Resource Industrialist;Medium;M540004;x
540051;Minister of Armament;卡代·薩索里特;44;PA;Resource Industrialist;High;;x
540005;Minister of Security;雅克 勒诺文 ;36;SL;Compassionate Gentleman;Medium;M540005;x
540006;Head of Military Intelligence;路易斯 A M 布雷塞 ;36;SL;Dismal Enigma;Medium;M540006;x
540007;Chief of Staff;阿德里安 A M 罗克 ;36;SL;School of Defence;Medium;M540007;x
540008;Chief of Army;佩差拉 马哈乌帕塔 ;36;SL;Static Defence Doctrine;Medium;M540008;x
540009;Chief of Navy;苏万纳拉 ;36;SL;Decisive Naval Battle Doctrine;Medium;M540009;x
540010;Chief of Air Force;文翁 纳占巴塞 ;36;SL;Army Aviation Doctrine;Medium;M540010;x
540011;Head of State;西萨旺 瓦达纳 ;36;PA;Autocratic Charmer;High;M540011;x
540012;Head of State;苏发努冯 ;36;ST;Die-hard Reformer;High;M540012;x
540049;Chief of Staff;苏发努冯 ;45;ST;School of Mass Combat;High;M540012;x
540050;Chief of Army;苏发努冯 ;45;ST;Elastic Defence Doctrine;High;M540012;x
540048;Foreign Minister;苏发努冯 ;45;ST;Iron Fisted Brute;High;M540012;x
540013;Head of Government;阿德里安 A M 罗克 ;40;SL;Old General;High;M540007;x
540014;Head of Government;路易斯 A M 布雷塞 ;41;SL;Ambitious Union Boss;High;M540006;x
540015;Head of Government;帕雅坎冒 ;45;PA;Corporate Suit;High;M540003;x
540047;Head of State;帕雅坎冒 ;44;PA;Weary Stiffneck;High;M540003;x
540016;Head of Government;文翁 纳占巴塞 ;46;PA;Old Air Marshal;High;M540010;x
540017;Head of Government;苏万纳拉 ;47;PA;Flamboyant Tough Guy;High;M540009;x
540018;Head of Government;佩差拉 马哈乌帕塔 ;36;PA;Old General;High;M540008;x
540019;Head of Government;坎布拉敦 乌冒 ;36;ST;Happy Amateur;High;M540019;x
540020;Head of Government;凯山 丰威汉 ;45;ST;Backroom Backstabber;High;M540020;x
540021;Foreign Minister;卡代 敦萨索里特 ;42;SL;The Cloak N Dagger Schemer;High;M540021;x
540022;Foreign Minister;文翁 纳占巴塞 ;36;PA;General Staffer;High;M540010;x
540023;Foreign Minister;皮埃尔 布罗索莱特 ;36;LE;Iron Fisted Brute;High;M540023;x
540024;Minister of Armament;利昂 马丁诺德-杜拉特 ;42;SL;Tank Proponent;Medium;M540024;x
540025;Minister of Armament;苏万纳拉 ;36;PA;Laissez Faires Capitalist;Medium;M540009;x
540026;Minister of Armament;朱尔斯 穆拉西奥拉 ;36;ST;Infantry Proponent;Medium;M540026;x
540027;Minister of Security;雅克 列坎普特-波伊涅特 ;42;SL;Back Stabber;Medium;M540027;x
540028;Minister of Security;佩差拉 马哈乌帕塔 ;36;PA;Silent Lawyer;Medium;M540008;x
540029;Minister of Security;凯山 丰威汉 ;36;ST;Efficient Sociopath;Medium;M540029;x
540030;Head of Military Intelligence;路易斯 梅利特 ;42;SL;Logistics Specialist;Medium;M540030;x
540031;Head of Military Intelligence;培 萨纳尼空 ;36;PA;Political Specialist;Medium;M540031;x
540032;Head of Military Intelligence;坎布拉敦 乌冒 ;36;ST;Technical Specialist;Medium;M540019;x
540033;Chief of Staff;罗杰 西诺 ;42;SL;School of Mass Combat;Medium;M540033;x
540034;Chief of Staff;古 阿派 ;36;PA;School of Manoeuvre;Medium;M540034;x
540035;Chief of Staff;皮芝 当斋 ;36;ST;School of Psychology;Medium;M540035;x
540036;Chief of Army;亨利 阿德林 ;43;SL;Elastic Defence Doctrine;Medium;M540036;x
540037;Chief of Army;萨旺 冯 ;36;PA;Armoured Spearhead Doctrine;Medium;M540037;x
540038;Chief of Army;王宝 ;36;ST;Guns and Butter Doctrine;Medium;M540038;x
540039;Chief of Navy;莫里斯 贝鲁 ;43;SL;Base Control Doctrine;Medium;M540039;x
540040;Chief of Navy;古 阿派 ;36;PA;Power Projection Doctrine;Medium;M540034;x
540041;Chief of Navy;苏发努冯 ;36;ST;Open Seas Doctrine;Medium;M540041;x
540042;Chief of Air Force;皮埃尔 德梅斯蒙 ;42;SL;Carpet Bombing Doctrine;Medium;M540042;x
540043;Chief of Air Force;梭利特 萨梭利特 ;36;PA;Air Superiority Doctrine;Medium;M540043;x
540044;Chief of Air Force;王宝 ;36;ST;Vertical Envelopment Doctrine;Medium;M540038;x
540045;Head of Government;培 萨纳尼空 ;36;PA;Happy Amateur;Medium;M540031;x
540046;Head of Government;梭发那 富马 ;36;PA;Political Protege;Medium;M540046;x
