MEN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
513001;Head of State;德王 ;36;FA;Pig-headed Isolationist;High;M513001;x
513002;Head of Government;德王 ;36;FA;Political Protege;High;M513001;x
513003;Foreign Minister;目贺田种太郎 ;36;FA;General Staffer;High;M58032;x
513004;Minister of Armament;中岛今朝吾 ;36;FA;Air to Ground Proponent;Medium;M58051;x
513005;Minister of Security;达木丁苏荣 ;36;FA;Man of the People;Medium;M513005;x
513006;Head of Military Intelligence;洪哲晃 ;36;FA;Logistics Specialist;Medium;M513006;x
513007;Chief of Staff;德王 ;36;FA;School of Psychology;Medium;M513001;x
513008;Chief of Army;笠原幸雄 ;36;FA;Guns and Butter Doctrine;Medium;L101079;x
513009;Chief of Navy;海因里希 汉克 ;36;FA;Decisive Naval Battle Doctrine;Medium;M513009;x
513010;Chief of Air Force;冨永恭次 ;36;FA;Army Aviation Doctrine;Medium;L101336;x
