MON;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
94001;Head of State;阿格登布 阿马尔 ;36;LE;Weary Stiffneck;high;M94001;x
94002;Head of Government;道尔给扎布 鲁布桑沙拉布 ;36;LE;Happy Amateur;high;M94002;x
94003;Foreign Minister;泼勒吉德 根登 ;36;LE;Great Compromiser;high;M94003;x
94004;Minister of Armament;姜巴 勒呼木别 ;36;LE;Military Entrepreneur;high;M94004;x
94005;Minister of Security;曾德 达木丁苏伦 ;36;LE;Efficient Sociopath;high;M94005;x
94006;Head of Military Intelligence;霍尔洛 乔巴山 ;36;LE;Logistics Specialist;high;M94006;x
94007;Chief of Staff;其米德 ;36;LE;School of Psychology;high;M94007;x
94008;Chief of Army;其米德 ;36;LE;Elastic Defence Doctrine;high;M94007;x
94009;Chief of Navy;V·G 彼尔谢洛夫 ;36;LE;Open Seas Doctrine;high;M94009;x
94010;Chief of Air Force;乌兰夫 ;36;LE;Army Aviation Doctrine;high;M94010;x
94031;Head of State;云端旺楚克 ;37;PA;Resigned Generalissimo;high;M94011;x
94032;Head of State;白云梯 ;37;SD;Benevolent Gentleman;high;M94021;x
94033;Head of State;丹斯朗毕力格 道格索木 ;37;LWR;Insignificant Layman;high;M94025;x
94034;Head of State;冈其格 布曼曾德 ;40;ST;Powerhungry Demagogue;high;M94034;x
94035;Head of State;布玛 曾德 ;46;ST;Ruthless Powermonger;high;M94035;x
94036;Head of Government;德穆楚克栋鲁普 ;37;PA;Political Protege;high;M94012;x
94037;Head of Government;白云梯 ;37;SD;Happy Amateur;high;M94021;x
94038;Head of Government;达希 丹巴 ;37;LWR;Smiling Oilman;high;M94038;x
94039;Head of Government;霍尔洛 乔巴山 ;38;LWR;Old General;high;M94006;x
94040;Head of Government;霍尔洛 乔巴山 ;40;ST;Old General;high;M94006;x
94041;Head of Government;尤睦佳 泽登巴尔 ;42;ST;Corporate Suit;high;M94041;x
94042;Foreign Minister;德穆楚克栋鲁普 ;37;PA;General Staffer;high;M94012;x
94043;Foreign Minister;曾古巴尔 巴德拉赫 ;37;SD;Apologetic Clerk;high;M94023;x
94044;Foreign Minister;道尔给扎布 鲁布桑沙拉布 ;37;LE;Iron Fisted Brute;high;M94002;x
94045;Foreign Minister;班扎尔扎布 巴桑扎布 ;37;LWR;Biased Intellectual;high;M94045;x
94046;Foreign Minister;达希 丹巴 ;38;LWR;The Cloak N Dagger Schemer;high;M94038;x
94047;Foreign Minister;马塞尔 罗森伯格 ;40;ST;Biased Intellectual;high;M94047;x
