OTT;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
549001;Head of State;阿卜杜勒 哈米德 二世 ;36;PA;Pig-headed Isolationist;High;M549001;x
549002;Head of Government;阿卜杜勒哈米德 塔拉特 帕夏 ;36;PA;Political Protege;High;M549002;x
549003;Foreign Minister;赛义德 哈利姆 帕夏 ;36;PA;The Cloak N Dagger Schemer;High;M549003;x
549004;Minister of Armament;克迪尔 恩维尔 帕夏 ;36;PA;Corrupt Kleptocrat;Medium;M549004;x
549005;Minister of Security;哈斯利姆 纳齐姆 帕夏 ;36;PA;Back Stabber;Medium;M549005;x
549006;Head of Military Intelligence;卡迪尔 蒙塞夫 贝 ;36;PA;Logistics Specialist;Medium;M549006;x
549007;Chief of Staff;贾希特 韦达特 帕夏 ;36;PA;School of Fire Support;Medium;M549007;x
549008;Chief of Army;穆斯塔法 凯末尔 帕夏 ;36;PA;Elastic Defence Doctrine;Medium;M549008;x
549009;Chief of Navy;侯赛因 劳夫 ;36;PA;Indirect Approach Doctrine;Medium;M549009;x
549010;Chief of Air Force;克迪尔 恩维尔 帕夏 ;36;PA;Vertical Envelopment Doctrine;Medium;M549010;x
549011;Head of State;穆罕默德 六世 汗 ;36;SC;Weary Stiffneck;High;M549011;x
549012;Head of State;艾哈迈德 尼哈德 ;36;ML;Autocratic Charmer;High;M549012;x
549013;Head of State;奥斯曼 福阿德 ;36;SD;Die-hard Reformer;High;M549013;x
549014;Head of Government;侯赛因 阿夫尼 帕夏 ;36;SC;Old General;High;M549014;x
549015;Head of Government;雷菲克 泽米尔 贝 ;36;ML;Smiling Oilman;High;M549015;x
549016;Head of Government;艾哈迈德 齐里 贝 ;36;SD;Corporate Suit;High;M549016;x
549017;Foreign Minister;奥马尔 拉塔斯 帕夏 ;40;PA;General Staffer;High;M549017;x
549018;Foreign Minister;阿卜杜勒 马吉德 汗 ;41;PA;Apologetic Clerk;High;M549018;x
549019;Foreign Minister;穆罕默德 纳米德 卡迈勒 贝 ;36;SC;Biased Intellectual;High;M549019;x
549020;Foreign Minister;巴西尔 拉米 贝 ;36;ML;Iron Fisted Brute;High;M549020;x
549021;Foreign Minister;加法尔 瓦利 帕夏 ;36;SD;Great Compromiser;High;M549021;x
549022;Foreign Minister;阿里 维萨布 ;43;SD;Ideological Crusader;High;M549022;x
549023;Minister of Armament;阿里 埃明 帕夏 ;42;PA;Theoretical Scientist;Medium;M549023;x
549024;Minister of Armament;侯赛因 卡米勒 ;36;SC;Air to Ground Proponent;Medium;M549024;x
549025;Minister of Armament;埃尔坎 贾韦德 帕夏 ;39;SC;Administrative Genius;Medium;M549025;x
549026;Minister of Armament;优素福 哈米德 贝 ;36;ML;Military Entrepreneur;Medium;M549026;x
549027;Minister of Armament;易卜拉欣 希纳西 ;36;SD;Submarine Proponent;Medium;M549027;x
549028;Minister of Armament;乌迪 杰米尔 贝 ;41;SD;Infantry Proponent;Medium;M549028;x
549029;Minister of Security;拉马赞 多格拉马奇 ;41;PA;Efficient Sociopath;Medium;M549029;x
549030;Minister of Security;埃斯基巴斯坎 达梅特 贝 ;36;SC;Prince of Terror;Medium;M549030;x
549031;Minister of Security;于尔皮特 格利克 ;41;SC;Silent Lawyer;Medium;M549031;x
549032;Minister of Security;阿里夫 达贾尼 帕夏 ;36;ML;Crime Fighter;Medium;M549032;x
549033;Minister of Security;奥梅 谢夫基 贝 ;36;SD;Compassionate Gentleman;Medium;M549033;x
549034;Head of Military Intelligence;哈米德 沙哈普 贝 ;36;SC;Technical Specialist;Medium;M549034;x
549035;Head of Military Intelligence;奥克坦 哈利斯 ;36;ML;Naval Intelligence Specialist;Medium;M549035;x
549036;Head of Military Intelligence;穆罕默德 萨拉杰丁 帕夏 ;36;SD;Dismal Enigma;Medium;M549036;x
549037;Chief of Staff;伊斯梅特 伊纳努 帕夏 ;41;PA;School of Defence;Medium;M549037;x
549038;Chief of Staff;托帕尔 奥斯曼 ;36;SC;School of Psychology;Medium;M549038;x
549039;Chief of Staff;穆罕默德 基亚米尔 帕夏 ;36;ML;School of Mass Combat;Medium;M549039;x
549040;Chief of Staff;奥斯曼 福阿德 ;36;SD;School of Manoeuvre;Medium;M549013;x
549041;Chief of Army;侯赛因 阿夫尼 帕夏 ;36;SC;Static Defence Doctrine;Medium;M549014;x
549042;Chief of Army;艾克穆勒丁 乌尔阔;36;ML;Decisive Battle Doctrine;Medium;M549042;x
549043;Chief of Army;费夫西 蒂林 ;36;SD;Armoured Spearhead Doctrine;Medium;M549043;x
549044;Chief of Navy;阿卜杜勒 哈米德 齐亚 帕夏 ;36;SC;Decisive Naval Battle Doctrine;Medium;M549044;x
549045;Chief of Navy;艾哈迈德 尼哈德 ;36;ML;Base Control Doctrine;Medium;M549012;x
549046;Chief of Navy;哈米德 佩里卡诺夫卢 ;36;SD;Power Projection Doctrine;Medium;M549046;x
549047;Chief of Air Force;穆罕默德 六世 汗 ;36;SC;Air Superiority Doctrine;Medium;M549011;x
549048;Chief of Air Force;德尼茨 乌切 ;36;ML;Army Aviation Doctrine;Medium;M549048;x
549049;Chief of Air Force;梅舒特 谢里夫 帕夏 ;36;SD;Carpet Bombing Doctrine;Medium;M549049;x
