POL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
13001;Head of State;伊格纳齐 莫希齐茨基 ;36;PA;Stern Imperialist;High;M13001;x
13002;Head of Government;马里安 齐恩德拉姆 科西亚尔科夫斯基 ;36;PA;Flamboyant Tough Guy;High;M13002;x
13003;Foreign Minister;约瑟夫 贝克 ;36;PA;General Staffer;High;M13003;x
13004;Minister of Armament;塔德乌什 卡斯普日茨基 ;36;PA;Military Entrepreneur;Medium;M13004;x
13005;Minister of Security;瓦迪斯瓦夫 拉奇凯维奇 ;36;PA;Crime Fighter;Medium;M13005;x
13006;Head of Military Intelligence;T 佩乌琴斯基 格热戈日 ;36;PA;Logistics Specialist;High;M13006;x
13007;Chief of Staff;爱德华 里茨-希米格维 ;36;PA;School of Defence;High;M13007;x
13008;Chief of Army;爱德华 里茨-希米格维 ;36;PA;Decisive Battle Doctrine;High;M13007;x
13009;Chief of Navy;耶日 斯沃斯基 ;36;PA;Open Seas Doctrine;Medium;M13009;x
13010;Chief of Air Force;约瑟夫 扎亚克 ;36;PA;Air Superiority Doctrine;Medium;M13010;x
13032;Head of State;卡齐米日 索斯恩科夫斯基 ;39;SC;Resigned Generalissimo;High;M13032;x
13033;Head of State;博列斯拉夫 贝鲁特 ;45;LWR;Stern Imperialist;High;M13033;x
13034;Head of State;博列斯拉夫 贝鲁特 ;47;ST;Barking Buffoon;High;M13033;x
13035;Head of State;博列斯拉夫 维尼亚瓦 德卢戈斯佐夫斯基 ;39;SL;Benevolent Gentleman;High;M13035;x
13036;Head of State;伊格纳齐 扬 帕代雷夫斯基 ;36;SC;Weary Stiffneck;High;M13036;x
13037;Head of State;瓦迪斯瓦夫 拉奇凯维奇 ;39;ML;Insignificant Layman;High;M13005;x
13038;Head of State;万达 瓦西莱夫斯基 ;37;LWR;Die-hard Reformer;High;M13038;x
13039;Head of State;瓦迪斯瓦夫 哥穆尔卡 ;42;LWR;Popular Figurehead;High;M13039;x
13040;Head of State;瓦莱雷 斯瓦韦克 ;36;PA;Insignificant Layman;High;M13040;x
13041;Head of Government;费利克扬 斯瓦沃伊 斯克拉德科夫斯基 ;36;PA;Naive Optimist;High;M13041;x
13042;Head of Government;沃伊切赫 科尔丰蒂 ;36;SL;Happy Amateur;High;M13042;x
13043;Head of Government;瓦迪斯瓦夫 西科尔斯基 ;39;SC;Old General;High;M13043;x
13044;Head of Government;斯坦尼斯拉斯 A 内曼 ;39;SD;Smiling Oilman;High;M13044;x
13045;Head of Government;米奇斯瓦夫 米哈沃维茨 ;42;SD;Ambitious Union Boss;High;M13045;x
13046;Head of Government;斯坦尼斯瓦夫 米科瓦伊奇克 ;43;ML;Corporate Suit;High;M13046;x
13047;Head of Government;托马斯 阿尔希谢夫斯基 ;44;SL;Political Protege;High;M13047;x
13048;Head of Government;爱德华 奥萨卜卡-莫拉夫斯基 ;45;LWR;Political Protege;High;M13022;x
13049;Head of Government;约瑟夫 叙雷恩基维茨 ;47;ST;Silent Workhorse;High;M13049;x
13050;Head of Government;罗曼 德莫夫斯基 ;36;FA;Backroom Backstabber;High;M13050;x
13051;Head of Government;塔德乌什 别莱茨基 ;36;NS;Happy Amateur;High;M13051;x
13052;Head of Government;欧根纽斯 克维亚特科夫斯基 ;37;SL;Naive Optimist;High;M13052;x
13053;Head of Government;马尔切利 诺沃特科 ;41;ST;Political Protege;High;M13053;x
13054;Head of Government;扬 夸平斯基 ;44;SC;Corporate Suit;High;M13054;x
13055;Head of Government;斯坦尼斯瓦夫 奥西茨基 ;36;SD;Happy Amateur;High;M13055;x
13056;Head of Government;博列斯拉夫 德罗布纳 ;43;LWR;Naive Optimist;High;M13056;x
13058;Foreign Minister;奥古斯特 扎列斯基 ;39;SC;Ideological Crusader;High;M13012;x
13059;Foreign Minister;爱德华 拉琴斯基 ;41;SC;Biased Intellectual;Medium;M13059;x
