POR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
9001;Head of State;安东尼奥 德 弗拉哥萨 卡尔莫纳 ;36;PA;Stern Imperialist;High;M9001;x
9002;Head of Government;A 奥利维拉 萨拉查 ;36;PA;Backroom Backstabber;Very high;M9002;x
9003;Foreign Minister;A 奥利维拉 萨拉查 ;36;PA;Ideological Crusader;Very High;M9002;x
9004;Minister of Armament;劳尔 布兰达奥 ;36;PA;Resource Industrialist;Medium;M9004;x
9005;Minister of Security;马利奥 帕斯 索萨 ;36;PA;Crooked Kleptocrat;High;M9005;x
9006;Head of Military Intelligence;佩特罗 特奥托里奥 佩雷拉 ;36;PA;Dismal Enigma;High;M9006;x
9007;Chief of Staff;塔索 米兰达 加布列尔 ;36;PA;School of Fire Support;Very High;M9007;x
9008;Chief of Army;J A 罗伯托 古埃拉 ;36;PA;Guns and Butter Doctrine;High;M9008;x
9009;Chief of Navy;海梅 阿弗雷科 ;36;PA;Base Control Doctrine;Very High;M9009;x
9010;Chief of Air Force;曼努尔 戈维亚 ;36;PA;Vertical Envelopment Doctrine;High;M9010;x
9041;Foreign Minister;阿方索 科斯塔 ;37;SC;The Cloak N Dagger Schemer;Medium;M9041;x
9042;Foreign Minister;路易斯 阿尔梅达 布拉加 ;38;SC;Iron Fisted Brute;Low;M9042;x
9043;Foreign Minister;D 费查斯 比塔尔 ;41;SC;General Staffer;Medium;M9022;x
9044;Foreign Minister;路易 乌尔里奇 ;42;SL;Great Compromiser;Medium;M9023;x
9045;Foreign Minister;赛维尔 卡尔德罗 ;43;PA;Biased Intellectual;Medium;M9045;x
9046;Foreign Minister;弗朗西斯科 库尼亚 里尔 ;45;SL;The Cloak N Dagger Schemer;Low;M9013;x
9047;Foreign Minister;阿尔弗雷多 皮蒙塔 ;45;PA;Ideological Crusader;High;M9026;x
9048;Foreign Minister;何塞 卡埃罗 达马塔 ;47;PA;Great Compromiser;High;M9048;x
9049;Minister of Armament;何塞 H 伐斯拉帕索 ;36;SC;Infantry Proponent;Medium;M9049;x
9050;Minister of Armament;H M 帕伊瓦 库塞罗 ;37;SC;Submarine Proponent;Medium;M9028;x
9051;Minister of Armament;若奥 查加斯 ;37;SC;Military Entrepreneur;Medium;M9051;x
9052;Minister of Armament;伐斯科 卡尔瓦略 ;37;SC;Theoretical Scientist;Medium;M9052;x
9053;Minister of Armament;若奥 努涅斯 科斯塔 ;38;PA;Air to Ground Proponent;High;M9053;x
9054;Minister of Armament;安东尼奥 萨尔迪尼奥 ;38;PA;Administrative Genius;High;M9024;x
9055;Minister of Armament;阿尔贝托 蒙萨拉斯 ;39;FA;Laissez Faires Capitalist;Medium;M9055;x
9056;Minister of Armament;安东尼奥 M B 费雷拉 ;39;SC;Tank Proponent;Medium;M9056;x
9057;Minister of Armament;海梅 科尔特桑 ;40;SD;Tank Proponent;Very Low;M9012;x
9058;Minister of Armament;阿尔明多 蒙特罗 ;44;PA;Battle Fleet Proponent;Very High;M9058;x
9059;Minister of Armament;F 萨尔加多 曾尼亚 ;46;LE;Military Entrepreneur;Low;M9034;x
9060;Minister of Security;阿方索 卢卡斯 ;36;SC;Silent Lawyer;High;M9025;x
9061;Minister of Security;M 诺布里 梅罗 ;36;PA;Efficient Sociopath;Very High;M9061;x
9062;Minister of Security;阿奎里诺 里贝罗 ;37;SC;Crime Fighter;High;M9062;x
9063;Minister of Security;J 科斯塔 雷特 ;41;PA;Back Stabber;High;M9063;x
9064;Minister of Security;阿尔弗雷多 皮蒙塔 ;43;PA;Prince of Terror;Very High;M9026;x
9065;Minister of Security;J 博特略 莫尼兹 ;44;FA;Compassionate Gentleman;High;M9065;x
9066;Minister of Security;亨里克 加尔凡 ;45;PA;Man of the People;Medium;M9066;x
9067;Head of Military Intelligence;朱里奥 丹塔斯 ;38;PA;Industrial Specialist;High;M9067;x
9068;Head of Military Intelligence;若奥 佩雷拉 瓦斯托斯 ;39;PA;Logistics Specialist;High;M9016;x
9069;Head of Military Intelligence;奥古斯托 瓦斯康塞罗斯 ;42;PA;Technical Specialist;High;M9069;x
9070;Chief of Staff;J A 席尔瓦 瓦斯托斯 ;38;PA;School of Mass Combat;High;M9027;x
9071;Chief of Staff;爱德华多 A 马尔科斯 ;42;PA;School of Fire Support;High;M9071;x
9072;Chief of Army;J M 诺顿 马托斯 ;36;SL;Static Defence Doctrine;Very Low;M9072;x
9073;Chief of Army;罗拉奥 普列泰 ;42;FA;Armoured Spearhead Doctrine;Very High;M9073;x
9074;Chief of Army;J 瓦罗斯 罗德里格斯 ;44;FA;Elastic Defence Doctrine;Very High;M9074;x
9075;Chief of Navy;奎坦 梅列莱斯 ;39;PA;Open Seas Doctrine;Very High;M9029;x
