RHO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
553001;Head of State;赫伯特 J 斯坦利 爵士  ;36;ML;Insignificant Layman;High;M553001;x
553002;Head of Government;戈弗雷 马丁 哈金斯 ;36;ML;Corporate Suit;High;M553002;x
553003;Foreign Minister;埃韦林 巴林 爵士 ;36;ML;Iron Fisted Brute;High;M553003;x
553004;Minister of Armament;罗伯特 J 赫德森 爵士 ;36;ML;Administrative Genius;Medium;M553004;x
553005;Minister of Security;安东尼 西勒里 ;36;ML;Crime Fighter;Medium;M553005;x
553006;Head of Military Intelligence;菲利普 W. 理查森 爵士 ;36;ML;Industrial Specialist;Medium;M553006;x
553007;Chief of Staff;埃里克 德 伯格 ;36;ML;School of Fire Support;Medium;L1094;x
553008;Chief of Army;菲利普 卡林顿 ;36;ML;Static Defence Doctrine;Medium;M553008;x
553009;Chief of Navy;塞西尔 德鲁蒙德 ;36;ML;Power Projection Doctrine;Medium;M553009;x
553010;Chief of Air Force;查尔斯 阿登-克拉克 爵士 ;36;ML;Naval Aviation Doctrine;Medium;M551008;x
553011;Head of State;利图恩加 耶塔 三世殿下 ;36;PA;Barking Buffoon;High;M553011;x
553012;Head of State;胡贝特 温思罗普-扬 爵士 ;36;SL;Stern Imperialist;High;M553012;x
553013;Head of State;肯尼思 卡翁达 ;36;SD;Powerhungry Demagogue;High;M553013;x
553014;Head of Government;唐纳德 麦肯齐-肯尼迪 ;36;PA;Old Air Marshal;High;M553014;x
553015;Head of Government;查尔斯 阿登-克拉克 爵士 ;36;SL;Old General;High;M551012;x
553016;Head of Government;黑斯廷斯 卡穆祖 班达 ;36;SD;Ambitious Union Boss;High;M553016;x
553017;Foreign Minister;科希 三世 卡马 ;36;PA;Biased Intellectual;High;M553017;x
553018;Foreign Minister;哈罗德 B 基特马斯特 爵士 ;36;SL;Ideological Crusader;High;M553018;x
553019;Foreign Minister;塞雷茨 卡马 爵士 ;36;SD;Apologetic Clerk;High;M553019;x
553020;Minister of Armament;罗伊 韦伦斯基 爵士 ;36;PA;Air to Ground Proponent;Medium;M553020;x
553021;Minister of Armament;穆列纳 约莫胡卢 ;36;SL;Corrupt Kleptocrat;Medium;M553021;x
553022;Minister of Armament;佩德 奥赖利 ;42;SL;Tank Proponent;Medium;M553022;x
553023;Minister of Armament;欧布尔 詹姆斯 沃丁顿 ;36;SD;Theoretical Scientist;Medium;M553023;x
553024;Minister of Security;恩德比 哈马切 ;36;PA;Prince of Terror;Medium;M553024;x
553025;Minister of Security;马克斯韦尔 麦克迪尔米德 ;41;PA;Man of the People;Medium;M553025;x
553026;Minister of Security;罗伯特 斯迈思-克拉默 ;36;SL;Crooked Kleptocrat;Medium;M553026;x
553027;Minister of Security;瓦奥莱特 格里格 ;42;SL;Silent Lawyer;Medium;M553027;x
553028;Minister of Security;亨利 恩孔布拉 ;36;SD;Back Stabber;Medium;M553028;x
553029;Minister of Security;穆齐 赫龙瓦 ;43;SD;Compassionate Gentleman;Medium;M553029;x
553030;Head of Military Intelligence;彼得 尤恩斯 ;36;PA;Naval Intelligence Specialist;Medium;M553030;x
553031;Head of Military Intelligence;约翰 亚历山大 梅宾 ;41;PA;Political Specialist;Medium;M553031;x
553032;Head of Military Intelligence;邓肯 麦卡利斯特 ;36;SL;Dismal Enigma;Medium;M553032;x
553033;Head of Military Intelligence;约翰 姆瓦纳卡特韦 ;36;SD;Technical Specialist;Medium;M553033;x
553034;Head of Military Intelligence;切凯迪 卡马 ;43;SD;Logistics Specialist;Medium;M553034;x
553035;Chief of Staff;G W D 尼科尔森 ;36;PA;School of Mass Combat;Medium;M553035;x
553036;Chief of Staff;托马斯 雷斯 ;41;ML;School of Manoeuvre;Medium;L1260;x
553037;Chief of Staff;穆列纳 约莫胡卢 ;36;SL;School of Defence;Medium;M553021;x
553038;Chief of Staff;C M 格里格 ;36;SD;School of Psychology;Medium;M553038;x
553039;Chief of Army;费迪南德 查尔斯 斯坦利 ;36;PA;Guns and Butter Doctrine;Medium;M553039;x
553040;Chief of Army;丹尼斯 C 卡佩尔-邓恩 ;41;ML;Armoured Spearhead Doctrine;Medium;M553040;x
553041;Chief of Army;姆布姆 瓦 鲁图恩加 ;36;SL;Elastic Defence Doctrine;Medium;M553041;x
553042;Chief of Army;约莫胡卢 姆布尔努 ;36;SD;Decisive Battle Doctrine;Medium;M553042;x
553043;Chief of Navy;利图恩加 耶塔 三世殿下 ;36;PA;Base Control Doctrine;Medium;M553011;x
553044;Chief of Navy;汤米 古尔德 ;41;ML;Indirect Approach Doctrine;Medium;M74009;x
553045;Chief of Navy;乔治 斯宽斯 ;36;SL;Open Seas Doctrine;Medium;M553045;x
553046;Chief of Navy;姆布姆 瓦 鲁图恩加 ;36;SD;Decisive Naval Battle Doctrine;Medium;M553041;x
553047;Chief of Air Force;唐纳德 麦肯齐-肯尼迪 ;36;PA;Army Aviation Doctrine;Medium;M553014;x
553048;Chief of Air Force;赫伯特 克鲁谢尔 ;36;SL;Carpet Bombing Doctrine;Medium;M553048;x
553049;Chief of Air Force;约翰 姆瓦纳卡特韦 ;36;SD;Vertical Envelopment Doctrine;Medium;M553033;x
