SAR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
800300;Head of State;亨利 芒克-梅森 穆尔爵士 ;32;SL;Resigned Generalissimo;Very High;Sir_Henry_Monck-Mason_Moore;x
800301;Head of Government;唐 史蒂芬 森纳那亚克 ;32;SL;Flamboyant Tough Guy;Very High;Don_Stephen_Senanayake;x
800302;Foreign Minister;唐 史蒂芬 森纳那亚克 ;32;SL;Great Compromiser;Very High;Don_Stephen_Senanayake;x
800303;Minister of Armament;Junius Richard Jayewardene;32;SL;Laissez Faires Capitalist;Very High;Junius_Richard_Jayewardene;x
800304;Minister of Security;Ganapathipillai Gangaser Ponnambalam;32;SL;Silent Lawyer;Very High;Ganapathipillai_Gangaser_Ponnambalam;x
800305;Head of Military Intelligence;Junius Richard Jayewardene;32;SL;Industrial Specialist;Very High;Junius_Richard_Jayewardene;x
800306;Chief of Staff;Sir Oliver Goonetilleke;32;ML;School of Defense;Very High;Sir_Oliver_Goonetilleke;x
800307;Chief of Army;Sir Oliver Goonetilleke;32;ML;Guns and Butter Doctrine;Very High;Sir_Oliver_Goonetilleke;x
800308;Chief of Navy;Geoffrey Layton;32;ML;Open Seas Doctrine;Very High;Geoffrey_Layton;x
;Replacements;;;;;;;x
800309;Chief of Air Force;Sir Oliver Goonetilleke;32;ML;Army Aviation Doctrine;Very High;Sir_Oliver_Goonetilleke;x
800310;Head of State;Sir Reginald Edward Stubbs;32;PA;Ruthless Powermonger;Very High;Sir_Reginald_Edward_Stubbs;x
800311;Head of State;Sir Andrew Caldecott;37;ML;Autocratic Charmer;Very High;Sir_Andrew_Caldecott;x
800312;Head of State;赫瓦德 拉姆斯博萨姆 ;49;ML;Insignificant Layman;Very High;unknown;x
800313;Head of State;Sir Oliver Goonetilleke;54;ML;Autocratic Charmer;Very High;Sir_Oliver_Goonetilleke;x
800314;Head of State;William Gopallawa;62;SL;Popular Figurehead;Very High;William_Gopallawa;x
800315;Head of State;Don Philip Gunawardena;32;LWR;Die-hard Reformer;Very High;Philip_Gunawardena;x
800316;Head of State;I.J. Wickrema;50;LWR;Die-hard Reformer;Very High;IJ_Wickrema;x
800317;Head of Government;杜德利 森纳那亚克 ;52;SL;Happy Amateur;Very High;Dudley_Senanayake;x
800318;Head of Government;约翰 克特拉瓦拉 ;53;SL;Old General;Very High;John_Kotelawala;x
800319;Head of Government;Solomon Bandaranaike;56;SD;Naive Optimist;Very High;Solomon_Bandaranaike;x
