SAU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
63001;Head of State;阿卜杜勒 阿齐兹 阿尔 沙特 ;36;PA;Ruthless Powermonger;High;M63001;x
63002;Head of Government;沙特 阿尔 沙特 ;36;PA;Backroom Backstabber;High;M63002;x
63003;Foreign Minister;费萨尔 阿尔 沙特 ;36;PA;Apologetic Clerk;High;M63003;x
63004;Minister of Armament;费萨尔 阿尔 沙特 ;36;PA;Resource Industrialist;High;M63003;x
63005;Minister of Security;哈立德 阿尔 沙特 ;36;PA;Crooked Kleptocrat;High;M63005;x
63006;Head of Military Intelligence;哈立德 阿尔 沙特 ;36;PA;Logistics Specialist;High;M63005;x
63007;Chief of Staff;沙特 阿尔 沙特 ;36;PA;School of Manoeuvre;High;M63002;x
63008;Chief of Army;费萨尔 阿尔 沙特 ;36;PA;Guns and Butter Doctrine;High;M63003;x
63009;Chief of Navy;费萨尔 阿尔 沙特 ;36;PA;Open Seas Doctrine;High;M63003;x
63010;Chief of Air Force;费萨尔 沙特 ;36;PA;Army Aviation Doctrine;High;M63003;x
63031;Foreign Minister;胡贝特 斯科特-佩因 ;39;SC;General Staffer;High;M63031;x
63032;Foreign Minister;查尔斯 勋爵 帕穆尔 ;41;SC;Apologetic Clerk;High;M63032;x
63033;Foreign Minister;哈里 圣约翰 菲尔比 ;44;PA;Ideological Crusader;High;M63033;x
63034;Foreign Minister;沙特 阿尔 沙特 ;45;PA;Biased Intellectual;Very High;M63002;x
63035;Minister of Armament;G G 艾梅-默里 ;37;SC;Administrative Genius;High;M63035;x
63036;Minister of Armament;哈里 圣约翰 菲尔比 ;38;PA;Infantry Proponent;High;M63033;x
63037;Minister of Armament;亚瑟 J 索尔特 ;39;SC;Theoretical Scientist;High;M63037;x
63038;Minister of Armament;马尔科姆 德 列 温格内 ;40;SC;Resource Industrialist;High;M63038;x
63039;Minister of Armament;杰弗里 乔治 诺克斯 ;41;SC;Tank Proponent;High;M63039;x
63040;Minister of Armament;萨利赫 阿尔 拉吉希 ;45;PA;Laissez Faires Capitalist;High;M63040;x
63041;Minister of Security;胡贝特 斯科特-佩因 ;38;SC;Silent Lawyer;High;M63031;x
63042;Minister of Security;哈里 圣约翰 菲尔比 ;41;PA;Compassionate Gentleman;High;M63033;x
63043;Minister of Security;詹姆斯 鲍尔 卡恩 ;42;SC;Efficient Sociopath;High;M63043;x
63044;Minister of Security;阿尔文 帕克 ;43;SC;Man of the People;High;M63044;x
63045;Minister of Security;苏莱曼 阿尔 奥尔扬 ;45;PA;Back Stabber;High;M63045;x
63046;Head of Military Intelligence;埃里克 富勒顿爵士 ;37;SC;Naval Intelligence Specialist;High;M63046;x
63047;Head of Military Intelligence;哈里 圣约翰 菲尔比 ;39;PA;Dismal Enigma;High;M63033;x
63048;Head of Military Intelligence;胡贝特 斯科特-佩因 ;41;SC;Political Specialist;High;M63031;x
63049;Head of Military Intelligence;费萨尔 阿尔 沙特 ;45;PA;Industrial Specialist;High;M63003;x
63050;Chief of Staff;埃里克 富勒顿爵士 ;36;SC;School of Psychology;High;M63046;x
63051;Chief of Staff;威廉 坎贝尔-赖斯 ;37;SC;School of Defence;High;M63051;x
63052;Chief of Staff;T E 肖 ;38;SC;School of Fire Support;High;M63052;x
63053;Chief of Staff;T R S 斯迈思-库珀 ;40;SC;School of Mass Combat;High;M63053;x
63054;Chief of Staff;费萨尔 阿尔 沙特 ;45;PA;School of Manoeuvre;High;M63003;x
63055;Chief of Army;威廉 坎贝尔-赖斯 ;38;SC;Static Defence Doctrine;High;M63051;x
63056;Chief of Army;T E 肖 ;39;SC;Elastic Defence Doctrine;High;M63052;x
63057;Chief of Army;T R S 斯迈思-库珀 ;41;SC;Decisive Battle Doctrine;High;M63053;x
63059;Chief of Navy;埃里克 富勒顿爵士 ;37;SC;Indirect Approach Doctrine;High;M63046;x
63060;Chief of Navy;菲利普 戈登-李 ;41;SC;Open Seas Doctrine;High;M63060;x
63062;Chief of Air Force;埃里克 富勒顿爵士 ;38;SC;Naval Aviation Doctrine;High;M63046;x
63063;Chief of Air Force;T E 肖 ;39;SC;Army Aviation Doctrine;High;M63052;x
63064;Chief of Air Force;亚瑟 道金斯 ;41;SC;Air Superiority Doctrine;High;M63064;x
63065;Chief of Air Force;巴萨姆 阿布 哈达尔 ;45;PA;Vertical Envelopment Doctrine;High;M63065;x
