SCH;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
17001;Head of State;阿尔伯特 迈尔 ;36;ML;Ruthless Powermonger;high;M17001;x
17002;Head of Government;阿尔伯特 迈尔 ;36;ML;Silent Workhorse;high;M17001;x
17003;Foreign Minister;朱塞佩 莫塔 ;36;SL;Apologetic Clerk;high;M17003;x
17004;Minister of Armament;阿尔伯特 迈尔 ;36;ML;Laissez Faires Capitalist;high;M17001;x
17005;Minister of Security;约翰内斯 鲍曼 ;36;ML;Compassionate Gentleman;high;M17005;x
17006;Head of Military Intelligence;罗杰 马松 ;36;SL;Industrial Specialist;high;M17006;x
17007;Chief of Staff;雅各布 I 胡贝尔 ;36;SL;School of Fire Support;high;M17007;x
17008;Chief of Army;约翰 奥古斯特 祖特尔 ;36;ML;Static Defence Doctrine;high;M17008;x
17009;Chief of Navy;勒内 冯 格拉芬里德 ;36;ML;Base Control Doctrine;high;M17009;x
17010;Chief of Air Force;奥斯卡 比德 ;36;ML;Air Superiority Doctrine;high;M17010;x
17031;Head of State;朱塞佩 莫塔 ;37;SL;Stern Imperialist;high;M17003;x
17032;Head of State;约翰内斯 鲍曼 ;38;ML;Resigned Generalissimo;high;M17005;x
17033;Head of State;菲利普 埃特 ;39;SL;Autocratic Charmer;high;M17033;x
17034;Head of State;马塞尔 皮莱-戈拉 ;40;SD;Popular Figurehead;high;M17034;x
17035;Head of State;恩斯特 韦特尔 ;41;ML;Powerhungry Demagogue;high;M17035;x
17037;Head of State;恩里科 切利奥 ;43;SD;Die-hard Reformer;high;M17037;x
17038;Head of State;瓦尔特 施滕普夫利 ;44;ML;Barking Buffoon;high;M17038;x
17039;Head of State;爱德华 冯 施泰格尔 ;45;SC;Benevolent Gentleman;high;M17039;x
17040;Head of State;卡尔 科贝尔特 ;46;ML;Pig-headed Isolationist;high;M17040;x
17042;Head of Government;朱塞佩 莫塔 ;37;SL;Silent Workhorse;high;M17003;x
17043;Head of Government;约翰内斯 鲍曼 ;38;ML;Ambitious Union Boss;high;M17005;x
17044;Head of Government;菲利普 埃特 ;39;SL;Flamboyant Tough Guy;high;M17033;x
17045;Head of Government;马塞尔 皮莱-戈拉 ;40;SD;Political Protege;high;M17034;x
17046;Head of Government;恩斯特 韦特尔 ;41;ML;Backroom Backstabber;high;M17035;x
17048;Head of Government;恩里科 切利奥 ;43;SD;Corporate Suit;high;M17037;x
17049;Head of Government;瓦尔特 施滕普夫利 ;44;ML;Naive Optimist;high;M17038;x
